D_TERRITORIO_0;D_SECC_CNAE09_0;D_ESTADO_DATO_0;D_TEMPORAL_0;D_MACROMAG_CPA_0;INDICATOR;OBS_VALUE;FREQ
2352;273779;40123;2016;273768;Valor;414775.0;A
2352;273779;40123;2016;273769;Valor;10279.0;A
2352;273779;40123;2016;273770;Valor;578572.0;A
2352;273779;40123;2016;273771;Valor;13682.0;A
2352;273779;40123;2016;273772;Valor;12386.0;A
2352;273779;40123;2016;273773;Valor;1296.0;A
2352;273779;40123;2017;273760;Valor;3253442.0;A
2352;273779;40123;2017;273761;Valor;2262342.0;A
2352;273779;40123;2017;273762;Valor;991100.0;A
2352;273779;40123;2017;273763;Valor;;A
2352;273779;40123;2017;273764;Valor;;A
2352;273779;40123;2017;273765;Valor;97.247573113;A
2352;273779;40123;2017;273766;Valor;;A
2352;273779;40123;2017;273767;Valor;;A
2352;273779;40123;2017;273768;Valor;395989.0;A
2352;273779;40123;2017;273769;Valor;11347.0;A
2352;273779;40123;2017;273770;Valor;583764.0;A
2352;273779;40123;2017;273771;Valor;13487.0;A
2352;273779;40123;2017;273772;Valor;12198.0;A
2352;273779;40123;2017;273773;Valor;1289.0;A
2352;273779;40123;2018;273760;Valor;3442238.0;A
2352;273779;40123;2018;273761;Valor;2384870.0;A
2352;273779;40123;2018;273762;Valor;1057368.0;A
2352;273779;40123;2018;273763;Valor;;A
2352;273779;40123;2018;273764;Valor;;A
2352;273779;40123;2018;273765;Valor;101.346072059;A
2352;273779;40123;2018;273766;Valor;;A
2352;273779;40123;2018;273767;Valor;;A
2352;273779;40123;2018;273768;Valor;429603.0;A
2352;273779;40123;2018;273769;Valor;12043.0;A
2352;273779;40123;2018;273770;Valor;615722.0;A
2352;273779;40123;2018;273771;Valor;14316.0;A
2352;273779;40123;2018;273772;Valor;13044.0;A
2352;273779;40123;2018;273773;Valor;1272.0;A
2352;273779;40123;2019;273760;Valor;;A
2352;273779;40123;2019;273761;Valor;;A
2352;273779;40123;2019;273762;Valor;;A
2352;273779;40123;2019;273763;Valor;;A
2352;273779;40123;2019;273764;Valor;;A
2352;273779;40123;2019;273765;Valor;;A
2352;273779;40123;2019;273766;Valor;;A
2352;273779;40123;2019;273767;Valor;;A
2352;273779;40123;2019;273768;Valor;;A
2352;273779;40123;2019;273769;Valor;;A
2352;273779;40123;2019;273770;Valor;;A
2352;273779;40123;2019;273771;Valor;;A
2352;273779;40123;2019;273772;Valor;;A
2352;273779;40123;2019;273773;Valor;;A
2352;273779;40123;2020;273762;Valor;;A
2352;273779;40123;2020;273763;Valor;;A
2352;273779;40123;2020;273764;Valor;;A
2352;273779;40123;2020;273765;Valor;;A
2352;273779;40123;2020;273766;Valor;;A
2352;273779;40123;2020;273767;Valor;;A
2352;273779;40123;2020;273768;Valor;;A
2352;273779;40123;2020;273769;Valor;;A
2352;273779;40123;2020;273770;Valor;;A
2352;273779;40123;2020;273771;Valor;;A
2352;273779;40123;2020;273772;Valor;;A
2352;273779;40123;2020;273773;Valor;;A
2352;273779;40124;2008;273760;Valor;;A
2352;273779;40124;2008;273761;Valor;;A
2352;273779;40124;2008;273762;Valor;;A
2352;273779;40124;2008;273763;Valor;;A
2352;273779;40124;2008;273764;Valor;;A
2352;273779;40124;2008;273765;Valor;;A
2352;273779;40124;2008;273766;Valor;;A
2352;273779;40124;2008;273767;Valor;;A
2352;273779;40124;2008;273768;Valor;;A
2352;273779;40124;2008;273769;Valor;;A
2352;273779;40124;2008;273770;Valor;;A
2352;273779;40124;2008;273771;Valor;;A
2352;273779;40124;2008;273772;Valor;;A
2352;273779;40124;2008;273773;Valor;;A
2352;273779;40124;2009;273760;Valor;;A
2352;273779;40124;2009;273761;Valor;;A
2352;273779;40124;2009;273762;Valor;;A
2352;273779;40124;2009;273763;Valor;;A
2352;273779;40124;2009;273764;Valor;;A
2352;273779;40124;2009;273765;Valor;;A
2352;273779;40124;2009;273766;Valor;;A
2352;273779;40124;2009;273767;Valor;;A
2352;273779;40124;2009;273768;Valor;;A
2352;273779;40124;2009;273769;Valor;;A
2352;273779;40124;2009;273770;Valor;;A
2352;273779;40124;2009;273771;Valor;;A
2352;273779;40124;2009;273772;Valor;;A
2352;273779;40124;2009;273773;Valor;;A
2352;273779;40124;2010;273760;Valor;;A
2352;273779;40124;2010;273761;Valor;;A
2352;273779;40124;2010;273762;Valor;;A
