ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES61;264450;2017;55565;VIAJEROS;498338.114995209;A;
A;ES61;264450;2017;55697;VIAJEROS;341837.483326111;A;
A;ES61;264450;2016;55698;VIAJEROS;787155.036652023;A;
A;ES61;264450;2016;55565;VIAJEROS;487452.164896294;A;
A;ES61;264450;2016;55697;VIAJEROS;299702.871755729;A;
A;ES61;264450;2015;55698;VIAJEROS;736443.249475452;A;
A;ES61;264450;2015;55565;VIAJEROS;485194.254089757;A;
A;ES61;264450;2015;55697;VIAJEROS;251248.995385695;A;
A;ES61;264450;2014;55698;VIAJEROS;700302.133811227;A;
A;ES61;264450;2014;55565;VIAJEROS;476915.861208928;A;
A;ES61;264450;2014;55697;VIAJEROS;223386.272602299;A;
A;ES61;264450;2013;55698;VIAJEROS;654408.86;A;
A;ES61;264450;2013;55565;VIAJEROS;417552.16;A;
A;ES61;264450;2013;55697;VIAJEROS;236856.7;A;
A;ES61;264450;2012;55698;VIAJEROS;595168.14;A;
A;ES61;264450;2012;55565;VIAJEROS;380358.33;A;
A;ES61;264450;2012;55697;VIAJEROS;214809.81;A;
A;ES61;264450;2011;55698;VIAJEROS;606452.58;A;
A;ES61;264450;2011;55565;VIAJEROS;405258.79;A;
A;ES61;264450;2011;55697;VIAJEROS;201193.79;A;
A;ES61;264450;2010;55698;VIAJEROS;596577.02;A;
A;ES61;264450;2010;55565;VIAJEROS;402914.16;A;
A;ES61;264450;2010;55697;VIAJEROS;193662.86;A;
A;ES61;264450;2009;55698;VIAJEROS;666674.56;A;
A;ES61;264450;2009;55565;VIAJEROS;464538.83;A;
A;ES61;264450;2009;55697;VIAJEROS;202135.73;A;
A;ES61;264450;2008;55698;VIAJEROS;863687.01;A;
A;ES61;264450;2008;55565;VIAJEROS;574684.98;A;
A;ES61;264450;2008;55697;VIAJEROS;289002.03;A;
A;ES61;264449;2020;55698;VIAJEROS;474655.605850048;A;
A;ES61;264449;2020;55565;VIAJEROS;360018.372894841;A;
A;ES61;264449;2020;55697;VIAJEROS;114637.232955207;A;
A;ES61;264449;2019;55698;VIAJEROS;1251547.805337066;A;
A;ES61;264449;2019;55565;VIAJEROS;736039.736205607;A;
A;ES61;264449;2019;55697;VIAJEROS;515508.069131459;A;
A;ES61;264449;2018;55698;VIAJEROS;1140600.474569369;A;
A;ES61;264449;2018;55565;VIAJEROS;644669.809855788;A;
A;ES61;264449;2018;55697;VIAJEROS;495930.664713581;A;
A;ES61;264449;2017;55698;VIAJEROS;1204588.515621283;A;
A;ES61;264449;2017;55565;VIAJEROS;685531.299276251;A;
A;ES61;264449;2017;55697;VIAJEROS;519057.216345032;A;
A;ES61;264449;2016;55698;VIAJEROS;1089398.482838179;A;
A;ES61;264449;2016;55565;VIAJEROS;605988.1688335;A;
A;ES61;264449;2016;55697;VIAJEROS;483410.314004679;A;
A;ES61;264449;2015;55698;VIAJEROS;911792.072457333;A;
