TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;56669;ES61;F;DEATHS;2652.0;A
2020;56669;ES611;_T;DEATHS;518.0;A
2020;56669;ES611;M;DEATHS;322.0;A
2020;56669;ES611;F;DEATHS;196.0;A
2020;56669;ES612;_T;DEATHS;951.0;A
2020;56669;ES612;M;DEATHS;574.0;A
2020;56669;ES612;F;DEATHS;377.0;A
2020;56669;ES613;_T;DEATHS;790.0;A
2020;56669;ES613;M;DEATHS;488.0;A
2020;56669;ES613;F;DEATHS;302.0;A
2020;56669;ES614;_T;DEATHS;743.0;A
2020;56669;ES614;M;DEATHS;427.0;A
2020;56669;ES614;F;DEATHS;316.0;A
2020;56669;ES615;_T;DEATHS;387.0;A
2020;56669;ES615;M;DEATHS;228.0;A
2020;56669;ES615;F;DEATHS;159.0;A
2020;56669;ES616;_T;DEATHS;671.0;A
2020;56669;ES616;M;DEATHS;395.0;A
2020;56669;ES616;F;DEATHS;276.0;A
2020;56669;ES617;_T;DEATHS;1108.0;A
2020;56669;ES617;M;DEATHS;666.0;A
2020;56669;ES617;F;DEATHS;442.0;A
2020;56669;ES618;_T;DEATHS;1413.0;A
2020;56669;ES618;M;DEATHS;829.0;A
2020;56669;ES618;F;DEATHS;584.0;A
2020;56737;ES61;_T;DEATHS;3972.0;A
2020;56737;ES61;M;DEATHS;2108.0;A
2020;56737;ES61;F;DEATHS;1864.0;A
2020;56737;ES611;_T;DEATHS;261.0;A
2020;56737;ES611;M;DEATHS;160.0;A
2020;56737;ES611;F;DEATHS;101.0;A
2020;56737;ES612;_T;DEATHS;579.0;A
2020;56737;ES612;M;DEATHS;320.0;A
2020;56737;ES612;F;DEATHS;259.0;A
2020;56737;ES613;_T;DEATHS;461.0;A
2020;56737;ES613;M;DEATHS;223.0;A
2020;56737;ES613;F;DEATHS;238.0;A
2020;56737;ES614;_T;DEATHS;420.0;A
2020;56737;ES614;M;DEATHS;199.0;A
2020;56737;ES614;F;DEATHS;221.0;A
2020;56737;ES615;_T;DEATHS;254.0;A
2020;56737;ES615;M;DEATHS;144.0;A
2020;56737;ES615;F;DEATHS;110.0;A
2020;56737;ES616;_T;DEATHS;389.0;A
2020;56737;ES616;M;DEATHS;193.0;A
2020;56737;ES616;F;DEATHS;196.0;A
2020;56737;ES617;_T;DEATHS;711.0;A
2020;56737;ES617;M;DEATHS;382.0;A
2020;56737;ES617;F;DEATHS;329.0;A
2020;56737;ES618;_T;DEATHS;897.0;A
2020;56737;ES618;M;DEATHS;487.0;A
2020;56737;ES618;F;DEATHS;410.0;A
2020;56805;ES61;_T;DEATHS;280.0;A
2020;56805;ES61;M;DEATHS;86.0;A
2020;56805;ES61;F;DEATHS;194.0;A
2020;56805;ES611;_T;DEATHS;12.0;A
2020;56805;ES611;M;DEATHS;4.0;A
2020;56805;ES611;F;DEATHS;8.0;A
2020;56805;ES612;_T;DEATHS;52.0;A
2020;56805;ES612;M;DEATHS;18.0;A
2020;56805;ES612;F;DEATHS;34.0;A
2020;56805;ES613;_T;DEATHS;35.0;A
2020;56805;ES613;M;DEATHS;15.0;A
2020;56805;ES613;F;DEATHS;20.0;A
2020;56805;ES614;_T;DEATHS;35.0;A
2020;56805;ES614;M;DEATHS;13.0;A
2020;56805;ES614;F;DEATHS;22.0;A
2020;56805;ES615;_T;DEATHS;16.0;A
2020;56805;ES615;M;DEATHS;4.0;A
2020;56805;ES615;F;DEATHS;12.0;A
2020;56805;ES616;_T;DEATHS;24.0;A
2020;56805;ES616;M;DEATHS;6.0;A
2020;56805;ES616;F;DEATHS;18.0;A
2020;56805;ES617;_T;DEATHS;51.0;A
2020;56805;ES617;M;DEATHS;12.0;A
2020;56805;ES617;F;DEATHS;39.0;A
2020;56805;ES618;_T;DEATHS;55.0;A
2020;56805;ES618;M;DEATHS;14.0;A
2020;56805;ES618;F;DEATHS;41.0;A
