D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2017;ES614;3;1;;6.421;A
2017;ES614;3;3;;2.0152;A
2017;ES614;3;5;;2.0152;A
2017;ES614;5;00;;122.5126;A
2017;ES614;5;1;;64.7236;A
2017;ES614;5;3;;8.8116;A
2017;ES614;5;5;;48.9774;A
2017;ES615;00;00;;1060.4795;A
2017;ES615;00;1;;995.586;A
2017;ES615;00;3;;6.5155;A
2017;ES615;00;5;;58.378;A
2017;ES615;1;00;;986.8282;A
2017;ES615;1;1;;958.2123;A
2017;ES615;1;3;;3.9616;A
2017;ES615;1;5;;24.6543;A
2017;ES615;3;00;;2.5539;A
2017;ES615;3;1;;2.5539;A
2017;ES615;5;00;;71.0974;A
2017;ES615;5;1;;34.8198;A
2017;ES615;5;3;;2.5539;A
2017;ES615;5;5;;33.7237;A
2017;ES616;00;00;;1127.8821;A
2017;ES616;00;1;;1088.0417;A
2017;ES616;00;3;;6.1416;A
2017;ES616;00;5;;33.6988;A
2017;ES616;1;00;;1075.5226;A
2017;ES616;1;1;;1048.4372;A
2017;ES616;1;3;;4.0944;A
2017;ES616;1;5;;22.991;A
2017;ES616;3;00;;2.0472;A
2017;ES616;3;1;;2.0472;A
2017;ES616;5;00;;50.3123;A
2017;ES616;5;1;;37.5573;A
2017;ES616;5;3;;2.0472;A
2017;ES616;5;5;;10.7078;A
2017;ES617;00;00;;3652.1307;A
2017;ES617;00;1;;3411.5637;A
2017;ES617;00;3;;16.4169;A
2017;ES617;00;5;;224.1501;A
2017;ES617;1;00;;3344.2803;A
2017;ES617;1;1;;3217.7925;A
2017;ES617;1;3;;10.3197;A
2017;ES617;1;5;;116.1681;A
2017;ES617;3;00;;11.5695;A
2017;ES617;3;1;;11.5695;A
2017;ES617;5;00;;296.2809;A
2017;ES617;5;1;;182.2017;A
2017;ES617;5;3;;6.0972;A
2017;ES617;5;5;;107.982;A
2017;ES618;00;00;;4318.3766;A
2017;ES618;00;1;;4039.0622;A
2017;ES618;00;3;;16.1129;A
2017;ES618;00;5;;263.2015;A
2017;ES618;1;00;;4000.9573;A
2017;ES618;1;1;;3851.7364;A
2017;ES618;1;3;;8.7437;A
2017;ES618;1;5;;140.4772;A
2017;ES618;3;00;;26.2311;A
2017;ES618;3;1;;14.7384;A
2017;ES618;3;3;;2.749;A
2017;ES618;3;5;;8.7437;A
2017;ES618;5;00;;291.1882;A
2017;ES618;5;1;;172.5874;A
2017;ES618;5;3;;4.6202;A
2017;ES618;5;5;;113.9806;A
2016;ES61;00;00;;16968.2676;A
2016;ES61;00;1;;15989.3038;A
2016;ES61;00;3;;59.3759;A
2016;ES61;00;5;;919.5879;A
2016;ES61;1;00;;15863.1649;A
2016;ES61;1;1;;15300.9074;A
2016;ES61;1;3;;36.5515;A
2016;ES61;1;5;;525.706;A
2016;ES61;3;00;;112.202;A
2016;ES61;3;1;;67.972;A
2016;ES61;3;3;;8.1646;A
2016;ES61;3;5;;36.0654;A
2016;ES61;5;00;;992.9007;A
2016;ES61;5;1;;620.4244;A
2016;ES61;5;3;;14.6598;A
2016;ES61;5;5;;357.8165;A
2016;ES611;00;00;;1425.5804;A
2016;ES611;00;1;;1310.1884;A
2016;ES611;00;3;;2.6598;A
2016;ES611;00;5;;112.7322;A
2016;ES611;1;00;;1321.8276;A
2016;ES611;1;1;;1245.6728;A
2016;ES611;1;3;;1.3299;A
2016;ES611;1;5;;74.8249;A
2016;ES611;3;00;;7.6495;A
2016;ES611;3;1;;3.6598;A
2016;ES611;3;5;;3.9897;A
2016;ES611;5;00;;96.1033;A
2016;ES611;5;1;;60.8558;A
2016;ES611;5;3;;1.3299;A
2016;ES611;5;5;;33.9176;A
2016;ES612;00;00;;2275.825;A
2016;ES612;00;1;;2152.463;A
2016;ES612;00;3;;6.7298;A
2016;ES612;00;5;;116.6322;A
2016;ES612;1;00;;2150.0034;A
2016;ES612;1;1;;2076.9394;A
2016;ES612;1;3;;5.1532;A
2016;ES612;1;5;;67.9108;A
2016;ES612;3;00;;14.1894;A
2016;ES612;3;1;;4.7298;A
2016;ES612;3;5;;9.4596;A
2016;ES612;5;00;;111.6322;A
2016;ES612;5;1;;70.7938;A
2016;ES612;5;3;;1.5766;A
2016;ES612;5;5;;39.2618;A
2016;ES613;00;00;;1473.292;A
2016;ES613;00;1;;1402.7421;A
2016;ES613;00;3;;6.2196;A
2016;ES613;00;5;;64.3303;A
2016;ES613;1;00;;1386.0833;A
2016;ES613;1;1;;1350.1559;A
2016;ES613;1;3;;3.9147;A
2016;ES613;1;5;;32.0127;A
2016;ES613;3;00;;6.5245;A
2016;ES613;3;1;;5.2196;A
2016;ES613;3;5;;1.3049;A
2016;ES613;5;00;;80.6842;A
2016;ES613;5;1;;47.3666;A
2016;ES613;5;3;;2.3049;A
2016;ES613;5;5;;31.0127;A
2016;ES614;00;00;;1937.4432;A
2016;ES614;00;1;;1827.9864;A
2016;ES614;00;3;;6.9152;A
2016;ES614;00;5;;102.5416;A
2016;ES614;1;00;;1804.512;A
2016;ES614;1;1;;1753.1056;A
2016;ES614;1;3;;3.4576;A
2016;ES614;1;5;;47.9488;A
2016;ES614;3;00;;11.3728;A
2016;ES614;3;1;;6.1864;A
2016;ES614;3;5;;5.1864;A
2016;ES614;5;00;;121.5584;A
2016;ES614;5;1;;68.6944;A
2016;ES614;5;3;;3.4576;A
2016;ES614;5;5;;49.4064;A
2016;ES615;00;00;;1053.5608;A
2016;ES615;00;1;;1005.6016;A
2016;ES615;00;3;;1.7292;A
2016;ES615;00;5;;46.23;A
2016;ES615;1;00;;1006.3308;A
2016;ES615;1;1;;975.9344;A
2016;ES615;1;3;;1.7292;A
2016;ES615;1;5;;28.6672;A
2016;ES615;3;00;;8.646;A
2016;ES615;3;1;;5.1876;A
2016;ES615;3;5;;3.4584;A
2016;ES615;5;00;;38.584;A
2016;ES615;5;1;;24.4796;A
2016;ES615;5;5;;14.1044;A
2016;ES616;00;00;;1120.7404;A
2016;ES616;00;1;;1074.3912;A
2016;ES616;00;3;;4.4844;A
2016;ES616;00;5;;41.8648;A
2016;ES616;1;00;;1053.9692;A
2016;ES616;1;1;;1025.5576;A
2016;ES616;1;3;;;A
2016;ES616;1;5;;28.4116;A
2016;ES616;3;00;;10.4636;A
2016;ES616;3;1;;7.474;A
2016;ES616;3;3;;1.4948;A
2016;ES616;3;5;;1.4948;A
