D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2015;ES613;4;DIV;4.4685;A
2015;ES614;000;DIV;1864.9266;A
2015;ES614;0;DIV;842.1216;A
2015;ES614;1;DIV;488.196;A
2015;ES614;2;DIV;462.411;A
2015;ES614;3;DIV;65.322;A
2015;ES614;4;DIV;5.157;A
2015;ES614;05mas;DIV;1.719;A
2015;ES615;000;DIV;1022.9657;A
2015;ES615;0;DIV;403.3454;A
2015;ES615;1;DIV;312.039;A
2015;ES615;2;DIV;279.3492;A
2015;ES615;3;DIV;26.7462;A
2015;ES615;4;DIV;1.4859;A
2015;ES616;000;DIV;1197.5493;A
2015;ES616;0;DIV;542.8172;A
2015;ES616;1;DIV;355.4694;A
2015;ES616;2;DIV;262.8043;A
2015;ES616;3;DIV;34.9393;A
2015;ES616;4;DIV;1.5191;A
2015;ES617;000;DIV;3560.4711;A
2015;ES617;0;DIV;1801.9869;A
2015;ES617;1;DIV;901.6789;A
2015;ES617;2;DIV;740.4144;A
2015;ES617;3;DIV;95.3564;A
2015;ES617;4;DIV;18.2299;A
2015;ES617;05mas;DIV;2.8046;A
2015;ES618;000;DIV;4007.618;A
2015;ES618;0;DIV;1691.8786;A
2015;ES618;1;DIV;1189.825;A
2015;ES618;2;DIV;1003.5324;A
2015;ES618;3;DIV;116.9428;A
2015;ES618;4;DIV;4.0794;A
2015;ES618;05mas;DIV;1.3598;A
2014;ES61;000;DIV;17376.98787;A
2014;ES61;0;DIV;7428.1654;A
2014;ES61;1;DIV;5046.60286;A
2014;ES61;2;DIV;4263.84878;A
2014;ES61;3;DIV;581.93644;A
2014;ES61;4;DIV;45.93276;A
2014;ES61;05mas;DIV;10.50163;A
2014;ES611;000;DIV;1315.503;A
2014;ES611;0;DIV;570.852;A
2014;ES611;1;DIV;373.032;A
2014;ES611;2;DIV;322.164;A
2014;ES611;3;DIV;42.39;A
2014;ES611;4;DIV;4.239;A
2014;ES611;05mas;DIV;2.826;A
2014;ES612;000;DIV;2485.68082;A
2014;ES612;0;DIV;1003.89044;A
2014;ES612;1;DIV;758.92915;A
2014;ES612;2;DIV;619.16596;A
2014;ES612;3;DIV;94.67829;A
2014;ES612;4;DIV;7.51415;A
2014;ES612;05mas;DIV;1.50283;A
2014;ES613;000;DIV;1712.10316;A
2014;ES613;0;DIV;717.81757;A
2014;ES613;1;DIV;506.30288;A
2014;ES613;2;DIV;426.36032;A
2014;ES613;3;DIV;59.95692;A
2014;ES613;05mas;DIV;1.66547;A
2014;ES614;000;DIV;1848.68385;A
2014;ES614;0;DIV;785.34885;A
2014;ES614;1;DIV;537.7437;A
2014;ES614;2;DIV;442.04355;A
2014;ES614;3;DIV;80.50965;A
2014;ES614;4;DIV;3.0381;A
