OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES614;2020;55697;VIAJEROS;1569.389363087;A
A;ES614;2019;55698;VIAJEROS;35164.628874713;A
A;ES614;2019;55565;VIAJEROS;23822.045014735;A
A;ES614;2019;55697;VIAJEROS;11342.583859978;A
A;ES614;2018;55698;VIAJEROS;32563.531433454;A
A;ES614;2018;55565;VIAJEROS;20283.998248177;A
A;ES614;2018;55697;VIAJEROS;12279.533185277;A
A;ES614;2017;55698;VIAJEROS;29583.546768178;A
A;ES614;2017;55565;VIAJEROS;18551.488685798;A
A;ES614;2017;55697;VIAJEROS;11032.05808238;A
A;ES614;2016;55698;VIAJEROS;25991.196332662;A
A;ES614;2016;55565;VIAJEROS;15959.523458557;A
A;ES614;2016;55697;VIAJEROS;10031.672874105;A
A;ES614;2015;55698;VIAJEROS;23873.225451322;A
A;ES614;2015;55565;VIAJEROS;16166.239935385;A
A;ES614;2015;55697;VIAJEROS;7706.985515937;A
A;ES614;2014;55698;VIAJEROS;25443.987339938;A
A;ES614;2014;55565;VIAJEROS;17748.638092224;A
A;ES614;2014;55697;VIAJEROS;7695.349247714;A
A;ES614;2013;55698;VIAJEROS;20480.132276912;A
A;ES614;2013;55565;VIAJEROS;14089.591386415;A
A;ES614;2013;55697;VIAJEROS;6390.540890497;A
A;ES615;2020;55698;VIAJEROS;23907.584932089;A
A;ES615;2020;55565;VIAJEROS;22694.741793237;A
A;ES615;2020;55697;VIAJEROS;1212.843138852;A
A;ES615;2019;55698;VIAJEROS;51707.238752611;A
A;ES615;2019;55565;VIAJEROS;45388.416386176;A
A;ES615;2019;55697;VIAJEROS;6318.822366435;A
A;ES615;2018;55698;VIAJEROS;44787.568557673;A
A;ES615;2018;55565;VIAJEROS;40874.745484641;A
A;ES615;2018;55697;VIAJEROS;3912.823073032;A
A;ES615;2017;55698;VIAJEROS;36442.771196148;A
A;ES615;2017;55565;VIAJEROS;32455.426137502;A
A;ES615;2017;55697;VIAJEROS;3987.345058646;A
A;ES615;2016;55698;VIAJEROS;35551.745370426;A
A;ES615;2016;55565;VIAJEROS;30380.379756686;A
A;ES615;2016;55697;VIAJEROS;5171.36561374;A
A;ES615;2015;55698;VIAJEROS;40651.011021437;A
A;ES615;2015;55565;VIAJEROS;34847.985835838;A
A;ES615;2015;55697;VIAJEROS;5803.025185599;A
A;ES615;2014;55698;VIAJEROS;26214.515665804;A
A;ES615;2014;55565;VIAJEROS;22349.961549193;A
A;ES615;2014;55697;VIAJEROS;3864.554116611;A
A;ES615;2013;55698;VIAJEROS;20263.445924798;A
A;ES615;2013;55565;VIAJEROS;17961.901681622;A
A;ES615;2013;55697;VIAJEROS;2301.544243176;A
A;ES616;2020;55698;VIAJEROS;22775.072805292;A
A;ES616;2020;55565;VIAJEROS;21920.300052247;A
A;ES616;2020;55697;VIAJEROS;854.772753045;A
A;ES616;2019;55698;VIAJEROS;39279.982299962;A
A;ES616;2019;55565;VIAJEROS;34764.781017011;A
A;ES616;2019;55697;VIAJEROS;4515.201282951;A
A;ES616;2018;55698;VIAJEROS;36325.99650897;A
A;ES616;2018;55565;VIAJEROS;33218.937871741;A
A;ES616;2018;55697;VIAJEROS;3107.058637229;A
A;ES616;2017;55698;VIAJEROS;30372.856409873;A
A;ES616;2017;55565;VIAJEROS;28332.615105334;A
A;ES616;2017;55697;VIAJEROS;2040.241304539;A
A;ES616;2016;55698;VIAJEROS;26578.743054953;A
A;ES616;2016;55565;VIAJEROS;25408.538907131;A
A;ES616;2016;55697;VIAJEROS;1170.204147822;A
A;ES616;2015;55698;VIAJEROS;23512.936110274;A
A;ES616;2015;55565;VIAJEROS;22549.954082293;A
A;ES616;2015;55697;VIAJEROS;962.982027981;A
A;ES616;2014;55698;VIAJEROS;16662.516523684;A
A;ES616;2014;55565;VIAJEROS;16185.45540273;A
A;ES616;2014;55697;VIAJEROS;477.061120954;A
A;ES616;2013;55698;VIAJEROS;16181.216997239;A
A;ES616;2013;55565;VIAJEROS;15184.930063308;A
A;ES616;2013;55697;VIAJEROS;996.286933931;A
A;ES617;2020;55698;VIAJEROS;67777.853228066;A
A;ES617;2020;55565;VIAJEROS;55899.559611777;A
A;ES617;2020;55697;VIAJEROS;11878.293616289;A
A;ES617;2019;55698;VIAJEROS;136027.083597828;A
A;ES617;2019;55565;VIAJEROS;58145.835389204;A
A;ES617;2019;55697;VIAJEROS;77881.248208624;A
A;ES617;2018;55698;VIAJEROS;128048.174799758;A
A;ES617;2018;55565;VIAJEROS;44036.541049898;A
A;ES617;2018;55697;VIAJEROS;84011.63374986;A
A;ES617;2017;55698;VIAJEROS;126457.873420886;A
A;ES617;2017;55565;VIAJEROS;50806.000323666;A
A;ES617;2017;55697;VIAJEROS;75651.87309722;A
A;ES617;2016;55698;VIAJEROS;89718.584246635;A
A;ES617;2016;55565;VIAJEROS;42045.698014596;A
A;ES617;2016;55697;VIAJEROS;47672.886232039;A
A;ES617;2015;55698;VIAJEROS;56208.107142142;A
A;ES617;2015;55565;VIAJEROS;28750.707604893;A
A;ES617;2015;55697;VIAJEROS;27457.399537249;A
A;ES617;2014;55698;VIAJEROS;46358.167199724;A
A;ES617;2014;55565;VIAJEROS;22993.698986891;A
A;ES617;2014;55697;VIAJEROS;23364.468212833;A
A;ES617;2013;55698;VIAJEROS;46374.404688518;A
A;ES617;2013;55565;VIAJEROS;21372.269688853;A
A;ES617;2013;55697;VIAJEROS;25002.134999665;A
A;ES618;2020;55698;VIAJEROS;14628.179580174;A
A;ES618;2020;55565;VIAJEROS;13775.250058651;A
A;ES618;2020;55697;VIAJEROS;852.929521523;A
A;ES618;2019;55698;VIAJEROS;32336.12444428;A
A;ES618;2019;55565;VIAJEROS;25700.439327831;A
A;ES618;2019;55697;VIAJEROS;6635.685116449;A
A;ES618;2018;55698;VIAJEROS;29251.971546181;A
A;ES618;2018;55565;VIAJEROS;21940.377343693;A
A;ES618;2018;55697;VIAJEROS;7311.594202488;A
A;ES618;2017;55698;VIAJEROS;23124.935315181;A
A;ES618;2017;55565;VIAJEROS;18991.886975449;A
A;ES618;2017;55697;VIAJEROS;4133.048339732;A
A;ES618;2016;55698;VIAJEROS;20080.387887422;A
A;ES618;2016;55565;VIAJEROS;16141.018515723;A
A;ES618;2016;55697;VIAJEROS;3939.369371699;A
A;ES618;2015;55698;VIAJEROS;22454.404880676;A
A;ES618;2015;55565;VIAJEROS;17121.296409916;A
A;ES618;2015;55697;VIAJEROS;5333.10847076;A
