OBS_STATUS;RESITUR;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
A;516720;2016;ES61;PERNOCTACIONES;1148.55568436;A
A;516720;2015;ES61;PERNOCTACIONES;2699.411597903;A
A;516720;2014;ES61;PERNOCTACIONES;1552.447377352;A
A;516721;2020;ES61;PERNOCTACIONES;731.955686505;A
A;516721;2019;ES61;PERNOCTACIONES;8084.855649018;A
A;516721;2018;ES61;PERNOCTACIONES;7625.58742494;A
A;516721;2017;ES61;PERNOCTACIONES;10225.414913725;A
A;516721;2016;ES61;PERNOCTACIONES;7784.232152043;A
A;516721;2015;ES61;PERNOCTACIONES;3865.891394113;A
A;516721;2014;ES61;PERNOCTACIONES;3214.913510746;A
A;516721;2013;ES61;PERNOCTACIONES;3784.577311875;A
A;516722;2020;ES61;PERNOCTACIONES;8938.126568604;A
A;516722;2019;ES61;PERNOCTACIONES;23022.945522069;A
A;516722;2018;ES61;PERNOCTACIONES;17817.740975969;A
A;516722;2017;ES61;PERNOCTACIONES;15570.62908568;A
A;516722;2016;ES61;PERNOCTACIONES;7332.019334813;A
A;516722;2015;ES61;PERNOCTACIONES;6737.416905122;A
A;516722;2014;ES61;PERNOCTACIONES;7427.161847433;A
A;516722;2013;ES61;PERNOCTACIONES;5380.505598559;A
A;516724;2020;ES61;PERNOCTACIONES;1802.314536872;A
A;516724;2019;ES61;PERNOCTACIONES;15901.6347037;A
A;516724;2018;ES61;PERNOCTACIONES;15332.934075616;A
A;516724;2017;ES61;PERNOCTACIONES;15030.565515806;A
A;516724;2016;ES61;PERNOCTACIONES;8624.110450302;A
A;516724;2015;ES61;PERNOCTACIONES;8438.89281734;A
A;516724;2014;ES61;PERNOCTACIONES;7289.727229571;A
A;516724;2013;ES61;PERNOCTACIONES;5422.602221532;A
A;516727;2020;ES61;PERNOCTACIONES;5316.789393482;A
A;516727;2019;ES61;PERNOCTACIONES;27459.55503159;A
A;516727;2018;ES61;PERNOCTACIONES;31528.8003103;A
A;516727;2017;ES61;PERNOCTACIONES;20097.55112825;A
A;516727;2016;ES61;PERNOCTACIONES;14935.55373156;A
A;516727;2015;ES61;PERNOCTACIONES;10649.72040914;A
A;516727;2014;ES61;PERNOCTACIONES;9555.128551303;A
A;516727;2013;ES61;PERNOCTACIONES;7721.391759781;A
P;55698;2021;ES61;PERNOCTACIONES;991778.831460078;A
P;55565;2021;ES61;PERNOCTACIONES;707992.457222211;A
P;55697;2021;ES61;PERNOCTACIONES;283786.374237867;A
P;55577;2021;ES61;PERNOCTACIONES;50408.782140817;A
P;516706;2021;ES61;PERNOCTACIONES;33375.631964753;A
P;55568;2021;ES61;PERNOCTACIONES;58426.678593707;A
P;516711;2021;ES61;PERNOCTACIONES;2732.010882178;A
P;55571;2021;ES61;PERNOCTACIONES;41770.316398916;A
P;516715;2021;ES61;PERNOCTACIONES;2758.495993685;A
P;55574;2021;ES61;PERNOCTACIONES;39248.104068634;A
P;516718;2021;ES61;PERNOCTACIONES;27962.72394104;A
P;516720;2021;ES61;PERNOCTACIONES;307.768517856;A
P;516721;2021;ES61;PERNOCTACIONES;6420.774113817;A
P;516722;2021;ES61;PERNOCTACIONES;6468.304866187;A
P;516724;2021;ES61;PERNOCTACIONES;3159.230290083;A
P;516727;2021;ES61;PERNOCTACIONES;10747.552466194;A
A;55698;2020;ES61;PCT_PERN;100.0;A
A;55698;2019;ES61;PCT_PERN;100.0;A
A;55698;2018;ES61;PCT_PERN;100.0;A
A;55698;2017;ES61;PCT_PERN;100.0;A
A;55698;2016;ES61;PCT_PERN;100.0;A
A;55698;2015;ES61;PCT_PERN;100.0;A
A;55698;2014;ES61;PCT_PERN;100.0;A
