OBS_STATUS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55550;2017;PCT_VIAJEROS;1.669576355873104;A
A;55550;2016;PCT_VIAJEROS;1.735249531304486;A
A;55550;2015;PCT_VIAJEROS;1.6482214233601946;A
A;55550;2014;PCT_VIAJEROS;1.4872390971579943;A
A;55550;2013;PCT_VIAJEROS;1.7781818470551949;A
A;55551;2020;PCT_VIAJEROS;2.0191797493641976;A
A;55551;2019;PCT_VIAJEROS;2.9316402358758453;A
A;55551;2018;PCT_VIAJEROS;3.385347733671114;A
A;55551;2017;PCT_VIAJEROS;3.188843531719285;A
A;55551;2016;PCT_VIAJEROS;2.951335165120589;A
A;55551;2015;PCT_VIAJEROS;2.8380222298496673;A
A;55551;2014;PCT_VIAJEROS;2.935657685446395;A
A;55551;2013;PCT_VIAJEROS;3.110926249146048;A
A;55552;2020;PCT_VIAJEROS;2.1494778954468416;A
A;55552;2019;PCT_VIAJEROS;3.1437512750749743;A
A;55552;2018;PCT_VIAJEROS;4.0428478667068815;A
A;55552;2017;PCT_VIAJEROS;3.2575237262102563;A
A;55552;2016;PCT_VIAJEROS;3.46983138833214;A
A;55552;2015;PCT_VIAJEROS;3.774456829297892;A
A;55552;2014;PCT_VIAJEROS;3.31472261979875;A
A;55552;2013;PCT_VIAJEROS;3.830580223770782;A
A;55553;2020;PCT_VIAJEROS;0.7482237108658051;A
A;55553;2019;PCT_VIAJEROS;1.623507917097329;A
A;55553;2018;PCT_VIAJEROS;1.1137136123406257;A
A;55553;2017;PCT_VIAJEROS;0.7468672672964899;A
A;55553;2016;PCT_VIAJEROS;1.6013053269992787;A
A;55553;2015;PCT_VIAJEROS;1.508697512234403;A
A;55553;2014;PCT_VIAJEROS;1.223159503803686;A
A;55553;2013;PCT_VIAJEROS;1.4382055468623949;A
A;55554;2020;PCT_VIAJEROS;0.4252035638251778;A
A;55554;2019;PCT_VIAJEROS;0.4621033802618646;A
A;55554;2018;PCT_VIAJEROS;0.45734061606588555;A
A;55554;2017;PCT_VIAJEROS;0.35585350334496163;A
A;55554;2016;PCT_VIAJEROS;0.2631307885778875;A
A;55554;2015;PCT_VIAJEROS;0.5327082042569009;A
A;55554;2014;PCT_VIAJEROS;0.36361495289375256;A
A;55554;2013;PCT_VIAJEROS;0.26831920948786486;A
A;55555;2020;PCT_VIAJEROS;8.44419576569884;A
A;55555;2019;PCT_VIAJEROS;10.387582832900595;A
A;55555;2018;PCT_VIAJEROS;10.030688577724552;A
A;55555;2017;PCT_VIAJEROS;9.990438730810313;A
A;55555;2016;PCT_VIAJEROS;9.535361929012351;A
A;55555;2015;PCT_VIAJEROS;9.31408974351677;A
A;55555;2014;PCT_VIAJEROS;10.285554805632197;A
A;55555;2013;PCT_VIAJEROS;12.059327263406532;A
A;55556;2020;PCT_VIAJEROS;2.174864578613972;A
A;55556;2019;PCT_VIAJEROS;2.6951822510822376;A
A;55556;2018;PCT_VIAJEROS;3.0058259760652817;A
A;55556;2017;PCT_VIAJEROS;2.852266367842384;A
A;55556;2016;PCT_VIAJEROS;3.1009142908525185;A
A;55556;2015;PCT_VIAJEROS;3.051536767484592;A
A;55556;2014;PCT_VIAJEROS;2.644685440160403;A
A;55556;2013;PCT_VIAJEROS;2.4448217254197693;A
A;55557;2020;PCT_VIAJEROS;0.05790616981230345;A
A;55557;2019;PCT_VIAJEROS;0.13140248476445782;A
A;55557;2018;PCT_VIAJEROS;0.26012980848482276;A
A;55557;2017;PCT_VIAJEROS;0.19521543804548325;A
A;55557;2016;PCT_VIAJEROS;0.18340031876893662;A
A;55557;2015;PCT_VIAJEROS;0.2620221888702358;A
A;55557;2014;PCT_VIAJEROS;0.15957701918525516;A
A;55557;2013;PCT_VIAJEROS;0.273022646941024;A
A;55558;2020;PCT_VIAJEROS;0.9082421682978471;A
A;55558;2019;PCT_VIAJEROS;1.085915885755362;A
A;55558;2018;PCT_VIAJEROS;0.8451192593037294;A
A;55558;2017;PCT_VIAJEROS;0.922399136820507;A
A;55558;2016;PCT_VIAJEROS;1.076334058048151;A
A;55558;2015;PCT_VIAJEROS;0.856002808275497;A
A;55558;2014;PCT_VIAJEROS;0.8463079788870678;A
A;55558;2013;PCT_VIAJEROS;1.0040676158770303;A
A;55559;2020;PCT_VIAJEROS;0.008559369704170244;A
A;55559;2019;PCT_VIAJEROS;0.07228646794070548;A
A;55559;2018;PCT_VIAJEROS;0.1653010632438538;A
A;55559;2017;PCT_VIAJEROS;0.042394471081624474;A
A;55559;2016;PCT_VIAJEROS;0.06971842287728292;A
A;55559;2015;PCT_VIAJEROS;0.051228753488276955;A
A;55559;2014;PCT_VIAJEROS;0.06529404093647899;A
A;55559;2013;PCT_VIAJEROS;0.11015492130002519;A
A;55544;2020;PCT_VIAJEROS;0.11242954804916477;A
A;55544;2019;PCT_VIAJEROS;0.5596554495654396;A
A;55544;2018;PCT_VIAJEROS;0.3374791550183832;A
A;55544;2017;PCT_VIAJEROS;0.36810672100633907;A
A;55544;2016;PCT_VIAJEROS;0.30518455579529175;A
A;55544;2015;PCT_VIAJEROS;0.4337295597624749;A
A;55544;2014;PCT_VIAJEROS;0.3318009881804584;A
A;55544;2013;PCT_VIAJEROS;0.5488599449728305;A
A;55561;2020;PCT_VIAJEROS;0.3082562702782307;A
A;55561;2019;PCT_VIAJEROS;0.09396877022960029;A
A;55561;2018;PCT_VIAJEROS;0.12635512992802853;A
A;55561;2017;PCT_VIAJEROS;0.1614094958335185;A
A;55561;2016;PCT_VIAJEROS;0.24191127520038083;A
A;55561;2015;PCT_VIAJEROS;0.22910420782380111;A
A;55561;2014;PCT_VIAJEROS;0.17431798766157286;A
A;55561;2013;PCT_VIAJEROS;0.1015888294135383;A
A;55562;2020;PCT_VIAJEROS;0.2734316372146983;A
A;55562;2019;PCT_VIAJEROS;0.058140647883558515;A
A;55562;2018;PCT_VIAJEROS;0.12195886871770655;A
A;55562;2017;PCT_VIAJEROS;0.13979515869199288;A
A;55562;2016;PCT_VIAJEROS;0.21686641666060913;A
A;55562;2015;PCT_VIAJEROS;0.09207926927472006;A
