OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES611;2019;PERS_MEDI_NO_REMU;127.699045315;A
A;ES611;2018;PERS_MEDI_NO_REMU;108.43555616;A
A;ES611;2017;PERS_MEDI_NO_REMU;94.637576477;A
A;ES611;2016;PERS_MEDI_NO_REMU;77.017396854;A
A;ES611;2015;PERS_MEDI_NO_REMU;77.44870631;A
A;ES611;2014;PERS_MEDI_NO_REMU;83.868062175;A
A;ES611;2013;PERS_MEDI_NO_REMU;86.343771011;A
A;ES612;2020;PERS_MEDI_NO_REMU;61.25521531;A
A;ES612;2019;PERS_MEDI_NO_REMU;88.936073093;A
A;ES612;2018;PERS_MEDI_NO_REMU;101.81238655;A
A;ES612;2017;PERS_MEDI_NO_REMU;81.582983062;A
A;ES612;2016;PERS_MEDI_NO_REMU;61.441787626;A
A;ES612;2015;PERS_MEDI_NO_REMU;55.979675857;A
A;ES612;2014;PERS_MEDI_NO_REMU;52.285978342;A
A;ES612;2013;PERS_MEDI_NO_REMU;67.264714194;A
A;ES613;2020;PERS_MEDI_NO_REMU;236.440312319;A
A;ES613;2019;PERS_MEDI_NO_REMU;254.205666542;A
A;ES613;2018;PERS_MEDI_NO_REMU;239.52731444;A
A;ES613;2017;PERS_MEDI_NO_REMU;248.94970359;A
A;ES613;2016;PERS_MEDI_NO_REMU;216.46602478;A
A;ES613;2015;PERS_MEDI_NO_REMU;213.9301636;A
A;ES613;2014;PERS_MEDI_NO_REMU;232.72461156;A
A;ES613;2013;PERS_MEDI_NO_REMU;229.55892871;A
A;ES614;2020;PERS_MEDI_NO_REMU;107.468130392;A
A;ES614;2019;PERS_MEDI_NO_REMU;146.790042807;A
A;ES614;2018;PERS_MEDI_NO_REMU;129.45588817;A
A;ES614;2017;PERS_MEDI_NO_REMU;129.95809738;A
A;ES614;2016;PERS_MEDI_NO_REMU;131.49678411;A
A;ES614;2015;PERS_MEDI_NO_REMU;146.62871904;A
A;ES614;2014;PERS_MEDI_NO_REMU;143.95258583;A
A;ES614;2013;PERS_MEDI_NO_REMU;119.84748372;A
A;ES615;2020;PERS_MEDI_NO_REMU;61.010499017;A
A;ES615;2019;PERS_MEDI_NO_REMU;105.899761175;A
A;ES615;2018;PERS_MEDI_NO_REMU;141.77597847;A
A;ES615;2017;PERS_MEDI_NO_REMU;146.4016805;A
A;ES615;2016;PERS_MEDI_NO_REMU;119.80117964;A
A;ES615;2015;PERS_MEDI_NO_REMU;117.13728536;A
A;ES615;2014;PERS_MEDI_NO_REMU;100.9342822;A
A;ES615;2013;PERS_MEDI_NO_REMU;80.541845582;A
A;ES616;2020;PERS_MEDI_NO_REMU;183.542314895;A
A;ES616;2019;PERS_MEDI_NO_REMU;230.461385095;A
A;ES616;2018;PERS_MEDI_NO_REMU;233.16424946;A
A;ES616;2017;PERS_MEDI_NO_REMU;215.85183331;A
A;ES616;2016;PERS_MEDI_NO_REMU;198.42493007;A
A;ES616;2015;PERS_MEDI_NO_REMU;195.44265605;A
A;ES616;2014;PERS_MEDI_NO_REMU;172.54629438;A
A;ES616;2013;PERS_MEDI_NO_REMU;169.79853923;A
A;ES617;2020;PERS_MEDI_NO_REMU;1264.750309854;A
A;ES617;2019;PERS_MEDI_NO_REMU;1447.216060866;A
A;ES617;2018;PERS_MEDI_NO_REMU;1190.7621559;A
A;ES617;2017;PERS_MEDI_NO_REMU;1032.4130236;A
A;ES617;2016;PERS_MEDI_NO_REMU;655.56257204;A
A;ES617;2015;PERS_MEDI_NO_REMU;652.01165696;A
A;ES617;2014;PERS_MEDI_NO_REMU;614.35664652;A
A;ES617;2013;PERS_MEDI_NO_REMU;555.98929331;A
A;ES618;2020;PERS_MEDI_NO_REMU;118.247442593;A
A;ES618;2019;PERS_MEDI_NO_REMU;132.63702611;A
A;ES618;2018;PERS_MEDI_NO_REMU;111.02760699;A
A;ES618;2017;PERS_MEDI_NO_REMU;93.539399005;A
A;ES618;2016;PERS_MEDI_NO_REMU;75.292991605;A
A;ES618;2015;PERS_MEDI_NO_REMU;80.298241523;A
A;ES618;2014;PERS_MEDI_NO_REMU;92.442133131;A
A;ES618;2013;PERS_MEDI_NO_REMU;95.685654231;A
A;ES61;2020;PERS_MEDI_NO_REMU;2145.226081454;A
A;ES61;2019;PERS_MEDI_NO_REMU;2533.845061003;A
A;ES61;2018;PERS_MEDI_NO_REMU;2255.96113614;A
A;ES61;2017;PERS_MEDI_NO_REMU;2043.334296924;A
A;ES61;2016;PERS_MEDI_NO_REMU;1535.503666725;A
A;ES61;2015;PERS_MEDI_NO_REMU;1538.8771047;A
A;ES61;2014;PERS_MEDI_NO_REMU;1493.110594138;A
A;ES61;2013;PERS_MEDI_NO_REMU;1405.030229988;A
P;ES611;2021;PERS_MEDI_NO_REMU;119.540638761;A
P;ES612;2021;PERS_MEDI_NO_REMU;44.149418052;A
P;ES613;2021;PERS_MEDI_NO_REMU;233.989533564;A
P;ES614;2021;PERS_MEDI_NO_REMU;123.628831059;A
P;ES615;2021;PERS_MEDI_NO_REMU;87.594999503;A
P;ES616;2021;PERS_MEDI_NO_REMU;176.108821227;A
P;ES617;2021;PERS_MEDI_NO_REMU;1283.363048246;A
P;ES618;2021;PERS_MEDI_NO_REMU;137.395811379;A
P;ES61;2021;PERS_MEDI_NO_REMU;2205.771101791;A
A;ES611;2020;ESTA_MEDI_ESTI;91.824736099;A
A;ES611;2019;ESTA_MEDI_ESTI;110.807649041;A
A;ES611;2018;ESTA_MEDI_ESTI;97.63369828;A
A;ES611;2017;ESTA_MEDI_ESTI;95.862501897;A
A;ES611;2016;ESTA_MEDI_ESTI;85.341122449;A
A;ES611;2015;ESTA_MEDI_ESTI;78.073654768;A
A;ES611;2014;ESTA_MEDI_ESTI;72.667784158;A
A;ES611;2013;ESTA_MEDI_ESTI;70.90031944;A
A;ES612;2020;ESTA_MEDI_ESTI;55.16192284;A
A;ES612;2019;ESTA_MEDI_ESTI;82.018715527;A
A;ES612;2018;ESTA_MEDI_ESTI;82.358688907;A
