OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55220;2014;55565;ESTANCIA_MEDIA;4.313362245656662;A
A;55220;2014;55697;ESTANCIA_MEDIA;7.048434889457598;A
A;70689;2017;55698;ESTANCIA_MEDIA;7.129039962844488;A
A;70689;2017;55565;ESTANCIA_MEDIA;3.190541885727053;A
A;70689;2017;55697;ESTANCIA_MEDIA;7.507020350966321;A
A;213594;2020;55698;ESTANCIA_MEDIA;3.2714981175529116;A
A;213594;2020;55565;ESTANCIA_MEDIA;3.2817819488347086;A
A;213594;2020;55697;ESTANCIA_MEDIA;2.5525051475215133;A
A;213594;2018;55698;ESTANCIA_MEDIA;2.2418403691238558;A
A;213594;2018;55565;ESTANCIA_MEDIA;2.1394880773170746;A
A;213594;2018;55697;ESTANCIA_MEDIA;2.412347300322352;A
A;213594;2017;55698;ESTANCIA_MEDIA;2.6107709159391264;A
A;213594;2017;55565;ESTANCIA_MEDIA;2.2699986634480327;A
A;213594;2017;55697;ESTANCIA_MEDIA;4.235714103005842;A
P;55124;2021;55698;ESTANCIA_MEDIA;2.830270527446269;A
P;55124;2021;55565;ESTANCIA_MEDIA;2.7224548521953964;A
P;55124;2021;55697;ESTANCIA_MEDIA;3.183853916122632;A
P;55220;2021;55698;ESTANCIA_MEDIA;5.499534038010732;A
P;55220;2021;55565;ESTANCIA_MEDIA;4.59103778474111;A
P;55220;2021;55697;ESTANCIA_MEDIA;7.06885557706164;A
