TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;34.02474252570982;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;42.055586237086466;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;33.37264420516405;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;38.84734230156996;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;40.85807594344242;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;45.157295927422524;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;42.952530751221126;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;45.17542179921237;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_OFIM;40.69995824814093;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;20.566478551750762;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;20.86995920729985;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;20.29910833272338;A
