D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3691;273861;2797;Población;41075.0;A
2006;3691;273861;2911;Población;13750.0;A
2006;3691;273861;3023;Población;58050.0;A
2006;3691;273861;3142;Población;34500.0;A
2006;3691;273861;3143;Población;244875.0;A
2006;3691;273747;2352;Población;390725.0;A
2006;3691;273747;2402;Población;673600.0;A
2006;3691;273747;2482;Población;499300.0;A
2006;3691;273747;2713;Población;556500.0;A
2006;3691;273747;2797;Población;340675.0;A
2006;3691;273747;2911;Población;411450.0;A
2006;3691;273747;3023;Población;892775.0;A
2006;3691;273747;3142;Población;1148100.0;A
2006;3691;273747;3143;Población;4913125.0;A
2007;3689;273748;2352;Población;29300.0;A
2007;3689;273748;2402;Población;51575.0;A
2007;3689;273748;2482;Población;28075.0;A
2007;3689;273748;2713;Población;52350.0;A
2007;3689;273748;2797;Población;23350.0;A
2007;3689;273748;2911;Población;36175.0;A
2007;3689;273748;3023;Población;72600.0;A
2007;3689;273748;3142;Población;69775.0;A
2007;3689;273748;3143;Población;363200.0;A
2007;3689;273751;2352;Población;22775.0;A
2007;3689;273751;2402;Población;39375.0;A
2007;3689;273751;2482;Población;20125.0;A
2007;3689;273751;2713;Población;38225.0;A
2007;3689;273751;2797;Población;17775.0;A
2007;3689;273751;2911;Población;23750.0;A
2007;3689;273751;3023;Población;55125.0;A
2007;3689;273751;3142;Población;52600.0;A
2007;3689;273751;3143;Población;269750.0;A
2007;3689;273752;2352;Población;4525.0;A
2007;3689;273752;2402;Población;8750.0;A
2007;3689;273752;2482;Población;6750.0;A
2007;3689;273752;2713;Población;9775.0;A
2007;3689;273752;2797;Población;3550.0;A
2007;3689;273752;2911;Población;8725.0;A
2007;3689;273752;3023;Población;12200.0;A
2007;3689;273752;3142;Población;12150.0;A
2007;3689;273752;3143;Población;66425.0;A
2007;3689;273753;2352;Población;2000.0;A
2007;3689;273753;2402;Población;3450.0;A
2007;3689;273753;2482;Población;1200.0;A
2007;3689;273753;2713;Población;4350.0;A
2007;3689;273753;2797;Población;2025.0;A
2007;3689;273753;2911;Población;3700.0;A
2007;3689;273753;3023;Población;5275.0;A
2007;3689;273753;3142;Población;5025.0;A
2007;3689;273753;3143;Población;27025.0;A
2007;3689;273749;2352;Población;70400.0;A
2007;3689;273749;2402;Población;150375.0;A
2007;3689;273749;2482;Población;106775.0;A
2007;3689;273749;2713;Población;112625.0;A
2007;3689;273749;2797;Población;61675.0;A
2007;3689;273749;2911;Población;96925.0;A
2007;3689;273749;3023;Población;176075.0;A
2007;3689;273749;3142;Población;243975.0;A
2007;3689;273749;3143;Población;1018825.0;A
2007;3689;273754;2352;Población;23225.0;A
2007;3689;273754;2402;Población;52300.0;A
2007;3689;273754;2482;Población;29250.0;A
2007;3689;273754;2713;Población;40350.0;A
2007;3689;273754;2797;Población;19525.0;A
2007;3689;273754;2911;Población;31975.0;A
2007;3689;273754;3023;Población;65050.0;A
2007;3689;273754;3142;Población;74150.0;A
2007;3689;273754;3143;Población;335825.0;A
2007;3689;273755;2352;Población;16500.0;A
2007;3689;273755;2402;Población;32475.0;A
2007;3689;273755;2482;Población;30475.0;A
2007;3689;273755;2713;Población;31350.0;A
2007;3689;273755;2797;Población;16025.0;A
2007;3689;273755;2911;Población;30300.0;A
2007;3689;273755;3023;Población;40150.0;A
2007;3689;273755;3142;Población;54050.0;A
2007;3689;273755;3143;Población;251325.0;A
2007;3689;273756;2352;Población;15900.0;A
2007;3689;273756;2402;Población;33150.0;A
2007;3689;273756;2482;Población;23825.0;A
2007;3689;273756;2713;Población;18550.0;A
2007;3689;273756;2797;Población;12900.0;A
2007;3689;273756;2911;Población;16800.0;A
2007;3689;273756;3023;Población;36200.0;A
2007;3689;273756;3142;Población;61525.0;A
2007;3689;273756;3143;Población;218850.0;A
2007;3689;273757;2352;Población;14775.0;A
2007;3689;273757;2402;Población;32450.0;A
2007;3689;273757;2482;Población;23225.0;A
2007;3689;273757;2713;Población;22375.0;A
2007;3689;273757;2797;Población;13225.0;A
2007;3689;273757;2911;Población;17850.0;A
2007;3689;273757;3023;Población;34675.0;A
2007;3689;273757;3142;Población;54250.0;A
2007;3689;273757;3143;Población;212825.0;A
