D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2006;4172;3023;3689;53587;Población municipal;11567.0;A
2006;4172;3023;3690;53588;Población municipal;116125.0;A
2006;4172;3023;3690;53583;Población municipal;80200.0;A
2006;4172;3023;3690;53584;Población municipal;18381.0;A
2006;4172;3023;3690;53585;Población municipal;2988.0;A
2006;4172;3023;3690;53586;Población municipal;3636.0;A
2006;4172;3023;3690;53587;Población municipal;10920.0;A
2006;4172;3142;3691;53588;Población municipal;305088.0;A
2006;4172;3142;3691;53583;Población municipal;213511.0;A
2006;4172;3142;3691;53584;Población municipal;72510.0;A
2006;4172;3142;3691;53585;Población municipal;5613.0;A
2006;4172;3142;3691;53586;Población municipal;6715.0;A
2006;4172;3142;3691;53587;Población municipal;6739.0;A
2006;4172;3142;3689;53588;Población municipal;156855.0;A
2006;4172;3142;3689;53583;Población municipal;109894.0;A
2006;4172;3142;3689;53584;Población municipal;37330.0;A
2006;4172;3142;3689;53585;Población municipal;2847.0;A
2006;4172;3142;3689;53586;Población municipal;3439.0;A
2006;4172;3142;3689;53587;Población municipal;3345.0;A
2006;4172;3142;3690;53588;Población municipal;148233.0;A
2006;4172;3142;3690;53583;Población municipal;103617.0;A
2006;4172;3142;3690;53584;Población municipal;35180.0;A
2006;4172;3142;3690;53585;Población municipal;2766.0;A
2006;4172;3142;3690;53586;Población municipal;3276.0;A
2006;4172;3142;3690;53587;Población municipal;3394.0;A
2006;4159;3143;3691;53588;Población municipal;420569.0;A
2006;4159;3143;3691;53583;Población municipal;347599.0;A
2006;4159;3143;3691;53584;Población municipal;47938.0;A
2006;4159;3143;3691;53585;Población municipal;6370.0;A
2006;4159;3143;3691;53586;Población municipal;8424.0;A
2006;4159;3143;3691;53587;Población municipal;10238.0;A
2006;4159;3143;3689;53588;Población municipal;216556.0;A
2006;4159;3143;3689;53583;Población municipal;179319.0;A
2006;4159;3143;3689;53584;Población municipal;24626.0;A
2006;4159;3143;3689;53585;Población municipal;3254.0;A
2006;4159;3143;3689;53586;Población municipal;4361.0;A
2006;4159;3143;3689;53587;Población municipal;4996.0;A
2006;4159;3143;3690;53588;Población municipal;204013.0;A
2006;4159;3143;3690;53583;Población municipal;168280.0;A
2006;4159;3143;3690;53584;Población municipal;23312.0;A
2006;4159;3143;3690;53585;Población municipal;3116.0;A
2006;4159;3143;3690;53586;Población municipal;4063.0;A
2006;4159;3143;3690;53587;Población municipal;5242.0;A
2006;4159;2352;3691;53588;Población municipal;34869.0;A
2006;4159;2352;3691;53583;Población municipal;26534.0;A
2006;4159;2352;3691;53584;Población municipal;5114.0;A
2006;4159;2352;3691;53585;Población municipal;588.0;A
2006;4159;2352;3691;53586;Población municipal;738.0;A
2006;4159;2352;3691;53587;Población municipal;1895.0;A
2006;4159;2352;3689;53588;Población municipal;17934.0;A
2006;4159;2352;3689;53583;Población municipal;13679.0;A
2006;4159;2352;3689;53584;Población municipal;2598.0;A
2006;4159;2352;3689;53585;Población municipal;311.0;A
2006;4159;2352;3689;53586;Población municipal;382.0;A
2006;4159;2352;3689;53587;Población municipal;964.0;A
2006;4159;2352;3690;53588;Población municipal;16935.0;A
2006;4159;2352;3690;53583;Población municipal;12855.0;A
2006;4159;2352;3690;53584;Población municipal;2516.0;A
2006;4159;2352;3690;53585;Población municipal;277.0;A
2006;4159;2352;3690;53586;Población municipal;356.0;A
2006;4159;2352;3690;53587;Población municipal;931.0;A
2006;4159;2402;3691;53588;Población municipal;66275.0;A
2006;4159;2402;3691;53583;Población municipal;57988.0;A
2006;4159;2402;3691;53584;Población municipal;4360.0;A
2006;4159;2402;3691;53585;Población municipal;1155.0;A
2006;4159;2402;3691;53586;Población municipal;1626.0;A
2006;4159;2402;3691;53587;Población municipal;1146.0;A
2006;4159;2402;3689;53588;Población municipal;34069.0;A
2006;4159;2402;3689;53583;Población municipal;29916.0;A
2006;4159;2402;3689;53584;Población municipal;2239.0;A
2006;4159;2402;3689;53585;Población municipal;584.0;A
2006;4159;2402;3689;53586;Población municipal;818.0;A
2006;4159;2402;3689;53587;Población municipal;512.0;A
2006;4159;2402;3690;53588;Población municipal;32206.0;A
2006;4159;2402;3690;53583;Población municipal;28072.0;A
2006;4159;2402;3690;53584;Población municipal;2121.0;A
2006;4159;2402;3690;53585;Población municipal;571.0;A
2006;4159;2402;3690;53586;Población municipal;808.0;A
2006;4159;2402;3690;53587;Población municipal;634.0;A
2006;4159;2482;3691;53588;Población municipal;39380.0;A
2006;4159;2482;3691;53583;Población municipal;36527.0;A
2006;4159;2482;3691;53584;Población municipal;1263.0;A
2006;4159;2482;3691;53585;Población municipal;462.0;A
2006;4159;2482;3691;53586;Población municipal;750.0;A
2006;4159;2482;3691;53587;Población municipal;378.0;A
2006;4159;2482;3689;53588;Población municipal;20235.0;A
2006;4159;2482;3689;53583;Población municipal;18811.0;A
2006;4159;2482;3689;53584;Población municipal;636.0;A
2006;4159;2482;3689;53585;Población municipal;250.0;A
2006;4159;2482;3689;53586;Población municipal;371.0;A
2006;4159;2482;3689;53587;Población municipal;167.0;A
2006;4159;2482;3690;53588;Población municipal;19145.0;A
2006;4159;2482;3690;53583;Población municipal;17716.0;A
2006;4159;2482;3690;53584;Población municipal;627.0;A
2006;4159;2482;3690;53585;Población municipal;212.0;A
2006;4159;2482;3690;53586;Población municipal;379.0;A
2006;4159;2482;3690;53587;Población municipal;211.0;A
2006;4159;2713;3691;53588;Población municipal;40806.0;A
2006;4159;2713;3691;53583;Población municipal;29904.0;A
2006;4159;2713;3691;53584;Población municipal;7980.0;A
2006;4159;2713;3691;53585;Población municipal;671.0;A
2006;4159;2713;3691;53586;Población municipal;1047.0;A
2006;4159;2713;3691;53587;Población municipal;1204.0;A
2006;4159;2713;3689;53588;Población municipal;21305.0;A
2006;4159;2713;3689;53583;Población municipal;15642.0;A
2006;4159;2713;3689;53584;Población municipal;4168.0;A
2006;4159;2713;3689;53585;Población municipal;331.0;A
2006;4159;2713;3689;53586;Población municipal;558.0;A
2006;4159;2713;3689;53587;Población municipal;606.0;A
2006;4159;2713;3690;53588;Población municipal;19501.0;A
2006;4159;2713;3690;53583;Población municipal;14262.0;A
2006;4159;2713;3690;53584;Población municipal;3812.0;A
2006;4159;2713;3690;53585;Población municipal;340.0;A
2006;4159;2713;3690;53586;Población municipal;489.0;A
2006;4159;2713;3690;53587;Población municipal;598.0;A
2006;4159;2797;3691;53588;Población municipal;25190.0;A
2006;4159;2797;3691;53583;Población municipal;20780.0;A
2006;4159;2797;3691;53584;Población municipal;2952.0;A
2006;4159;2797;3691;53585;Población municipal;650.0;A
2006;4159;2797;3691;53586;Población municipal;374.0;A
2006;4159;2797;3691;53587;Población municipal;434.0;A
2006;4159;2797;3689;53588;Población municipal;12855.0;A
2006;4159;2797;3689;53583;Población municipal;10692.0;A
2006;4159;2797;3689;53584;Población municipal;1465.0;A
2006;4159;2797;3689;53585;Población municipal;325.0;A
2006;4159;2797;3689;53586;Población municipal;181.0;A
2006;4159;2797;3689;53587;Población municipal;192.0;A
2006;4159;2797;3690;53588;Población municipal;12335.0;A
2006;4159;2797;3690;53583;Población municipal;10088.0;A
2006;4159;2797;3690;53584;Población municipal;1487.0;A
2006;4159;2797;3690;53585;Población municipal;325.0;A
2006;4159;2797;3690;53586;Población municipal;193.0;A
2006;4159;2797;3690;53587;Población municipal;242.0;A
2006;4159;2911;3691;53588;Población municipal;32166.0;A
2006;4159;2911;3691;53583;Población municipal;28616.0;A
2006;4159;2911;3691;53584;Población municipal;1844.0;A
2006;4159;2911;3691;53585;Población municipal;551.0;A
2006;4159;2911;3691;53586;Población municipal;765.0;A
2006;4159;2911;3691;53587;Población municipal;390.0;A
2006;4159;2911;3689;53588;Población municipal;16703.0;A
2006;4159;2911;3689;53583;Población municipal;14889.0;A
2006;4159;2911;3689;53584;Población municipal;959.0;A
2006;4159;2911;3689;53585;Población municipal;276.0;A
2006;4159;2911;3689;53586;Población municipal;389.0;A
2006;4159;2911;3689;53587;Población municipal;190.0;A
2006;4159;2911;3690;53588;Población municipal;15463.0;A
2006;4159;2911;3690;53583;Población municipal;13727.0;A
2006;4159;2911;3690;53584;Población municipal;885.0;A
2006;4159;2911;3690;53585;Población municipal;275.0;A
2006;4159;2911;3690;53586;Población municipal;376.0;A
2006;4159;2911;3690;53587;Población municipal;200.0;A
2006;4159;3023;3691;53588;Población municipal;79554.0;A
2006;4159;3023;3691;53583;Población municipal;65596.0;A
2006;4159;3023;3691;53584;Población municipal;7687.0;A
2006;4159;3023;3691;53585;Población municipal;1145.0;A
2006;4159;3023;3691;53586;Población municipal;1608.0;A
2006;4159;3023;3691;53587;Población municipal;3518.0;A
2006;4159;3023;3689;53588;Población municipal;40973.0;A
2006;4159;3023;3689;53583;Población municipal;33714.0;A
2006;4159;3023;3689;53584;Población municipal;4029.0;A
2006;4159;3023;3689;53585;Población municipal;580.0;A
2006;4159;3023;3689;53586;Población municipal;862.0;A
2006;4159;3023;3689;53587;Población municipal;1788.0;A
2006;4159;3023;3690;53588;Población municipal;38581.0;A
2006;4159;3023;3690;53583;Población municipal;31882.0;A
2006;4159;3023;3690;53584;Población municipal;3658.0;A
2006;4159;3023;3690;53585;Población municipal;565.0;A
2006;4159;3023;3690;53586;Población municipal;746.0;A
2006;4159;3023;3690;53587;Población municipal;1730.0;A
2006;4159;3142;3691;53588;Población municipal;102329.0;A
2006;4159;3142;3691;53583;Población municipal;81654.0;A
2006;4159;3142;3691;53584;Población municipal;16738.0;A
2006;4159;3142;3691;53585;Población municipal;1148.0;A
2006;4159;3142;3691;53586;Población municipal;1516.0;A
2006;4159;3142;3691;53587;Población municipal;1273.0;A
2006;4159;3142;3689;53588;Población municipal;52482.0;A
2006;4159;3142;3689;53583;Población municipal;41976.0;A
2006;4159;3142;3689;53584;Población municipal;8532.0;A
2006;4159;3142;3689;53585;Población municipal;597.0;A
2006;4159;3142;3689;53586;Población municipal;800.0;A
2006;4159;3142;3689;53587;Población municipal;577.0;A
2006;4159;3142;3690;53588;Población municipal;49847.0;A
2006;4159;3142;3690;53583;Población municipal;39678.0;A
2006;4159;3142;3690;53584;Población municipal;8206.0;A
2006;4159;3142;3690;53585;Población municipal;551.0;A
2006;4159;3142;3690;53586;Población municipal;716.0;A
2006;4159;3142;3690;53587;Población municipal;696.0;A
2006;4165;3143;3691;53588;Población municipal;415516.0;A
2006;4165;3143;3691;53583;Población municipal;301433.0;A
2006;4165;3143;3691;53584;Población municipal;67115.0;A
2006;4165;3143;3691;53585;Población municipal;10192.0;A
