D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;280347;3690;Población municipal;18.0;A
2021;54887;2430;3691;Población municipal;5.0;A
2021;54887;2430;3689;Población municipal;3.0;A
2021;54887;2430;3690;Población municipal;2.0;A
2021;54887;2431;3691;Población municipal;91.0;A
2021;54887;2431;3689;Población municipal;36.0;A
2021;54887;2431;3690;Población municipal;55.0;A
2021;54887;2432;3691;Población municipal;359.0;A
2021;54887;2432;3689;Población municipal;155.0;A
2021;54887;2432;3690;Población municipal;204.0;A
2021;54887;2433;3691;Población municipal;27.0;A
2021;54887;2433;3689;Población municipal;13.0;A
2021;54887;2433;3690;Población municipal;14.0;A
2021;54887;2434;3691;Población municipal;24.0;A
2021;54887;2434;3689;Población municipal;7.0;A
2021;54887;2434;3690;Población municipal;17.0;A
2021;54887;2435;3691;Población municipal;30.0;A
2021;54887;2435;3689;Población municipal;9.0;A
2021;54887;2435;3690;Población municipal;21.0;A
2021;54887;280348;3691;Población municipal;22.0;A
2021;54887;280348;3689;Población municipal;8.0;A
2021;54887;280348;3690;Población municipal;14.0;A
2021;54887;2436;3691;Población municipal;15.0;A
2021;54887;2436;3689;Población municipal;4.0;A
2021;54887;2436;3690;Población municipal;11.0;A
2021;54887;2437;3691;Población municipal;127.0;A
2021;54887;2437;3689;Población municipal;53.0;A
2021;54887;2437;3690;Población municipal;74.0;A
2021;54887;2438;3691;Población municipal;112.0;A
2021;54887;2438;3689;Población municipal;55.0;A
2021;54887;2438;3690;Población municipal;57.0;A
2021;54887;2439;3691;Población municipal;590.0;A
2021;54887;2439;3689;Población municipal;308.0;A
2021;54887;2439;3690;Población municipal;282.0;A
2021;54887;2440;3691;Población municipal;2442.0;A
2021;54887;2440;3689;Población municipal;1166.0;A
2021;54887;2440;3690;Población municipal;1276.0;A
2021;54887;2441;3691;Población municipal;63.0;A
2021;54887;2441;3689;Población municipal;31.0;A
2021;54887;2441;3690;Población municipal;32.0;A
2021;54887;2442;3691;Población municipal;73.0;A
2021;54887;2442;3689;Población municipal;24.0;A
2021;54887;2442;3690;Población municipal;49.0;A
2021;54887;2443;3691;Población municipal;148.0;A
2021;54887;2443;3689;Población municipal;68.0;A
2021;54887;2443;3690;Población municipal;80.0;A
2021;54887;2444;3691;Población municipal;815.0;A
2021;54887;2444;3689;Población municipal;336.0;A
2021;54887;2444;3690;Población municipal;479.0;A
2021;54887;2445;3691;Población municipal;255.0;A
2021;54887;2445;3689;Población municipal;107.0;A
2021;54887;2445;3690;Población municipal;148.0;A
2021;54887;2446;3691;Población municipal;32.0;A
2021;54887;2446;3689;Población municipal;11.0;A
2021;54887;2446;3690;Población municipal;21.0;A
2021;54887;2447;3691;Población municipal;72.0;A
2021;54887;2447;3689;Población municipal;35.0;A
2021;54887;2447;3690;Población municipal;37.0;A
2021;54887;2448;3691;Población municipal;67.0;A
2021;54887;2448;3689;Población municipal;25.0;A
2021;54887;2448;3690;Población municipal;42.0;A
2021;54887;2449;3691;Población municipal;54.0;A
2021;54887;2449;3689;Población municipal;32.0;A
2021;54887;2449;3690;Población municipal;22.0;A
2021;54887;2450;3691;Población municipal;63.0;A
2021;54887;2450;3689;Población municipal;29.0;A
2021;54887;2450;3690;Población municipal;34.0;A
2021;54887;2451;3691;Población municipal;1343.0;A
2021;54887;2451;3689;Población municipal;704.0;A
2021;54887;2451;3690;Población municipal;639.0;A
2021;54887;2452;3691;Población municipal;49.0;A
2021;54887;2452;3689;Población municipal;24.0;A
2021;54887;2452;3690;Población municipal;25.0;A
2021;54887;2453;3691;Población municipal;17.0;A
2021;54887;2453;3689;Población municipal;9.0;A
2021;54887;2453;3690;Población municipal;8.0;A
2021;54887;2454;3691;Población municipal;262.0;A
2021;54887;2454;3689;Población municipal;103.0;A
2021;54887;2454;3690;Población municipal;159.0;A
2021;54887;2455;3691;Población municipal;228.0;A
2021;54887;2455;3689;Población municipal;107.0;A
2021;54887;2455;3690;Población municipal;121.0;A
2021;54887;2456;3691;Población municipal;817.0;A
2021;54887;2456;3689;Población municipal;380.0;A
2021;54887;2456;3690;Población municipal;437.0;A
2021;54887;2457;3691;Población municipal;690.0;A
2021;54887;2457;3689;Población municipal;287.0;A
2021;54887;2457;3690;Población municipal;403.0;A
2021;54887;2458;3691;Población municipal;1421.0;A
2021;54887;2458;3689;Población municipal;698.0;A
2021;54887;2458;3690;Población municipal;723.0;A
2021;54887;2459;3691;Población municipal;226.0;A
2021;54887;2459;3689;Población municipal;101.0;A
2021;54887;2459;3690;Población municipal;125.0;A
2021;54887;2460;3691;Población municipal;547.0;A
2021;54887;2460;3689;Población municipal;310.0;A
2021;54887;2460;3690;Población municipal;237.0;A
2021;54887;2461;3691;Población municipal;7.0;A
2021;54887;2461;3690;Población municipal;7.0;A
2021;54887;2463;3691;Población municipal;18.0;A
2021;54887;2463;3689;Población municipal;9.0;A
2021;54887;2463;3690;Población municipal;9.0;A
2021;54887;2462;3691;Población municipal;144.0;A
2021;54887;2462;3689;Población municipal;60.0;A
2021;54887;2462;3690;Población municipal;84.0;A
2021;54887;2464;3691;Población municipal;15.0;A
2021;54887;2464;3689;Población municipal;5.0;A
2021;54887;2464;3690;Población municipal;10.0;A
2021;54887;2465;3691;Población municipal;23.0;A
2021;54887;2465;3689;Población municipal;15.0;A
2021;54887;2465;3690;Población municipal;8.0;A
2021;54887;2466;3691;Población municipal;10.0;A
2021;54887;2466;3689;Población municipal;5.0;A
2021;54887;2466;3690;Población municipal;5.0;A
2021;54887;2467;3691;Población municipal;45.0;A
2021;54887;2467;3689;Población municipal;20.0;A
2021;54887;2467;3690;Población municipal;25.0;A
2021;54887;2468;3691;Población municipal;88.0;A
2021;54887;2468;3689;Población municipal;32.0;A
2021;54887;2468;3690;Población municipal;56.0;A
2021;54887;2469;3691;Población municipal;102.0;A
2021;54887;2469;3689;Población municipal;46.0;A
2021;54887;2469;3690;Población municipal;56.0;A
2021;54887;2470;3691;Población municipal;57.0;A
2021;54887;2470;3689;Población municipal;31.0;A
2021;54887;2470;3690;Población municipal;26.0;A
2021;54887;2471;3691;Población municipal;166.0;A
2021;54887;2471;3689;Población municipal;82.0;A
2021;54887;2471;3690;Población municipal;84.0;A
2021;54887;2472;3691;Población municipal;43.0;A
2021;54887;2472;3689;Población municipal;23.0;A
2021;54887;2472;3690;Población municipal;20.0;A
2021;54887;2473;3691;Población municipal;21.0;A
2021;54887;2473;3689;Población municipal;9.0;A
2021;54887;2473;3690;Población municipal;12.0;A
2021;54887;2474;3691;Población municipal;19.0;A
2021;54887;2474;3689;Población municipal;12.0;A
2021;54887;2474;3690;Población municipal;7.0;A
2021;54887;2475;3691;Población municipal;84.0;A
2021;54887;2475;3689;Población municipal;31.0;A
2021;54887;2475;3690;Población municipal;53.0;A
2021;54887;2476;3691;Población municipal;85.0;A
2021;54887;2476;3689;Población municipal;28.0;A
2021;54887;2476;3690;Población municipal;57.0;A
2021;54887;2477;3691;Población municipal;22.0;A
2021;54887;2477;3689;Población municipal;9.0;A
2021;54887;2477;3690;Población municipal;13.0;A
2021;54682;2402;3691;Población municipal;25347.0;A
2021;54682;2402;3689;Población municipal;12423.0;A
2021;54682;2402;3690;Población municipal;12924.0;A
2021;54682;2353;3691;Población municipal;56.0;A
2021;54682;2353;3689;Población municipal;28.0;A
2021;54682;2353;3690;Población municipal;28.0;A
2021;54682;2354;3691;Población municipal;72.0;A
2021;54682;2354;3689;Población municipal;33.0;A
2021;54682;2354;3690;Población municipal;39.0;A
2021;54682;2355;3691;Población municipal;8.0;A
2021;54682;2355;3689;Población municipal;3.0;A
2021;54682;2355;3690;Población municipal;5.0;A
2021;54682;2356;3691;Población municipal;2102.0;A
2021;54682;2356;3689;Población municipal;1027.0;A
2021;54682;2356;3690;Población municipal;1075.0;A
2021;54682;2357;3691;Población municipal;196.0;A
2021;54682;2357;3689;Población municipal;98.0;A
2021;54682;2357;3690;Población municipal;98.0;A
2021;54682;2358;3691;Población municipal;461.0;A
2021;54682;2358;3689;Población municipal;239.0;A
2021;54682;2358;3690;Población municipal;222.0;A
2021;54682;2359;3691;Población municipal;345.0;A
2021;54682;2359;3689;Población municipal;172.0;A
2021;54682;2359;3690;Población municipal;173.0;A
2021;54682;2361;3691;Población municipal;540.0;A
2021;54682;2361;3689;Población municipal;285.0;A
2021;54682;2361;3690;Población municipal;255.0;A
2021;54682;2397;3691;Población municipal;77.0;A
2021;54682;2397;3689;Población municipal;44.0;A
2021;54682;2397;3690;Población municipal;33.0;A
2021;54682;2362;3691;Población municipal;10.0;A
2021;54682;2362;3689;Población municipal;7.0;A
2021;54682;2362;3690;Población municipal;3.0;A
2021;54682;2363;3691;Población municipal;73.0;A
2021;54682;2363;3689;Población municipal;26.0;A
2021;54682;2363;3690;Población municipal;47.0;A
2021;54682;2364;3691;Población municipal;36.0;A
2021;54682;2364;3689;Población municipal;12.0;A
2021;54682;2364;3690;Población municipal;24.0;A
2021;54682;2365;3691;Población municipal;1215.0;A
2021;54682;2365;3689;Población municipal;579.0;A
2021;54682;2365;3690;Población municipal;636.0;A
2021;54682;2366;3691;Población municipal;110.0;A
2021;54682;2366;3689;Población municipal;54.0;A
2021;54682;2366;3690;Población municipal;56.0;A
2021;54682;2368;3691;Población municipal;2591.0;A
2021;54682;2368;3689;Población municipal;1272.0;A
2021;54682;2368;3690;Población municipal;1319.0;A
2021;54682;2369;3691;Población municipal;288.0;A
2021;54682;2369;3689;Población municipal;133.0;A
2021;54682;2369;3690;Población municipal;155.0;A
2021;54682;2367;3691;Población municipal;762.0;A
2021;54682;2367;3689;Población municipal;369.0;A
2021;54682;2367;3690;Población municipal;393.0;A
2021;54682;2370;3691;Población municipal;23.0;A
2021;54682;2370;3689;Población municipal;14.0;A
2021;54682;2370;3690;Población municipal;9.0;A
2021;54682;2371;3691;Población municipal;64.0;A
2021;54682;2371;3689;Población municipal;32.0;A
2021;54682;2371;3690;Población municipal;32.0;A
2021;54682;2372;3691;Población municipal;35.0;A
2021;54682;2372;3689;Población municipal;18.0;A
2021;54682;2372;3690;Población municipal;17.0;A
2021;54682;2373;3691;Población municipal;2241.0;A
2021;54682;2373;3689;Población municipal;1004.0;A
2021;54682;2373;3690;Población municipal;1237.0;A
2021;54682;2374;3691;Población municipal;549.0;A
2021;54682;2374;3689;Población municipal;254.0;A
2021;54682;2374;3690;Población municipal;295.0;A
2021;54682;2375;3691;Población municipal;3719.0;A
2021;54682;2375;3689;Población municipal;1925.0;A
2021;54682;2375;3690;Población municipal;1794.0;A
2021;54682;2376;3691;Población municipal;143.0;A
2021;54682;2376;3689;Población municipal;72.0;A
2021;54682;2376;3690;Población municipal;71.0;A
2021;54682;2377;3691;Población municipal;240.0;A
2021;54682;2377;3689;Población municipal;125.0;A
2021;54682;2377;3690;Población municipal;115.0;A
2021;54682;2378;3691;Población municipal;37.0;A
2021;54682;2378;3689;Población municipal;17.0;A
2021;54682;2378;3690;Población municipal;20.0;A
2021;54682;2379;3691;Población municipal;40.0;A
2021;54682;2379;3689;Población municipal;20.0;A
2021;54682;2379;3690;Población municipal;20.0;A
2021;54682;2380;3691;Población municipal;1646.0;A
2021;54682;2380;3689;Población municipal;758.0;A
2021;54682;2380;3690;Población municipal;888.0;A
2021;54682;2381;3691;Población municipal;386.0;A
2021;54682;2381;3689;Población municipal;182.0;A
2021;54682;2381;3690;Población municipal;204.0;A
2021;54682;2382;3691;Población municipal;72.0;A
2021;54682;2382;3689;Población municipal;23.0;A
2021;54682;2382;3690;Población municipal;49.0;A
2021;54682;2383;3691;Población municipal;319.0;A
2021;54682;2383;3689;Población municipal;147.0;A
2021;54682;2383;3690;Población municipal;172.0;A
2021;54682;2384;3691;Población municipal;558.0;A
2021;54682;2384;3689;Población municipal;292.0;A
2021;54682;2384;3690;Población municipal;266.0;A
2021;54682;2398;3691;Población municipal;32.0;A
2021;54682;2398;3689;Población municipal;11.0;A
2021;54682;2398;3690;Población municipal;21.0;A
2021;54682;280346;3691;Población municipal;440.0;A
2021;54682;280346;3689;Población municipal;232.0;A
2021;54682;280346;3690;Población municipal;208.0;A
2021;54682;2386;3691;Población municipal;3086.0;A
2021;54682;2386;3689;Población municipal;1567.0;A
2021;54682;2386;3690;Población municipal;1519.0;A
2021;54682;2385;3691;Población municipal;722.0;A
2021;54682;2385;3689;Población municipal;340.0;A
2021;54682;2385;3690;Población municipal;382.0;A
2021;54682;2387;3691;Población municipal;56.0;A
2021;54682;2387;3689;Población municipal;26.0;A
2021;54682;2387;3690;Población municipal;30.0;A
2021;54682;2388;3691;Población municipal;1305.0;A
2021;54682;2388;3689;Población municipal;665.0;A
2021;54682;2388;3690;Población municipal;640.0;A
2021;54682;2389;3691;Población municipal;5.0;A
2021;54682;2389;3690;Población municipal;5.0;A
2021;54682;2390;3691;Población municipal;74.0;A
2021;54682;2390;3689;Población municipal;35.0;A
2021;54682;2390;3690;Población municipal;39.0;A
2021;54682;2391;3691;Población municipal;78.0;A
2021;54682;2391;3689;Población municipal;43.0;A
2021;54682;2391;3690;Población municipal;35.0;A
2021;54682;2392;3691;Población municipal;360.0;A
