D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3676;8001;ESTABLECIMIENTO;109.0;A
2020;3676;8004;ESTABLECIMIENTO;9.0;A
2020;3676;8007;ESTABLECIMIENTO;879.0;A
2020;3676;8009;ESTABLECIMIENTO;;A
2020;3676;8019;ESTABLECIMIENTO;4982.0;A
2020;3676;8016;ESTABLECIMIENTO;4982.0;A
2020;3676;8018;ESTABLECIMIENTO;;A
2020;3676;8030;ESTABLECIMIENTO;651.0;A
2020;3676;8023;ESTABLECIMIENTO;546.0;A
2020;3676;8027;ESTABLECIMIENTO;105.0;A
2020;3676;8029;ESTABLECIMIENTO;;A
2020;3676;8032;ESTABLECIMIENTO;131576.0;A
2020;3676;8080;ESTABLECIMIENTO;18117.0;A
2020;3676;8050;ESTABLECIMIENTO;4451.0;A
2020;3676;8036;ESTABLECIMIENTO;4070.0;A
2020;3676;8039;ESTABLECIMIENTO;46.0;A
2020;3676;8042;ESTABLECIMIENTO;32.0;A
2020;3676;8047;ESTABLECIMIENTO;303.0;A
2020;3676;8049;ESTABLECIMIENTO;;A
2020;3676;8063;ESTABLECIMIENTO;719.0;A
2020;3676;8054;ESTABLECIMIENTO;715.0;A
2020;3676;8057;ESTABLECIMIENTO;4.0;A
2020;3676;8060;ESTABLECIMIENTO;;A
2020;3676;8062;ESTABLECIMIENTO;;A
2020;3676;8079;ESTABLECIMIENTO;12947.0;A
2020;3676;8068;ESTABLECIMIENTO;1728.0;A
2020;3676;8073;ESTABLECIMIENTO;11196.0;A
2020;3676;8076;ESTABLECIMIENTO;23.0;A
2020;3676;8078;ESTABLECIMIENTO;;A
2020;3676;8094;ESTABLECIMIENTO;30711.0;A
2020;3676;8093;ESTABLECIMIENTO;30711.0;A
2020;3676;8083;ESTABLECIMIENTO;69.0;A
2020;3676;8086;ESTABLECIMIENTO;19373.0;A
2020;3676;8090;ESTABLECIMIENTO;11269.0;A
2020;3676;8092;ESTABLECIMIENTO;;A
2020;3676;8165;ESTABLECIMIENTO;59603.0;A
2020;3676;8103;ESTABLECIMIENTO;22882.0;A
2020;3676;8097;ESTABLECIMIENTO;12976.0;A
2020;3676;8100;ESTABLECIMIENTO;9906.0;A
2020;3676;8102;ESTABLECIMIENTO;;A
2020;3676;8113;ESTABLECIMIENTO;2618.0;A
2020;3676;8106;ESTABLECIMIENTO;18.0;A
2020;3676;8110;ESTABLECIMIENTO;2600.0;A
2020;3676;8112;ESTABLECIMIENTO;;A
2020;3676;8123;ESTABLECIMIENTO;13258.0;A
2020;3676;8117;ESTABLECIMIENTO;13111.0;A
2020;3676;8120;ESTABLECIMIENTO;147.0;A
