D_MACROECO_0;D_TEMPORAL_0;D_ESTADO_DATO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
93064;2020;40125;3143;Tasa interanual. Precio corriente;-5.273159989;A
93064;2019;40124;3143;Tasa interanual. Precio corriente;6.305370064;A
93064;2018;40123;3143;Tasa interanual. Precio corriente;3.988094328;A
93064;2017;40123;3143;Tasa interanual. Precio corriente;4.397703959;A
93064;2016;40123;3143;Tasa interanual. Precio corriente;1.98803656;A
93064;2015;40123;3143;Tasa interanual. Precio corriente;6.583960184;A
93064;2014;40123;3143;Tasa interanual. Precio corriente;1.630783859;A
93064;2013;40123;3143;Tasa interanual. Precio corriente;-3.600143869;A
93064;2012;40123;3143;Tasa interanual. Precio corriente;-8.210158499;A
93064;2011;40123;3143;Tasa interanual. Precio corriente;-1.8293051;A
93064;2010;40123;3143;Tasa interanual. Precio corriente;-1.886238551;A
93064;2009;40123;3143;Tasa interanual. Precio corriente;-3.160930296;A
93064;2008;40123;3143;Tasa interanual. Precio corriente;4.578827245;A
