D_TERRITORIO_0;D_TEMPORAL_0;D_CNAE_O9_CRA_NEW_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
3143;2018;273228;40123;Consumos intermedios a precios de adquisición;121441.0;A
3143;2018;273157;40123;Consumos intermedios a precios de adquisición;3440085.0;A
3143;2018;273229;40123;Consumos intermedios a precios de adquisición;615710.0;A
3143;2018;273230;40123;Consumos intermedios a precios de adquisición;80358.0;A
3143;2018;273231;40123;Consumos intermedios a precios de adquisición;916755.0;A
3143;2018;273232;40123;Consumos intermedios a precios de adquisición;208211.0;A
3143;2018;273233;40123;Consumos intermedios a precios de adquisición;768497.0;A
3143;2018;273234;40123;Consumos intermedios a precios de adquisición;850554.0;A
3143;2018;273257;40123;Consumos intermedios a precios de adquisición;12706405;A
3143;2018;273158;40123;Consumos intermedios a precios de adquisición;4004365.0;A
3143;2018;273235;40123;Consumos intermedios a precios de adquisición;4004365.0;A
3143;2018;273159;40123;Consumos intermedios a precios de adquisición;1839549.0;A
3143;2018;273236;40123;Consumos intermedios a precios de adquisición;1313074.0;A
3143;2018;273237;40123;Consumos intermedios a precios de adquisición;526475.0;A
3143;2018;273160;40123;Consumos intermedios a precios de adquisición;5446734.0;A
3143;2018;273238;40123;Consumos intermedios a precios de adquisición;2806289.0;A
3143;2018;273239;40123;Consumos intermedios a precios de adquisición;2640445.0;A
3143;2018;273161;40123;Consumos intermedios a precios de adquisición;1415757.0;A
3143;2018;273240;40123;Consumos intermedios a precios de adquisición;341670.0;A
3143;2018;273241;40123;Consumos intermedios a precios de adquisición;1074087.0;A
3143;2018;273259;40123;Consumos intermedios a precios de adquisición;4185203.0;A
3143;2018;273162;40123;Consumos intermedios a precios de adquisición;2304791.0;A
3143;2018;273242;40123;Consumos intermedios a precios de adquisición;1193421.0;A
3143;2018;273243;40123;Consumos intermedios a precios de adquisición;1111370.0;A
3143;2018;273163;40123;Consumos intermedios a precios de adquisición;1880412.0;A
3143;2018;273244;40123;Consumos intermedios a precios de adquisición;743704.0;A
3143;2018;273245;40123;Consumos intermedios a precios de adquisición;290061.0;A
3143;2018;273246;40123;Consumos intermedios a precios de adquisición;846647.0;A
3143;2018;273164;40123;Consumos intermedios a precios de adquisición;0.0;A
3143;2018;273247;40123;Consumos intermedios a precios de adquisición;0.0;A
3143;2018;273260;40123;Consumos intermedios a precios de adquisición;148179297;A
3143;2018;273261;40123;Consumos intermedios a precios de adquisición;;A
3143;2018;273252;40123;Consumos intermedios a precios de adquisición;;A
3143;2018;273258;40123;Consumos intermedios a precios de adquisición;;A
3143;2017;273165;40123;Consumos intermedios a precios de adquisición;4162593.0;A
3143;2017;273129;40123;Consumos intermedios a precios de adquisición;4162593.0;A
3143;2017;273167;40123;Consumos intermedios a precios de adquisición;3795486.0;A
3143;2017;273168;40123;Consumos intermedios a precios de adquisición;205589.0;A
3143;2017;273169;40123;Consumos intermedios a precios de adquisición;161518.0;A
3143;2017;273166;40123;Consumos intermedios a precios de adquisición;57801044;A
3143;2017;273248;40123;Consumos intermedios a precios de adquisición;49017659;A
3143;2017;273130;40123;Consumos intermedios a precios de adquisición;583686.0;A
3143;2017;273170;40123;Consumos intermedios a precios de adquisición;583686.0;A
3143;2017;273131;40123;Consumos intermedios a precios de adquisición;15642696;A
3143;2017;273171;40123;Consumos intermedios a precios de adquisición;1924612.0;A
3143;2017;273172;40123;Consumos intermedios a precios de adquisición;315818.0;A
3143;2017;273173;40123;Consumos intermedios a precios de adquisición;1492375.0;A
3143;2017;273174;40123;Consumos intermedios a precios de adquisición;7123164.0;A
3143;2017;273175;40123;Consumos intermedios a precios de adquisición;510869.0;A
3143;2017;273176;40123;Consumos intermedios a precios de adquisición;1089918.0;A
3143;2017;273177;40123;Consumos intermedios a precios de adquisición;1279565.0;A
3143;2017;273178;40123;Consumos intermedios a precios de adquisición;1906375.0;A
3143;2017;273132;40123;Consumos intermedios a precios de adquisición;534455.0;A
3143;2017;273179;40123;Consumos intermedios a precios de adquisición;534455.0;A
3143;2017;273133;40123;Consumos intermedios a precios de adquisición;1259266.0;A
3143;2017;273180;40123;Consumos intermedios a precios de adquisición;466825.0;A
3143;2017;273181;40123;Consumos intermedios a precios de adquisición;544345.0;A
3143;2017;273182;40123;Consumos intermedios a precios de adquisición;248096.0;A
3143;2017;273134;40123;Consumos intermedios a precios de adquisición;16517165;A
3143;2017;273183;40123;Consumos intermedios a precios de adquisición;15607533;A
3143;2017;273184;40123;Consumos intermedios a precios de adquisición;909632.0;A
3143;2017;273135;40123;Consumos intermedios a precios de adquisición;169302.0;A
3143;2017;273185;40123;Consumos intermedios a precios de adquisición;169302.0;A
3143;2017;273136;40123;Consumos intermedios a precios de adquisición;2117312.0;A
3143;2017;273186;40123;Consumos intermedios a precios de adquisición;913352.0;A
3143;2017;273189;40123;Consumos intermedios a precios de adquisición;518917.0;A
3143;2017;273188;40123;Consumos intermedios a precios de adquisición;82770.0;A
3143;2017;273187;40123;Consumos intermedios a precios de adquisición;602273.0;A
3143;2017;273137;40123;Consumos intermedios a precios de adquisición;6519368.0;A
3143;2017;273190;40123;Consumos intermedios a precios de adquisición;5005448.0;A
3143;2017;273191;40123;Consumos intermedios a precios de adquisición;1513920.0;A
3143;2017;273138;40123;Consumos intermedios a precios de adquisición;202797.0;A
3143;2017;273192;40123;Consumos intermedios a precios de adquisición;202797.0;A
3143;2017;273139;40123;Consumos intermedios a precios de adquisición;1067503.0;A
3143;2017;273193;40123;Consumos intermedios a precios de adquisición;1067503.0;A
3143;2017;273140;40123;Consumos intermedios a precios de adquisición;544915.0;A
3143;2017;273194;40123;Consumos intermedios a precios de adquisición;544915.0;A
3143;2017;273141;40123;Consumos intermedios a precios de adquisición;2640556.0;A
3143;2017;273195;40123;Consumos intermedios a precios de adquisición;588932.0;A
3143;2017;273196;40123;Consumos intermedios a precios de adquisición;226219.0;A
3143;2017;273197;40123;Consumos intermedios a precios de adquisición;1825405.0;A
3143;2017;273142;40123;Consumos intermedios a precios de adquisición;1802324.0;A
3143;2017;273198;40123;Consumos intermedios a precios de adquisición;496704.0;A
3143;2017;273199;40123;Consumos intermedios a precios de adquisición;363779.0;A
3143;2017;273200;40123;Consumos intermedios a precios de adquisición;941841.0;A
3143;2017;273143;40123;Consumos intermedios a precios de adquisición;6546319.0;A
3143;2017;273201;40123;Consumos intermedios a precios de adquisición;5094536.0;A
3143;2017;273202;40123;Consumos intermedios a precios de adquisición;1451783.0;A
3143;2017;273144;40123;Consumos intermedios a precios de adquisición;1653380.0;A
3143;2017;273203;40123;Consumos intermedios a precios de adquisición;1001332.0;A
3143;2017;273204;40123;Consumos intermedios a precios de adquisición;652048.0;A
3143;2017;273249;40123;Consumos intermedios a precios de adquisición;11081503;A
3143;2017;273145;40123;Consumos intermedios a precios de adquisición;11081503;A
3143;2017;273205;40123;Consumos intermedios a precios de adquisición;11081503;A
3143;2017;273251;40123;Consumos intermedios a precios de adquisición;66293892;A
3143;2017;273250;40123;Consumos intermedios a precios de adquisición;32856337;A
3143;2017;273146;40123;Consumos intermedios a precios de adquisición;13850897;A
3143;2017;273206;40123;Consumos intermedios a precios de adquisición;2270224.0;A
3143;2017;273207;40123;Consumos intermedios a precios de adquisición;6441701.0;A
3143;2017;273208;40123;Consumos intermedios a precios de adquisición;5138972.0;A
3143;2017;273147;40123;Consumos intermedios a precios de adquisición;9320644.0;A
3143;2017;273209;40123;Consumos intermedios a precios de adquisición;5676843.0;A
3143;2017;273210;40123;Consumos intermedios a precios de adquisición;306517.0;A
3143;2017;273211;40123;Consumos intermedios a precios de adquisición;3070964.0;A
3143;2017;273212;40123;Consumos intermedios a precios de adquisición;266320.0;A
3143;2017;273148;40123;Consumos intermedios a precios de adquisición;9684796.0;A
3143;2017;273213;40123;Consumos intermedios a precios de adquisición;2105225.0;A
3143;2017;273214;40123;Consumos intermedios a precios de adquisición;7579571.0;A
3143;2017;273253;40123;Consumos intermedios a precios de adquisición;2852482.0;A
3143;2017;273149;40123;Consumos intermedios a precios de adquisición;533945.0;A
3143;2017;273215;40123;Consumos intermedios a precios de adquisición;204248.0;A
3143;2017;273216;40123;Consumos intermedios a precios de adquisición;329697.0;A
3143;2017;273150;40123;Consumos intermedios a precios de adquisición;1618609.0;A
3143;2017;273217;40123;Consumos intermedios a precios de adquisición;1618609.0;A
3143;2017;273151;40123;Consumos intermedios a precios de adquisición;699928.0;A
3143;2017;273218;40123;Consumos intermedios a precios de adquisición;699928.0;A
3143;2017;273254;40123;Consumos intermedios a precios de adquisición;3694649.0;A
