D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2015;2243;_T;Y70-74;DEATHS;16.0;A
2015;2243;_T;Y75-79;DEATHS;24.0;A
2015;2243;_T;Y80-84;DEATHS;35.0;A
2015;2243;_T;Y85-89;DEATHS;36.0;A
2015;2243;_T;Y90-94;DEATHS;16.0;A
2015;2243;_T;Y95-99;DEATHS;4.0;A
2015;2243;_T;Y_GE100;DEATHS;1.0;A
2015;2243;M;TOTAL;DEATHS;103.0;A
2015;2243;M;Y_LT1;DEATHS;1.0;A
2015;2243;M;Y30-34;DEATHS;2.0;A
2015;2243;M;Y35-39;DEATHS;3.0;A
2015;2243;M;Y45-49;DEATHS;4.0;A
2015;2243;M;Y50-54;DEATHS;3.0;A
2015;2243;M;Y55-59;DEATHS;9.0;A
2015;2243;M;Y60-64;DEATHS;11.0;A
2015;2243;M;Y65-69;DEATHS;10.0;A
2015;2243;M;Y70-74;DEATHS;10.0;A
2015;2243;M;Y75-79;DEATHS;16.0;A
2015;2243;M;Y80-84;DEATHS;16.0;A
2015;2243;M;Y85-89;DEATHS;11.0;A
2015;2243;M;Y90-94;DEATHS;6.0;A
2015;2243;M;Y95-99;DEATHS;1.0;A
2015;2243;F;TOTAL;DEATHS;85.0;A
2015;2243;F;Y25-29;DEATHS;1.0;A
2015;2243;F;Y45-49;DEATHS;4.0;A
2015;2243;F;Y55-59;DEATHS;2.0;A
2015;2243;F;Y60-64;DEATHS;2.0;A
2015;2243;F;Y65-69;DEATHS;4.0;A
2015;2243;F;Y70-74;DEATHS;6.0;A
2015;2243;F;Y75-79;DEATHS;8.0;A
2015;2243;F;Y80-84;DEATHS;19.0;A
2015;2243;F;Y85-89;DEATHS;25.0;A
2015;2243;F;Y90-94;DEATHS;10.0;A
2015;2243;F;Y95-99;DEATHS;3.0;A
2015;2243;F;Y_GE100;DEATHS;1.0;A
2015;2244;_T;TOTAL;DEATHS;7.0;A
2015;2244;_T;Y80-84;DEATHS;3.0;A
2015;2244;_T;Y85-89;DEATHS;3.0;A
2015;2244;_T;Y90-94;DEATHS;1.0;A
2015;2244;M;TOTAL;DEATHS;3.0;A
2015;2244;M;Y80-84;DEATHS;1.0;A
2015;2244;M;Y85-89;DEATHS;1.0;A
2015;2244;M;Y90-94;DEATHS;1.0;A
2015;2244;F;TOTAL;DEATHS;4.0;A
2015;2244;F;Y80-84;DEATHS;2.0;A
2015;2244;F;Y85-89;DEATHS;2.0;A
2015;2245;_T;TOTAL;DEATHS;11.0;A
2015;2245;_T;Y55-59;DEATHS;2.0;A
2015;2245;_T;Y70-74;DEATHS;1.0;A
2015;2245;_T;Y75-79;DEATHS;1.0;A
2015;2245;_T;Y80-84;DEATHS;2.0;A
