OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55538;55548;2011;VIAJEROS;9220.01;A
A;55538;55548;2010;VIAJEROS;8631.14;A
A;55538;55548;2009;VIAJEROS;11160.6;A
A;55538;55548;2008;VIAJEROS;11373.72;A
A;55538;55549;2020;VIAJEROS;23962.53404196;A
A;55538;55549;2019;VIAJEROS;50536.30156861;A
A;55538;55549;2018;VIAJEROS;44308.48296015;A
A;55538;55549;2017;VIAJEROS;37553.39184783;A
A;55538;55549;2016;VIAJEROS;41511.0399195;A
A;55538;55549;2015;VIAJEROS;38598.24778866;A
A;55538;55549;2014;VIAJEROS;33890.9786005;A
A;55538;55549;2013;VIAJEROS;36157.66;A
A;55538;55549;2012;VIAJEROS;26146.68;A
A;55538;55549;2011;VIAJEROS;35553.81;A
A;55538;55549;2010;VIAJEROS;40998.0;A
A;55538;55549;2009;VIAJEROS;44384.32;A
A;55538;55549;2008;VIAJEROS;42792.41;A
A;55538;55550;2020;VIAJEROS;16727.741510917;A
A;55538;55550;2019;VIAJEROS;34183.185093544;A
A;55538;55550;2018;VIAJEROS;33003.56203198;A
A;55538;55550;2017;VIAJEROS;29331.54917455;A
A;55538;55550;2016;VIAJEROS;32361.90550562;A
A;55538;55550;2015;VIAJEROS;26781.99474364;A
A;55538;55550;2014;VIAJEROS;25587.82994647;A
A;55538;55550;2013;VIAJEROS;29341.63;A
A;55538;55550;2012;VIAJEROS;25032.17;A
A;55538;55550;2011;VIAJEROS;29165.37;A
A;55538;55550;2010;VIAJEROS;32416.5;A
A;55538;55550;2009;VIAJEROS;40097.17;A
A;55538;55550;2008;VIAJEROS;40417.29;A
A;55538;55551;2020;VIAJEROS;24864.873515835;A
A;55538;55551;2019;VIAJEROS;44823.242491441;A
A;55538;55551;2018;VIAJEROS;44652.82906092;A
A;55538;55551;2017;VIAJEROS;40964.65200854;A
A;55538;55551;2016;VIAJEROS;42548.1019338;A
A;55538;55551;2015;VIAJEROS;43523.9138132;A
A;55538;55551;2014;VIAJEROS;36710.42439425;A
A;55538;55551;2013;VIAJEROS;41519.63;A
