OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70688;2013;EMPLEO_MEDIO;1156.084166667;A
A;70688;2012;EMPLEO_MEDIO;1180.133333332;A
A;70688;2011;EMPLEO_MEDIO;1245.308333333;A
A;70688;2010;EMPLEO_MEDIO;1159.0675;A
A;70688;2009;EMPLEO_MEDIO;1161.836666667;A
A;70688;2008;EMPLEO_MEDIO;1230.01;A
A;55120;2020;EMPLEO_MEDIO;1569.310049863;A
A;55120;2019;EMPLEO_MEDIO;3644.786514881;A
A;55120;2018;EMPLEO_MEDIO;3552.707675873;A
A;55120;2017;EMPLEO_MEDIO;3324.186759562;A
A;55120;2016;EMPLEO_MEDIO;2989.45024888;A
A;55120;2015;EMPLEO_MEDIO;2730.043276098;A
A;55120;2014;EMPLEO_MEDIO;2590.767571119;A
A;55120;2013;EMPLEO_MEDIO;2447.885833332;A
A;55120;2012;EMPLEO_MEDIO;2579.4225;A
A;55120;2011;EMPLEO_MEDIO;2780.694166666;A
A;55120;2010;EMPLEO_MEDIO;2691.255;A
A;55120;2009;EMPLEO_MEDIO;2703.049166665;A
A;55120;2008;EMPLEO_MEDIO;3611.7925;A
A;70689;2020;EMPLEO_MEDIO;257.911372969;A
A;70689;2019;EMPLEO_MEDIO;583.013274008;A
A;70689;2018;EMPLEO_MEDIO;548.425792023;A
A;70689;2017;EMPLEO_MEDIO;546.948933908;A
A;70689;2016;EMPLEO_MEDIO;469.404120346;A
A;70689;2015;EMPLEO_MEDIO;462.120701223;A
A;70689;2014;EMPLEO_MEDIO;504.557218688;A
A;70689;2013;EMPLEO_MEDIO;483.173333334;A
A;70689;2012;EMPLEO_MEDIO;448.557499999;A
A;70689;2011;EMPLEO_MEDIO;433.273333333;A
A;70689;2010;EMPLEO_MEDIO;432.186666666;A
A;70689;2009;EMPLEO_MEDIO;426.958333334;A
A;70689;2008;EMPLEO_MEDIO;478.275000001;A
A;55121;2020;EMPLEO_MEDIO;160.89472046;A
A;55121;2019;EMPLEO_MEDIO;330.980050958;A
A;55121;2018;EMPLEO_MEDIO;350.636823223;A
A;55121;2017;EMPLEO_MEDIO;337.200225616;A
A;55121;2016;EMPLEO_MEDIO;307.475910461;A
A;55121;2015;EMPLEO_MEDIO;267.858539428;A
A;55121;2014;EMPLEO_MEDIO;260.161209562;A
A;55121;2013;EMPLEO_MEDIO;249.255833334;A
A;55121;2012;EMPLEO_MEDIO;246.643333333;A
A;55121;2010;EMPLEO_MEDIO;258.3075;A
A;55121;2009;EMPLEO_MEDIO;250.343333333;A
A;55121;2008;EMPLEO_MEDIO;288.065833333;A
A;70690;2020;EMPLEO_MEDIO;871.245884153;A
A;70690;2019;EMPLEO_MEDIO;2431.870639422;A
A;70690;2018;EMPLEO_MEDIO;2318.777140083;A
A;70690;2017;EMPLEO_MEDIO;2232.517814824;A
A;70690;2016;EMPLEO_MEDIO;2148.079525671;A
A;70690;2015;EMPLEO_MEDIO;2098.308478182;A
A;70690;2014;EMPLEO_MEDIO;2041.333760577;A
A;70690;2013;EMPLEO_MEDIO;2110.813333333;A
A;70690;2012;EMPLEO_MEDIO;2310.649999999;A
A;70690;2011;EMPLEO_MEDIO;2184.909166667;A
A;70690;2010;EMPLEO_MEDIO;2014.671666666;A
A;70690;2009;EMPLEO_MEDIO;2092.050833333;A
A;70690;2008;EMPLEO_MEDIO;2384.688333334;A
A;55122;2019;EMPLEO_MEDIO;116.005456574;A
A;70691;2020;EMPLEO_MEDIO;1604.724950056;A
A;70691;2019;EMPLEO_MEDIO;3718.477259619;A
A;70691;2018;EMPLEO_MEDIO;3595.675625472;A
A;70691;2017;EMPLEO_MEDIO;3475.333647385;A
A;70691;2016;EMPLEO_MEDIO;3393.378090818;A
A;70691;2015;EMPLEO_MEDIO;3312.776188685;A
A;70691;2014;EMPLEO_MEDIO;2941.008564056;A
A;70691;2013;EMPLEO_MEDIO;2856.080833334;A
A;70691;2012;EMPLEO_MEDIO;2779.476666665;A
A;70691;2011;EMPLEO_MEDIO;2740.775000001;A
A;70691;2010;EMPLEO_MEDIO;2744.386666667;A
A;70691;2009;EMPLEO_MEDIO;2652.345;A
A;70691;2008;EMPLEO_MEDIO;2748.834166668;A
P;70665;2021;EMPLEO_MEDIO;348.873716085;A
P;55107;2021;EMPLEO_MEDIO;236.341294326;A
P;55108;2021;EMPLEO_MEDIO;113.865159068;A
P;70667;2021;EMPLEO_MEDIO;695.446941505;A
P;70669;2021;EMPLEO_MEDIO;214.760207507;A
P;55109;2021;EMPLEO_MEDIO;115.943997659;A
P;70671;2021;EMPLEO_MEDIO;331.027248527;A
P;70672;2021;EMPLEO_MEDIO;1103.684110409;A
P;70673;2021;EMPLEO_MEDIO;226.817228471;A
P;55110;2021;EMPLEO_MEDIO;379.415617648;A
P;70674;2021;EMPLEO_MEDIO;322.626570921;A
P;70675;2021;EMPLEO_MEDIO;152.869408088;A
P;278910;2021;EMPLEO_MEDIO;312.175568084;A
P;55111;2021;EMPLEO_MEDIO;300.707742774;A
P;55113;2021;EMPLEO_MEDIO;570.000122926;A
P;55114;2021;EMPLEO_MEDIO;259.326846544;A
P;55115;2021;EMPLEO_MEDIO;854.466272931;A
P;70676;2021;EMPLEO_MEDIO;163.35862681;A
P;70679;2021;EMPLEO_MEDIO;96.925397911;A
P;278109;2021;EMPLEO_MEDIO;52.226593645;A
P;70681;2021;EMPLEO_MEDIO;89.562594865;A
P;269777;2021;EMPLEO_MEDIO;53.10028566;A
P;70682;2021;EMPLEO_MEDIO;167.603661218;A
P;70683;2021;EMPLEO_MEDIO;109.074370081;A
P;70684;2021;EMPLEO_MEDIO;115.983811249;A
P;70685;2021;EMPLEO_MEDIO;858.725726912;A
P;70686;2021;EMPLEO_MEDIO;795.41312534;A
P;70687;2021;EMPLEO_MEDIO;713.726518988;A
P;70688;2021;EMPLEO_MEDIO;1235.270484578;A
P;55120;2021;EMPLEO_MEDIO;2444.319961339;A
P;70689;2021;EMPLEO_MEDIO;235.617566133;A
P;55121;2021;EMPLEO_MEDIO;193.38075684;A
P;70690;2021;EMPLEO_MEDIO;1182.296279846;A
P;55122;2021;EMPLEO_MEDIO;79.973558518;A
P;70691;2021;EMPLEO_MEDIO;1882.492674785;A
A;70665;2020;GRAD_OCUP_PLAZ;40.020945152344524;A
A;70665;2019;GRAD_OCUP_PLAZ;57.48214931322372;A
A;70665;2018;GRAD_OCUP_PLAZ;60.12490224263217;A
A;70665;2017;GRAD_OCUP_PLAZ;59.39916740706682;A
A;70665;2016;GRAD_OCUP_PLAZ;54.169375639948;A
A;70665;2015;GRAD_OCUP_PLAZ;51.332730071066955;A
A;70665;2014;GRAD_OCUP_PLAZ;46.86124449674669;A
A;70665;2013;GRAD_OCUP_PLAZ;45.052964809918045;A
A;70665;2012;GRAD_OCUP_PLAZ;39.455646505393496;A
A;70665;2011;GRAD_OCUP_PLAZ;43.426651615294745;A
A;70665;2010;GRAD_OCUP_PLAZ;42.85806476776188;A
A;70665;2009;GRAD_OCUP_PLAZ;41.89790374268012;A
A;70665;2008;GRAD_OCUP_PLAZ;41.71296213836752;A
A;70666;2020;GRAD_OCUP_PLAZ;25.93000000001306;A
A;70666;2018;GRAD_OCUP_PLAZ;29.940971812549037;A
A;70666;2017;GRAD_OCUP_PLAZ;32.946427047711126;A
A;70666;2015;GRAD_OCUP_PLAZ;27.254404913267056;A
A;70666;2014;GRAD_OCUP_PLAZ;25.49319028553246;A
A;70666;2013;GRAD_OCUP_PLAZ;22.388743512316875;A
A;70668;2020;GRAD_OCUP_PLAZ;23.471125975524462;A
A;70668;2019;GRAD_OCUP_PLAZ;49.90983486045946;A
A;70668;2014;GRAD_OCUP_PLAZ;42.85943448056683;A
A;55107;2020;GRAD_OCUP_PLAZ;24.886575780862096;A
A;55107;2019;GRAD_OCUP_PLAZ;41.84538928275243;A
A;55107;2018;GRAD_OCUP_PLAZ;42.094043769539255;A
A;55107;2017;GRAD_OCUP_PLAZ;42.856246654263586;A
A;55107;2016;GRAD_OCUP_PLAZ;43.18679585002288;A
A;55107;2015;GRAD_OCUP_PLAZ;42.32575043761571;A
A;55107;2014;GRAD_OCUP_PLAZ;38.37913295907034;A
A;55107;2013;GRAD_OCUP_PLAZ;36.81015315031221;A
A;55107;2012;GRAD_OCUP_PLAZ;37.78830587804627;A
A;55107;2011;GRAD_OCUP_PLAZ;39.40085707038357;A
A;55107;2010;GRAD_OCUP_PLAZ;36.47571351561106;A
A;55107;2008;GRAD_OCUP_PLAZ;44.11518504709673;A
A;55108;2020;GRAD_OCUP_PLAZ;39.37013466631854;A
A;55108;2019;GRAD_OCUP_PLAZ;44.43245175262853;A
A;55108;2018;GRAD_OCUP_PLAZ;42.041640108437605;A
A;55108;2017;GRAD_OCUP_PLAZ;43.604741351217186;A
A;55108;2016;GRAD_OCUP_PLAZ;44.756373059952416;A
A;55108;2015;GRAD_OCUP_PLAZ;38.24923214627849;A
A;55108;2014;GRAD_OCUP_PLAZ;37.27221919930069;A
A;55108;2013;GRAD_OCUP_PLAZ;34.29449351704532;A
A;55108;2011;GRAD_OCUP_PLAZ;30.034588280023872;A
