TEMPORAL;SEXO;AA_SITPREVULTEM;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;F;518710;ES611;NUME_AUTO;2475.0;A
2020;F;518710;ES612;NUME_AUTO;3125.0;A
2020;F;518710;ES613;NUME_AUTO;2000.0;A
2020;F;518710;ES614;NUME_AUTO;3050.0;A
2020;F;518710;ES615;NUME_AUTO;1100.0;A
2020;F;518710;ES616;NUME_AUTO;1975.0;A
2020;F;518710;ES617;NUME_AUTO;5275.0;A
2020;F;518710;ES618;NUME_AUTO;4975.0;A
2020;F;518710;515892;NUME_AUTO;24225.0;A
2020;F;515799;ES611;NUME_AUTO;8475.0;A
2020;F;515799;ES612;NUME_AUTO;6450.0;A
2020;F;515799;ES613;NUME_AUTO;6325.0;A
2020;F;515799;ES614;NUME_AUTO;7350.0;A
2020;F;515799;ES615;NUME_AUTO;3075.0;A
2020;F;515799;ES616;NUME_AUTO;4500.0;A
2020;F;515799;ES617;NUME_AUTO;12225.0;A
2020;F;515799;ES618;NUME_AUTO;12550.0;A
2020;F;515799;515892;NUME_AUTO;61275.0;A
2020;F;518711;ES611;NUME_AUTO;14425.0;A
2020;F;518711;ES612;NUME_AUTO;14500.0;A
2020;F;518711;ES613;NUME_AUTO;11200.0;A
2020;F;518711;ES614;NUME_AUTO;14600.0;A
2020;F;518711;ES615;NUME_AUTO;7100.0;A
2020;F;518711;ES616;NUME_AUTO;9250.0;A
2020;F;518711;ES617;NUME_AUTO;31600.0;A
2020;F;518711;ES618;NUME_AUTO;27275.0;A
2020;F;518711;515892;NUME_AUTO;130950.0;A
2020;F;518712;ES611;NUME_AUTO;2950.0;A
2020;F;518712;ES612;NUME_AUTO;2575.0;A
2020;F;518712;ES613;NUME_AUTO;2400.0;A
2020;F;518712;ES614;NUME_AUTO;2825.0;A
2020;F;518712;ES615;NUME_AUTO;1300.0;A
2020;F;518712;ES616;NUME_AUTO;1825.0;A
2020;F;518712;ES617;NUME_AUTO;7200.0;A
2020;F;518712;ES618;NUME_AUTO;4250.0;A
2020;F;518712;515892;NUME_AUTO;25550.0;A
2020;F;518713;ES611;NUME_AUTO;8625.0;A
2020;F;518713;ES612;NUME_AUTO;9025.0;A
2020;F;518713;ES613;NUME_AUTO;6575.0;A
2020;F;518713;ES614;NUME_AUTO;8825.0;A
2020;F;518713;ES615;NUME_AUTO;4400.0;A
2020;F;518713;ES616;NUME_AUTO;5625.0;A
2020;F;518713;ES617;NUME_AUTO;18075.0;A
2020;F;518713;ES618;NUME_AUTO;17000.0;A
2020;F;518713;515892;NUME_AUTO;78650.0;A
2020;F;518714;ES611;NUME_AUTO;2850.0;A
2020;F;518714;ES612;NUME_AUTO;2900.0;A
2020;F;518714;ES613;NUME_AUTO;2225.0;A
2020;F;518714;ES614;NUME_AUTO;2950.0;A
2020;F;518714;ES615;NUME_AUTO;1400.0;A
2020;F;518714;ES616;NUME_AUTO;1800.0;A
2020;F;518714;ES617;NUME_AUTO;6325.0;A
2020;F;518714;ES618;NUME_AUTO;6025.0;A
2020;F;518714;515892;NUME_AUTO;26750.0;A
2020;F;7196;ES611;NUME_AUTO;25375.0;A
2020;F;7196;ES612;NUME_AUTO;24075.0;A
2020;F;7196;ES613;NUME_AUTO;19525.0;A
2020;F;7196;ES614;NUME_AUTO;25000.0;A
2020;F;7196;ES615;NUME_AUTO;11275.0;A
2020;F;7196;ES616;NUME_AUTO;15725.0;A
2020;F;7196;ES617;NUME_AUTO;49100.0;A
2020;F;7196;ES618;NUME_AUTO;44800.0;A
2020;F;7196;515892;NUME_AUTO;216450.0;A
2020;_T;515798;ES611;NUME_AUTO;33125.0;A
2020;_T;515798;ES612;NUME_AUTO;31125.0;A
2020;_T;515798;ES613;NUME_AUTO;26525.0;A
2020;_T;515798;ES614;NUME_AUTO;31700.0;A
2020;_T;515798;ES615;NUME_AUTO;14775.0;A
2020;_T;515798;ES616;NUME_AUTO;22175.0;A
2020;_T;515798;ES617;NUME_AUTO;54400.0;A
2020;_T;515798;ES618;NUME_AUTO;56325.0;A
2020;_T;515798;515892;NUME_AUTO;271975.0;A
2020;_T;518710;ES611;NUME_AUTO;7475.0;A
2020;_T;518710;ES612;NUME_AUTO;11175.0;A
2020;_T;518710;ES613;NUME_AUTO;7525.0;A
2020;_T;518710;ES614;NUME_AUTO;9800.0;A
2020;_T;518710;ES615;NUME_AUTO;3925.0;A
2020;_T;518710;ES616;NUME_AUTO;6375.0;A
2020;_T;518710;ES617;NUME_AUTO;17800.0;A
2020;_T;518710;ES618;NUME_AUTO;18625.0;A
2020;_T;518710;515892;NUME_AUTO;83425.0;A
2020;_T;515799;ES611;NUME_AUTO;25650.0;A
2020;_T;515799;ES612;NUME_AUTO;19950.0;A
2020;_T;515799;ES613;NUME_AUTO;19000.0;A
2020;_T;515799;ES614;NUME_AUTO;21900.0;A
2020;_T;515799;ES615;NUME_AUTO;10850.0;A
2020;_T;515799;ES616;NUME_AUTO;15800.0;A
2020;_T;515799;ES617;NUME_AUTO;36600.0;A
2020;_T;515799;ES618;NUME_AUTO;37700.0;A
2020;_T;515799;515892;NUME_AUTO;188550.0;A
2020;_T;518711;ES611;NUME_AUTO;33850.0;A
2020;_T;518711;ES612;NUME_AUTO;38875.0;A
2020;_T;518711;ES613;NUME_AUTO;30125.0;A
2020;_T;518711;ES614;NUME_AUTO;40750.0;A
2020;_T;518711;ES615;NUME_AUTO;18500.0;A
2020;_T;518711;ES616;NUME_AUTO;23625.0;A
2020;_T;518711;ES617;NUME_AUTO;80675.0;A
2020;_T;518711;ES618;NUME_AUTO;68950.0;A
2020;_T;518711;515892;NUME_AUTO;337775.0;A
2020;_T;518712;ES611;NUME_AUTO;6675.0;A
2020;_T;518712;ES612;NUME_AUTO;6700.0;A
2020;_T;518712;ES613;NUME_AUTO;6250.0;A
2020;_T;518712;ES614;NUME_AUTO;7450.0;A
2020;_T;518712;ES615;NUME_AUTO;3425.0;A
2020;_T;518712;ES616;NUME_AUTO;4300.0;A
2020;_T;518712;ES617;NUME_AUTO;18825.0;A
2020;_T;518712;ES618;NUME_AUTO;10900.0;A
2020;_T;518712;515892;NUME_AUTO;64975.0;A
2020;_T;518713;ES611;NUME_AUTO;20950.0;A
2020;_T;518713;ES612;NUME_AUTO;24125.0;A
2020;_T;518713;ES613;NUME_AUTO;17925.0;A
2020;_T;518713;ES614;NUME_AUTO;24850.0;A
2020;_T;518713;ES615;NUME_AUTO;11800.0;A
2020;_T;518713;ES616;NUME_AUTO;14475.0;A
2020;_T;518713;ES617;NUME_AUTO;47175.0;A
2020;_T;518713;ES618;NUME_AUTO;42275.0;A
2020;_T;518713;515892;NUME_AUTO;204950.0;A
2020;_T;518714;ES611;NUME_AUTO;6225.0;A
2020;_T;518714;ES612;NUME_AUTO;8050.0;A
2020;_T;518714;ES613;NUME_AUTO;5950.0;A
2020;_T;518714;ES614;NUME_AUTO;8450.0;A
2020;_T;518714;ES615;NUME_AUTO;3275.0;A
2020;_T;518714;ES616;NUME_AUTO;4850.0;A
2020;_T;518714;ES617;NUME_AUTO;14675.0;A
2020;_T;518714;ES618;NUME_AUTO;15775.0;A
2020;_T;518714;515892;NUME_AUTO;67850.0;A
2020;_T;7196;ES611;NUME_AUTO;66975.0;A
2020;_T;7196;ES612;NUME_AUTO;70000.0;A
2020;_T;7196;ES613;NUME_AUTO;56650.0;A
2020;_T;7196;ES614;NUME_AUTO;72450.0;A
2020;_T;7196;ES615;NUME_AUTO;33275.0;A
2020;_T;7196;ES616;NUME_AUTO;45800.0;A
2020;_T;7196;ES617;NUME_AUTO;135075.0;A
2020;_T;7196;ES618;NUME_AUTO;125275.0;A
2020;_T;7196;515892;NUME_AUTO;609750.0;A
