TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;M;515775;515892;NUME_AUTO;33450.0;A
2020;M;515776;ES611;NUME_AUTO;10100.0;A
2020;M;515776;ES612;NUME_AUTO;18950.0;A
2020;M;515776;ES613;NUME_AUTO;14250.0;A
2020;M;515776;ES614;NUME_AUTO;18825.0;A
2020;M;515776;ES615;NUME_AUTO;7650.0;A
2020;M;515776;ES616;NUME_AUTO;10550.0;A
2020;M;515776;ES617;NUME_AUTO;35825.0;A
2020;M;515776;ES618;NUME_AUTO;31625.0;A
2020;M;515776;515892;NUME_AUTO;148950.0;A
2020;M;515777;ES611;NUME_AUTO;1850.0;A
2020;M;515777;ES612;NUME_AUTO;4275.0;A
2020;M;515777;ES613;NUME_AUTO;2875.0;A
2020;M;515777;ES614;NUME_AUTO;3700.0;A
2020;M;515777;ES615;NUME_AUTO;1500.0;A
2020;M;515777;ES616;NUME_AUTO;3600.0;A
2020;M;515777;ES617;NUME_AUTO;6000.0;A
2020;M;515777;ES618;NUME_AUTO;6300.0;A
2020;M;515777;515892;NUME_AUTO;30200.0;A
2020;F;515771;ES611;NUME_AUTO;25375.0;A
2020;F;515771;ES612;NUME_AUTO;24075.0;A
2020;F;515771;ES613;NUME_AUTO;19525.0;A
2020;F;515771;ES614;NUME_AUTO;25000.0;A
2020;F;515771;ES615;NUME_AUTO;11275.0;A
2020;F;515771;ES616;NUME_AUTO;15725.0;A
2020;F;515771;ES617;NUME_AUTO;49100.0;A
2020;F;515771;ES618;NUME_AUTO;44800.0;A
2020;F;515771;515892;NUME_AUTO;216450.0;A
2020;F;515772;ES611;NUME_AUTO;14125.0;A
2020;F;515772;ES612;NUME_AUTO;9325.0;A
2020;F;515772;ES613;NUME_AUTO;7900.0;A
2020;F;515772;ES614;NUME_AUTO;9975.0;A
2020;F;515772;ES615;NUME_AUTO;5100.0;A
2020;F;515772;ES616;NUME_AUTO;6500.0;A
2020;F;515772;ES617;NUME_AUTO;19200.0;A
2020;F;515772;ES618;NUME_AUTO;18350.0;A
2020;F;515772;515892;NUME_AUTO;91125.0;A
2020;F;515774;ES611;NUME_AUTO;11250.0;A
2020;F;515774;ES612;NUME_AUTO;14750.0;A
2020;F;515774;ES613;NUME_AUTO;11625.0;A
2020;F;515774;ES614;NUME_AUTO;15025.0;A
2020;F;515774;ES615;NUME_AUTO;6175.0;A
2020;F;515774;ES616;NUME_AUTO;9225.0;A
2020;F;515774;ES617;NUME_AUTO;29900.0;A
2020;F;515774;ES618;NUME_AUTO;26450.0;A
