TEMPORAL;TERRITORIO;DURACEMPREND;ANOCELEBRMATRIM;MULTIVARIABL;INDICATOR;OBS_VALUE;FREQ
2020;ES613;516607;5084;516632;SUPERVIVIENTES;3975.0;A
2020;ES613;516607;5085;516632;SUPERVIVIENTES;2950.0;A
2020;ES613;516607;5086;516632;SUPERVIVIENTES;2725.0;A
2020;ES613;516607;5087;516632;SUPERVIVIENTES;3250.0;A
2020;ES613;516607;5088;516632;SUPERVIVIENTES;3600.0;A
2020;ES613;516607;5089;516632;SUPERVIVIENTES;3675.0;A
2020;ES613;516607;5090;516632;SUPERVIVIENTES;3375.0;A
2020;ES613;516607;5091;516632;SUPERVIVIENTES;4300.0;A
2020;ES613;516607;5092;516632;SUPERVIVIENTES;3250.0;A
2020;ES613;516607;5093;516632;SUPERVIVIENTES;3450.0;A
2020;ES613;516607;5094;516632;SUPERVIVIENTES;3375.0;A
2020;ES613;516607;5095;516632;SUPERVIVIENTES;4350.0;A
2020;ES613;516608;5083;516632;SUPERVIVIENTES;3100.0;A
2020;ES613;516608;5084;516632;SUPERVIVIENTES;3325.0;A
2020;ES613;516608;5085;516632;SUPERVIVIENTES;2250.0;A
2020;ES613;516608;5086;516632;SUPERVIVIENTES;2200.0;A
2020;ES613;516608;5087;516632;SUPERVIVIENTES;2725.0;A
2020;ES613;516608;5088;516632;SUPERVIVIENTES;3025.0;A
2020;ES613;516608;5089;516632;SUPERVIVIENTES;3125.0;A
2020;ES613;516608;5090;516632;SUPERVIVIENTES;2725.0;A
2020;ES613;516608;5091;516632;SUPERVIVIENTES;3550.0;A
2020;ES613;516608;5092;516632;SUPERVIVIENTES;2825.0;A
2020;ES613;516608;5093;516632;SUPERVIVIENTES;2775.0;A
2020;ES613;516608;5094;516632;SUPERVIVIENTES;2650.0;A
2020;ES613;516609;5083;516632;SUPERVIVIENTES;2825.0;A
2020;ES613;516609;5084;516632;SUPERVIVIENTES;2725.0;A
2020;ES613;516609;5085;516632;SUPERVIVIENTES;1925.0;A
2020;ES613;516609;5086;516632;SUPERVIVIENTES;1725.0;A
2020;ES613;516609;5087;516632;SUPERVIVIENTES;2275.0;A
2020;ES613;516609;5088;516632;SUPERVIVIENTES;2775.0;A
2020;ES613;516609;5089;516632;SUPERVIVIENTES;2700.0;A
2020;ES613;516609;5090;516632;SUPERVIVIENTES;2350.0;A
2020;ES613;516609;5091;516632;SUPERVIVIENTES;3125.0;A
2020;ES613;516609;5092;516632;SUPERVIVIENTES;2425.0;A
2020;ES613;516609;5093;516632;SUPERVIVIENTES;2500.0;A
2020;ES613;516610;5083;516632;SUPERVIVIENTES;2450.0;A
2020;ES613;516610;5084;516632;SUPERVIVIENTES;2275.0;A
2020;ES613;516610;5085;516632;SUPERVIVIENTES;1425.0;A
2020;ES613;516610;5086;516632;SUPERVIVIENTES;1525.0;A
2020;ES613;516610;5087;516632;SUPERVIVIENTES;1975.0;A
2020;ES613;516610;5088;516632;SUPERVIVIENTES;2500.0;A
2020;ES613;516610;5089;516632;SUPERVIVIENTES;2425.0;A
2020;ES613;516610;5090;516632;SUPERVIVIENTES;2025.0;A
2020;ES613;516610;5091;516632;SUPERVIVIENTES;2850.0;A
2020;ES613;516610;5092;516632;SUPERVIVIENTES;2175.0;A
2020;ES613;516611;5083;516632;SUPERVIVIENTES;2275.0;A
2020;ES613;516611;5084;516632;SUPERVIVIENTES;2125.0;A
2020;ES613;516611;5085;516632;SUPERVIVIENTES;1275.0;A
2020;ES613;516611;5086;516632;SUPERVIVIENTES;1425.0;A
2020;ES613;516611;5087;516632;SUPERVIVIENTES;1725.0;A
2020;ES613;516611;5088;516632;SUPERVIVIENTES;2425.0;A
2020;ES613;516611;5089;516632;SUPERVIVIENTES;2175.0;A
2020;ES613;516611;5090;516632;SUPERVIVIENTES;1775.0;A
