TEMPORAL;SEXO;AA_TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;_T;515763;ES614;NUME_AUTO;17600.0;A
2019;_T;515763;ES615;NUME_AUTO;7950.0;A
2019;_T;515763;ES616;NUME_AUTO;15425.0;A
2019;_T;515763;ES617;NUME_AUTO;33650.0;A
2019;_T;515763;ES618;NUME_AUTO;36600.0;A
2019;_T;515763;515892;NUME_AUTO;168825.0;A
2019;_T;515764;ES611;NUME_AUTO;9350.0;A
2019;_T;515764;ES612;NUME_AUTO;8050.0;A
2019;_T;515764;ES613;NUME_AUTO;8250.0;A
2019;_T;515764;ES614;NUME_AUTO;8000.0;A
2019;_T;515764;ES615;NUME_AUTO;3675.0;A
2019;_T;515764;ES616;NUME_AUTO;5100.0;A
2019;_T;515764;ES617;NUME_AUTO;19875.0;A
2019;_T;515764;ES618;NUME_AUTO;17525.0;A
2019;_T;515764;515892;NUME_AUTO;80175.0;A
2019;_T;516585;ES611;NUME_AUTO;1150.0;A
2019;_T;516585;ES612;NUME_AUTO;1150.0;A
2019;_T;516585;ES614;NUME_AUTO;1750.0;A
2019;_T;516585;ES615;NUME_AUTO;600.0;A
2019;_T;516585;ES617;NUME_AUTO;5600.0;A
2019;_T;516585;ES618;NUME_AUTO;1725.0;A
2019;_T;516585;515892;NUME_AUTO;12650.0;A
2019;_T;515755;ES611;NUME_AUTO;66425.0;A
2019;_T;515755;ES612;NUME_AUTO;70425.0;A
2019;_T;515755;ES613;NUME_AUTO;58000.0;A
2019;_T;515755;ES614;NUME_AUTO;72925.0;A
2019;_T;515755;ES615;NUME_AUTO;33100.0;A
2019;_T;515755;ES616;NUME_AUTO;46475.0;A
2019;_T;515755;ES617;NUME_AUTO;135575.0;A
2019;_T;515755;ES618;NUME_AUTO;125800.0;A
2019;_T;515755;515892;NUME_AUTO;613075.0;A
2020;M;515756;ES611;NUME_AUTO;6775.0;A
2020;M;515756;ES612;NUME_AUTO;8425.0;A
2020;M;515756;ES613;NUME_AUTO;4325.0;A
2020;M;515756;ES614;NUME_AUTO;10050.0;A
2020;M;515756;ES615;NUME_AUTO;4875.0;A
2020;M;515756;ES616;NUME_AUTO;4775.0;A
2020;M;515756;ES617;NUME_AUTO;14375.0;A
2020;M;515756;ES618;NUME_AUTO;10275.0;A
2020;M;515756;515892;NUME_AUTO;64350.0;A
2020;M;515757;ES611;NUME_AUTO;6250.0;A
2020;M;515757;ES612;NUME_AUTO;7875.0;A
2020;M;515757;ES613;NUME_AUTO;4200.0;A
2020;M;515757;ES614;NUME_AUTO;9125.0;A
2020;M;515757;ES615;NUME_AUTO;4550.0;A
2020;M;515757;ES616;NUME_AUTO;4525.0;A
2020;M;515757;ES617;NUME_AUTO;13525.0;A
2020;M;515757;ES618;NUME_AUTO;9475.0;A
2020;M;515757;515892;NUME_AUTO;59950.0;A
2020;M;515758;ES611;NUME_AUTO;525.0;A
2020;M;515758;ES612;NUME_AUTO;550.0;A
2020;M;515758;ES614;NUME_AUTO;925.0;A
2020;M;515758;ES617;NUME_AUTO;850.0;A
2020;M;515758;ES618;NUME_AUTO;800.0;A
2020;M;515758;515892;NUME_AUTO;4400.0;A
2020;M;515759;ES611;NUME_AUTO;16250.0;A
2020;M;515759;ES612;NUME_AUTO;18850.0;A
2020;M;515759;ES613;NUME_AUTO;14825.0;A
2020;M;515759;ES614;NUME_AUTO;19525.0;A
2020;M;515759;ES615;NUME_AUTO;9450.0;A
2020;M;515759;ES616;NUME_AUTO;12400.0;A
2020;M;515759;ES617;NUME_AUTO;33175.0;A
2020;M;515759;ES618;NUME_AUTO;33375.0;A
2020;M;515759;515892;NUME_AUTO;159100.0;A
2020;M;515761;ES611;NUME_AUTO;7975.0;A
2020;M;515761;ES612;NUME_AUTO;8850.0;A
2020;M;515761;ES613;NUME_AUTO;6875.0;A
2020;M;515761;ES614;NUME_AUTO;11325.0;A
2020;M;515761;ES615;NUME_AUTO;5075.0;A
2020;M;515761;ES616;NUME_AUTO;6575.0;A
2020;M;515761;ES617;NUME_AUTO;18000.0;A
2020;M;515761;ES618;NUME_AUTO;13575.0;A
2020;M;515761;515892;NUME_AUTO;79150.0;A
2020;M;515762;ES611;NUME_AUTO;8275.0;A
2020;M;515762;ES612;NUME_AUTO;10000.0;A
2020;M;515762;ES613;NUME_AUTO;7950.0;A
2020;M;515762;ES614;NUME_AUTO;8200.0;A
2020;M;515762;ES615;NUME_AUTO;4375.0;A
2020;M;515762;ES616;NUME_AUTO;5825.0;A
2020;M;515762;ES617;NUME_AUTO;15175.0;A
2020;M;515762;ES618;NUME_AUTO;19800.0;A
2020;M;515762;515892;NUME_AUTO;79950.0;A
2020;M;515760;ES611;NUME_AUTO;17575.0;A
2020;M;515760;ES612;NUME_AUTO;17975.0;A
2020;M;515760;ES613;NUME_AUTO;17675.0;A
2020;M;515760;ES614;NUME_AUTO;16400.0;A
2020;M;515760;ES615;NUME_AUTO;7300.0;A
2020;M;515760;ES616;NUME_AUTO;12675.0;A
2020;M;515760;ES617;NUME_AUTO;34875.0;A
2020;M;515760;ES618;NUME_AUTO;35225.0;A
2020;M;515760;515892;NUME_AUTO;160575.0;A
2020;M;515763;ES611;NUME_AUTO;11650.0;A
2020;M;515763;ES612;NUME_AUTO;13325.0;A
2020;M;515763;ES613;NUME_AUTO;12425.0;A
2020;M;515763;ES614;NUME_AUTO;11175.0;A
2020;M;515763;ES615;NUME_AUTO;5075.0;A
2020;M;515763;ES616;NUME_AUTO;9325.0;A
2020;M;515763;ES617;NUME_AUTO;23125.0;A
2020;M;515763;ES618;NUME_AUTO;24475.0;A
2020;M;515763;515892;NUME_AUTO;111200.0;A
2020;M;515764;ES611;NUME_AUTO;5925.0;A
2020;M;515764;ES612;NUME_AUTO;4650.0;A
2020;M;515764;ES613;NUME_AUTO;5250.0;A
2020;M;515764;ES614;NUME_AUTO;5225.0;A
2020;M;515764;ES615;NUME_AUTO;2225.0;A
2020;M;515764;ES616;NUME_AUTO;3350.0;A
2020;M;515764;ES617;NUME_AUTO;11750.0;A
2020;M;515764;ES618;NUME_AUTO;10750.0;A
2020;M;515764;515892;NUME_AUTO;49375.0;A
2020;M;516585;ES611;NUME_AUTO;1000.0;A
2020;M;516585;ES612;NUME_AUTO;675.0;A
2020;M;516585;ES614;NUME_AUTO;1475.0;A
2020;M;516585;ES617;NUME_AUTO;3550.0;A
2020;M;516585;ES618;NUME_AUTO;1600.0;A
2020;M;516585;515892;NUME_AUTO;9275.0;A
2020;M;515755;ES611;NUME_AUTO;41600.0;A
2020;M;515755;ES612;NUME_AUTO;45925.0;A
2020;M;515755;ES613;NUME_AUTO;37125.0;A
2020;M;515755;ES614;NUME_AUTO;47450.0;A
2020;M;515755;ES615;NUME_AUTO;22000.0;A
2020;M;515755;ES616;NUME_AUTO;30075.0;A
2020;M;515755;ES617;NUME_AUTO;85975.0;A
2020;M;515755;ES618;NUME_AUTO;80475.0;A
2020;M;515755;515892;NUME_AUTO;393300.0;A
2020;F;515756;ES611;NUME_AUTO;4400.0;A
2020;F;515756;ES612;NUME_AUTO;4325.0;A
2020;F;515756;ES613;NUME_AUTO;2525.0;A
2020;F;515756;ES614;NUME_AUTO;5575.0;A
2020;F;515756;ES615;NUME_AUTO;1775.0;A
2020;F;515756;ES616;NUME_AUTO;2100.0;A
2020;F;515756;ES617;NUME_AUTO;9050.0;A
2020;F;515756;ES618;NUME_AUTO;5925.0;A
2020;F;515756;515892;NUME_AUTO;36000.0;A
2020;F;515757;ES611;NUME_AUTO;3175.0;A
2020;F;515757;ES612;NUME_AUTO;3175.0;A
2020;F;515757;ES613;NUME_AUTO;1800.0;A
2020;F;515757;ES614;NUME_AUTO;4500.0;A
2020;F;515757;ES615;NUME_AUTO;1375.0;A
2020;F;515757;ES616;NUME_AUTO;1450.0;A
2020;F;515757;ES617;NUME_AUTO;7100.0;A
2020;F;515757;ES618;NUME_AUTO;4075.0;A
2020;F;515757;515892;NUME_AUTO;26875.0;A
2020;F;515758;ES611;NUME_AUTO;1225.0;A
2020;F;515758;ES612;NUME_AUTO;1150.0;A
2020;F;515758;ES613;NUME_AUTO;725.0;A
2020;F;515758;ES614;NUME_AUTO;1075.0;A
2020;F;515758;ES616;NUME_AUTO;650.0;A
2020;F;515758;ES617;NUME_AUTO;1950.0;A
2020;F;515758;ES618;NUME_AUTO;1850.0;A
2020;F;515758;515892;NUME_AUTO;9125.0;A
2020;F;515759;ES611;NUME_AUTO;10025.0;A
2020;F;515759;ES612;NUME_AUTO;10675.0;A
2020;F;515759;ES613;NUME_AUTO;8150.0;A
2020;F;515759;ES614;NUME_AUTO;10125.0;A
2020;F;515759;ES615;NUME_AUTO;5375.0;A
2020;F;515759;ES616;NUME_AUTO;6600.0;A
2020;F;515759;ES617;NUME_AUTO;19775.0;A
2020;F;515759;ES618;NUME_AUTO;19425.0;A
2020;F;515759;515892;NUME_AUTO;91000.0;A
2020;F;515761;ES611;NUME_AUTO;5025.0;A
2020;F;515761;ES612;NUME_AUTO;5325.0;A
2020;F;515761;ES613;NUME_AUTO;3775.0;A
2020;F;515761;ES614;NUME_AUTO;6175.0;A
2020;F;515761;ES615;NUME_AUTO;2625.0;A
2020;F;515761;ES616;NUME_AUTO;3300.0;A
2020;F;515761;ES617;NUME_AUTO;10725.0;A
2020;F;515761;ES618;NUME_AUTO;8300.0;A
2020;F;515761;515892;NUME_AUTO;45900.0;A
2020;F;515762;ES611;NUME_AUTO;5000.0;A
2020;F;515762;ES612;NUME_AUTO;5350.0;A
2020;F;515762;ES613;NUME_AUTO;4375.0;A
2020;F;515762;ES614;NUME_AUTO;3950.0;A
2020;F;515762;ES615;NUME_AUTO;2750.0;A
2020;F;515762;ES616;NUME_AUTO;3300.0;A
2020;F;515762;ES617;NUME_AUTO;9050.0;A
2020;F;515762;ES618;NUME_AUTO;11125.0;A
2020;F;515762;515892;NUME_AUTO;45100.0;A
2020;F;515760;ES611;NUME_AUTO;10650.0;A
2020;F;515760;ES612;NUME_AUTO;8625.0;A
2020;F;515760;ES613;NUME_AUTO;8800.0;A
2020;F;515760;ES614;NUME_AUTO;8800.0;A
2020;F;515760;ES615;NUME_AUTO;4025.0;A
2020;F;515760;ES616;NUME_AUTO;6875.0;A
2020;F;515760;ES617;NUME_AUTO;18525.0;A
2020;F;515760;ES618;NUME_AUTO;18875.0;A
2020;F;515760;515892;NUME_AUTO;85500.0;A
2020;F;515763;ES611;NUME_AUTO;7375.0;A
2020;F;515763;ES612;NUME_AUTO;6050.0;A
2020;F;515763;ES613;NUME_AUTO;6100.0;A
2020;F;515763;ES614;NUME_AUTO;5750.0;A
2020;F;515763;ES615;NUME_AUTO;2950.0;A
2020;F;515763;ES616;NUME_AUTO;4950.0;A
2020;F;515763;ES617;NUME_AUTO;11100.0;A
2020;F;515763;ES618;NUME_AUTO;12675.0;A
2020;F;515763;515892;NUME_AUTO;57125.0;A
2020;F;515764;ES611;NUME_AUTO;3275.0;A
2020;F;515764;ES612;NUME_AUTO;2575.0;A
2020;F;515764;ES613;NUME_AUTO;2700.0;A
2020;F;515764;ES614;NUME_AUTO;3050.0;A
2020;F;515764;ES615;NUME_AUTO;1075.0;A
2020;F;515764;ES616;NUME_AUTO;1925.0;A
2020;F;515764;ES617;NUME_AUTO;7425.0;A
2020;F;515764;ES618;NUME_AUTO;6200.0;A
2020;F;515764;515892;NUME_AUTO;28375.0;A
2020;F;516585;ES614;NUME_AUTO;500.0;A
2020;F;516585;ES617;NUME_AUTO;1750.0;A
2020;F;516585;ES618;NUME_AUTO;575.0;A
2020;F;516585;515892;NUME_AUTO;3950.0;A
2020;F;515755;ES611;NUME_AUTO;25375.0;A
2020;F;515755;ES612;NUME_AUTO;24075.0;A
2020;F;515755;ES613;NUME_AUTO;19525.0;A
2020;F;515755;ES614;NUME_AUTO;25000.0;A
2020;F;515755;ES615;NUME_AUTO;11275.0;A
2020;F;515755;ES616;NUME_AUTO;15725.0;A
2020;F;515755;ES617;NUME_AUTO;49100.0;A
2020;F;515755;ES618;NUME_AUTO;44800.0;A
2020;F;515755;515892;NUME_AUTO;216450.0;A
2020;_T;515756;ES611;NUME_AUTO;11175.0;A
