TEMPORAL;SEXO;MES;TERRITORIO;AA_TIPOMOVIMIEN;INDICATOR;OBS_VALUE;FREQ
2020;F;55911;515892;515927;NUME_MOVI;1400.0;A
2020;F;55912;515892;515927;NUME_MOVI;1200.0;A
2020;F;55913;ES617;515927;NUME_MOVI;500.0;A
2020;F;55913;ES618;515927;NUME_MOVI;500.0;A
2020;F;55913;515892;515927;NUME_MOVI;2425.0;A
2020;F;55914;ES618;515927;NUME_MOVI;550.0;A
2020;F;55914;515892;515927;NUME_MOVI;2675.0;A
2020;F;55915;ES617;515927;NUME_MOVI;750.0;A
2020;F;55915;ES618;515927;NUME_MOVI;550.0;A
2020;F;55915;515892;515927;NUME_MOVI;2850.0;A
2020;F;55916;ES612;515927;NUME_MOVI;625.0;A
2020;F;55916;ES614;515927;NUME_MOVI;525.0;A
2020;F;55916;ES617;515927;NUME_MOVI;975.0;A
2020;F;55916;ES618;515927;NUME_MOVI;600.0;A
2020;F;55916;515892;515927;NUME_MOVI;3700.0;A
2020;F;55917;ES617;515927;NUME_MOVI;725.0;A
2020;F;55917;ES618;515927;NUME_MOVI;525.0;A
2020;F;55917;515892;515927;NUME_MOVI;2950.0;A
2020;F;55918;ES617;515927;NUME_MOVI;600.0;A
2020;F;55918;ES618;515927;NUME_MOVI;650.0;A
2020;F;55918;515892;515927;NUME_MOVI;2775.0;A
2020;F;55919;ES617;515927;NUME_MOVI;875.0;A
2020;F;55919;ES618;515927;NUME_MOVI;750.0;A
2020;F;55919;515892;515927;NUME_MOVI;3050.0;A
2020;F;55920;ES611;515927;NUME_MOVI;3325.0;A
2020;F;55920;ES612;515927;NUME_MOVI;4900.0;A
2020;F;55920;ES613;515927;NUME_MOVI;2225.0;A
2020;F;55920;ES614;515927;NUME_MOVI;4675.0;A
2020;F;55920;ES615;515927;NUME_MOVI;1800.0;A
2020;F;55920;ES616;515927;NUME_MOVI;1950.0;A
2020;F;55920;ES617;515927;NUME_MOVI;8425.0;A
2020;F;55920;ES618;515927;NUME_MOVI;7425.0;A
2020;F;55920;515892;515927;NUME_MOVI;34975.0;A
2020;_T;55908;ES611;515927;NUME_MOVI;625.0;A
2020;_T;55908;ES612;515927;NUME_MOVI;1325.0;A
2020;_T;55908;ES613;515927;NUME_MOVI;725.0;A
2020;_T;55908;ES614;515927;NUME_MOVI;1100.0;A
2020;_T;55908;ES617;515927;NUME_MOVI;1650.0;A
2020;_T;55908;ES618;515927;NUME_MOVI;1525.0;A
2020;_T;55908;515892;515927;NUME_MOVI;7775.0;A
2020;_T;55909;ES612;515927;NUME_MOVI;825.0;A
2020;_T;55909;ES613;515927;NUME_MOVI;625.0;A
2020;_T;55909;ES614;515927;NUME_MOVI;625.0;A
2020;_T;55909;ES617;515927;NUME_MOVI;1775.0;A
2020;_T;55909;ES618;515927;NUME_MOVI;1225.0;A
2020;_T;55909;515892;515927;NUME_MOVI;6250.0;A
2020;_T;55910;ES611;515927;NUME_MOVI;1375.0;A
2020;_T;55910;ES612;515927;NUME_MOVI;2425.0;A
2020;_T;55910;ES613;515927;NUME_MOVI;1225.0;A
2020;_T;55910;ES614;515927;NUME_MOVI;1925.0;A
2020;_T;55910;ES615;515927;NUME_MOVI;725.0;A
2020;_T;55910;ES616;515927;NUME_MOVI;1050.0;A
2020;_T;55910;ES617;515927;NUME_MOVI;4050.0;A
2020;_T;55910;ES618;515927;NUME_MOVI;3325.0;A
2020;_T;55910;515892;515927;NUME_MOVI;16275.0;A
2020;_T;55911;ES613;515927;NUME_MOVI;500.0;A
2020;_T;55911;ES617;515927;NUME_MOVI;875.0;A
2020;_T;55911;ES618;515927;NUME_MOVI;900.0;A
2020;_T;55911;515892;515927;NUME_MOVI;4250.0;A
2020;_T;55912;ES617;515927;NUME_MOVI;675.0;A
2020;_T;55912;ES618;515927;NUME_MOVI;500.0;A
2020;_T;55912;515892;515927;NUME_MOVI;3275.0;A
2020;_T;55913;ES611;515927;NUME_MOVI;725.0;A
2020;_T;55913;ES612;515927;NUME_MOVI;775.0;A
2020;_T;55913;ES614;515927;NUME_MOVI;700.0;A
2020;_T;55913;ES615;515927;NUME_MOVI;600.0;A
2020;_T;55913;ES617;515927;NUME_MOVI;1500.0;A
2020;_T;55913;ES618;515927;NUME_MOVI;1300.0;A
2020;_T;55913;515892;515927;NUME_MOVI;6275.0;A
2020;_T;55914;ES611;515927;NUME_MOVI;725.0;A
2020;_T;55914;ES612;515927;NUME_MOVI;775.0;A
2020;_T;55914;ES613;515927;NUME_MOVI;550.0;A
2020;_T;55914;ES614;515927;NUME_MOVI;1050.0;A
2020;_T;55914;ES615;515927;NUME_MOVI;575.0;A
2020;_T;55914;ES616;515927;NUME_MOVI;675.0;A
2020;_T;55914;ES617;515927;NUME_MOVI;1300.0;A
2020;_T;55914;ES618;515927;NUME_MOVI;1300.0;A
2020;_T;55914;515892;515927;NUME_MOVI;7050.0;A
2020;_T;55915;ES612;515927;NUME_MOVI;975.0;A
2020;_T;55915;ES614;515927;NUME_MOVI;900.0;A
2020;_T;55915;ES616;515927;NUME_MOVI;550.0;A
2020;_T;55915;ES617;515927;NUME_MOVI;1500.0;A
2020;_T;55915;ES618;515927;NUME_MOVI;1450.0;A
2020;_T;55915;515892;515927;NUME_MOVI;6675.0;A
2020;_T;55916;ES611;515927;NUME_MOVI;925.0;A
2020;_T;55916;ES612;515927;NUME_MOVI;1500.0;A
2020;_T;55916;ES613;515927;NUME_MOVI;725.0;A
2020;_T;55916;ES614;515927;NUME_MOVI;1300.0;A
2020;_T;55916;ES615;515927;NUME_MOVI;825.0;A
2020;_T;55916;ES616;515927;NUME_MOVI;625.0;A
2020;_T;55916;ES617;515927;NUME_MOVI;2600.0;A
2020;_T;55916;ES618;515927;NUME_MOVI;1500.0;A
2020;_T;55916;515892;515927;NUME_MOVI;10025.0;A
2020;_T;55917;ES611;515927;NUME_MOVI;675.0;A
2020;_T;55917;ES612;515927;NUME_MOVI;850.0;A
2020;_T;55917;ES613;515927;NUME_MOVI;550.0;A
2020;_T;55917;ES614;515927;NUME_MOVI;1000.0;A
2020;_T;55917;ES616;515927;NUME_MOVI;525.0;A
2020;_T;55917;ES617;515927;NUME_MOVI;1575.0;A
2020;_T;55917;ES618;515927;NUME_MOVI;1150.0;A
2020;_T;55917;515892;515927;NUME_MOVI;6750.0;A
2020;_T;55918;ES611;515927;NUME_MOVI;600.0;A
2020;_T;55918;ES612;515927;NUME_MOVI;1150.0;A
2020;_T;55918;ES613;515927;NUME_MOVI;600.0;A
2020;_T;55918;ES614;515927;NUME_MOVI;825.0;A
2020;_T;55918;ES616;515927;NUME_MOVI;675.0;A
2020;_T;55918;ES617;515927;NUME_MOVI;1825.0;A
2020;_T;55918;ES618;515927;NUME_MOVI;1675.0;A
2020;_T;55918;515892;515927;NUME_MOVI;7650.0;A
2020;_T;55919;ES611;515927;NUME_MOVI;550.0;A
2020;_T;55919;ES612;515927;NUME_MOVI;925.0;A
2020;_T;55919;ES613;515927;NUME_MOVI;575.0;A
2020;_T;55919;ES614;515927;NUME_MOVI;1000.0;A
2020;_T;55919;ES616;515927;NUME_MOVI;700.0;A
2020;_T;55919;ES617;515927;NUME_MOVI;2350.0;A
2020;_T;55919;ES618;515927;NUME_MOVI;1600.0;A
2020;_T;55919;515892;515927;NUME_MOVI;8075.0;A
