TIME_PERIOD;REF_AREA;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ;D_SEXO_0;D_EDAD_0;D_PCSSA_JUBVIUDEDAD_0
2011;2348;5691;NUM_PEN;93.0;A;_Z;_Z;_Z
2011;2348;5692;NUM_PEN;468.0;A;_Z;_Z;_Z
2011;2348;5693;NUM_PEN;244.0;A;_Z;_Z;_Z
2011;2348;275092;NUM_PEN;59.0;A;_Z;_Z;_Z
2011;2306;5691;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2306;5692;NUM_PEN;122.0;A;_Z;_Z;_Z
2011;2306;5693;NUM_PEN;47.0;A;_Z;_Z;_Z
2011;2307;5691;NUM_PEN;315.0;A;_Z;_Z;_Z
2011;2307;5692;NUM_PEN;1574.0;A;_Z;_Z;_Z
2011;2307;5693;NUM_PEN;826.0;A;_Z;_Z;_Z
2011;2307;275092;NUM_PEN;151.0;A;_Z;_Z;_Z
2011;2308;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2308;5692;NUM_PEN;144.0;A;_Z;_Z;_Z
2011;2308;5693;NUM_PEN;85.0;A;_Z;_Z;_Z
2011;2308;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2011;2309;5692;NUM_PEN;57.0;A;_Z;_Z;_Z
2011;2309;5693;NUM_PEN;15.0;A;_Z;_Z;_Z
2011;2310;5691;NUM_PEN;93.0;A;_Z;_Z;_Z
2011;2310;5692;NUM_PEN;549.0;A;_Z;_Z;_Z
2011;2310;5693;NUM_PEN;281.0;A;_Z;_Z;_Z
2011;2310;275092;NUM_PEN;42.0;A;_Z;_Z;_Z
2011;2311;5691;NUM_PEN;37.0;A;_Z;_Z;_Z
2011;2311;5692;NUM_PEN;340.0;A;_Z;_Z;_Z
2011;2311;5693;NUM_PEN;152.0;A;_Z;_Z;_Z
2011;2311;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
2011;2312;5691;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2312;5692;NUM_PEN;133.0;A;_Z;_Z;_Z
2011;2312;5693;NUM_PEN;59.0;A;_Z;_Z;_Z
2011;2313;5692;NUM_PEN;109.0;A;_Z;_Z;_Z
2011;2313;5693;NUM_PEN;31.0;A;_Z;_Z;_Z
2011;2313;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2314;5691;NUM_PEN;15.0;A;_Z;_Z;_Z
2011;2314;5692;NUM_PEN;90.0;A;_Z;_Z;_Z
2011;2314;5693;NUM_PEN;35.0;A;_Z;_Z;_Z
2011;2315;5691;NUM_PEN;52.0;A;_Z;_Z;_Z
2011;2315;5692;NUM_PEN;299.0;A;_Z;_Z;_Z
