TIME_PERIOD;REF_AREA;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ;D_CLASEDEPENSION_0;D_EDAD_0
2011;ES612;_T;212544;NUM_PEN_PERS;84775.0;A;_Z;_Z
2011;ES612;M;212544;NUM_PEN_PERS;69427.0;A;_Z;_Z
2011;ES612;F;212544;NUM_PEN_PERS;15345.0;A;_Z;_Z
2011;2353;_T;212544;NUM_PEN_PERS;403.0;A;_Z;_Z
2011;2353;M;212544;NUM_PEN_PERS;355.0;A;_Z;_Z
2011;2353;F;212544;NUM_PEN_PERS;48.0;A;_Z;_Z
2011;2354;_T;212544;NUM_PEN_PERS;594.0;A;_Z;_Z
2011;2354;M;212544;NUM_PEN_PERS;343.0;A;_Z;_Z
2011;2354;F;212544;NUM_PEN_PERS;251.0;A;_Z;_Z
2011;2355;_T;212544;NUM_PEN_PERS;157.0;A;_Z;_Z
2011;2355;M;212544;NUM_PEN_PERS;131.0;A;_Z;_Z
2011;2355;F;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2011;2356;_T;212544;NUM_PEN_PERS;7787.0;A;_Z;_Z
2011;2356;M;212544;NUM_PEN_PERS;6588.0;A;_Z;_Z
2011;2356;F;212544;NUM_PEN_PERS;1198.0;A;_Z;_Z
2011;2357;_T;212544;NUM_PEN_PERS;618.0;A;_Z;_Z
2011;2357;M;212544;NUM_PEN_PERS;447.0;A;_Z;_Z
2011;2357;F;212544;NUM_PEN_PERS;171.0;A;_Z;_Z
2011;2358;_T;212544;NUM_PEN_PERS;2273.0;A;_Z;_Z
2011;2358;M;212544;NUM_PEN_PERS;1782.0;A;_Z;_Z
2011;2358;F;212544;NUM_PEN_PERS;491.0;A;_Z;_Z
2011;2359;_T;212544;NUM_PEN_PERS;1637.0;A;_Z;_Z
2011;2359;M;212544;NUM_PEN_PERS;1473.0;A;_Z;_Z
2011;2359;F;212544;NUM_PEN_PERS;164.0;A;_Z;_Z
2011;2361;_T;212544;NUM_PEN_PERS;1201.0;A;_Z;_Z
2011;2361;M;212544;NUM_PEN_PERS;1065.0;A;_Z;_Z
2011;2361;F;212544;NUM_PEN_PERS;136.0;A;_Z;_Z
2011;2397;_T;212544;NUM_PEN_PERS;409.0;A;_Z;_Z
2011;2397;M;212544;NUM_PEN_PERS;372.0;A;_Z;_Z
2011;2397;F;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2011;2362;_T;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2011;2362;M;212544;NUM_PEN_PERS;51.0;A;_Z;_Z
2011;2362;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2011;2363;_T;212544;NUM_PEN_PERS;679.0;A;_Z;_Z
2011;2363;M;212544;NUM_PEN_PERS;462.0;A;_Z;_Z
2011;2363;F;212544;NUM_PEN_PERS;217.0;A;_Z;_Z
2011;2364;_T;212544;NUM_PEN_PERS;156.0;A;_Z;_Z
2011;2364;M;212544;NUM_PEN_PERS;110.0;A;_Z;_Z
2011;2364;F;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2011;2365;_T;212544;NUM_PEN_PERS;11643.0;A;_Z;_Z
2011;2365;M;212544;NUM_PEN_PERS;9083.0;A;_Z;_Z
2011;2365;F;212544;NUM_PEN_PERS;2560.0;A;_Z;_Z
2011;2366;_T;212544;NUM_PEN_PERS;173.0;A;_Z;_Z
2011;2366;M;212544;NUM_PEN_PERS;159.0;A;_Z;_Z
2011;2366;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2011;2368;_T;212544;NUM_PEN_PERS;4063.0;A;_Z;_Z
2011;2368;M;212544;NUM_PEN_PERS;3634.0;A;_Z;_Z
2011;2368;F;212544;NUM_PEN_PERS;429.0;A;_Z;_Z
2011;2369;_T;212544;NUM_PEN_PERS;1136.0;A;_Z;_Z
2011;2369;M;212544;NUM_PEN_PERS;980.0;A;_Z;_Z
2011;2369;F;212544;NUM_PEN_PERS;156.0;A;_Z;_Z
2011;2367;_T;212544;NUM_PEN_PERS;1339.0;A;_Z;_Z
2011;2367;M;212544;NUM_PEN_PERS;1201.0;A;_Z;_Z
2011;2367;F;212544;NUM_PEN_PERS;138.0;A;_Z;_Z
