ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES616;2015;PERS_MEDI_REMU;30.975701351;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_REMU;23.622485138000002;A;_Z;_Z;_Z
A;ES616;2013;PERS_MEDI_REMU;28.297662385;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_REMU;307.79260879000003;A;_Z;_Z;_Z
A;ES617;2019;PERS_MEDI_REMU;465.212827887;A;_Z;_Z;_Z
A;ES617;2018;PERS_MEDI_REMU;514.02253064;A;_Z;_Z;_Z
A;ES617;2017;PERS_MEDI_REMU;303.55024272;A;_Z;_Z;_Z
A;ES617;2016;PERS_MEDI_REMU;201.36987495300002;A;_Z;_Z;_Z
A;ES617;2015;PERS_MEDI_REMU;59.553039067;A;_Z;_Z;_Z
A;ES617;2014;PERS_MEDI_REMU;134.076776615;A;_Z;_Z;_Z
A;ES617;2013;PERS_MEDI_REMU;112.005445906;A;_Z;_Z;_Z
A;ES618;2020;PERS_MEDI_REMU;41.096327922;A;_Z;_Z;_Z
A;ES618;2019;PERS_MEDI_REMU;75.819967793;A;_Z;_Z;_Z
A;ES618;2018;PERS_MEDI_REMU;96.748001488;A;_Z;_Z;_Z
A;ES618;2017;PERS_MEDI_REMU;96.536990739;A;_Z;_Z;_Z
A;ES618;2016;PERS_MEDI_REMU;104.692443169;A;_Z;_Z;_Z
A;ES618;2015;PERS_MEDI_REMU;104.452137636;A;_Z;_Z;_Z
A;ES618;2014;PERS_MEDI_REMU;133.934267495;A;_Z;_Z;_Z
A;ES618;2013;PERS_MEDI_REMU;94.131944004;A;_Z;_Z;_Z
A;ES61;2020;PERS_MEDI_REMU;626.541341788;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_REMU;1011.000865668;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_REMU;1044.255370641;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_REMU;784.1218896190001;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_REMU;674.1886119449999;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_REMU;576.829415325;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_REMU;725.2190677809999;A;_Z;_Z;_Z
A;ES61;2013;PERS_MEDI_REMU;597.394435476;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_REMU;37.260128793;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_REMU;101.74124803199999;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_REMU;57.368947094999996;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_REMU;48.212845579;A;_Z;_Z;_Z
