TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2018;ES611;281602;281485;F;TOTAL;ASAL_PER;160725.0;A
2018;ES611;281602;281486;_T;TOTAL;ASAL_PER;700100.0;A
2018;ES611;281602;281486;M;TOTAL;ASAL_PER;189325.0;A
2018;ES611;281602;281486;F;TOTAL;ASAL_PER;160725.0;A
2018;ES612;281603;281485;_T;TOTAL;ASAL_PER;256500.0;A
2018;ES612;281603;281485;M;TOTAL;ASAL_PER;72075.0;A
2018;ES612;281603;281485;F;TOTAL;ASAL_PER;56175.0;A
2018;ES612;281603;281486;_T;TOTAL;ASAL_PER;256500.0;A
2018;ES612;281603;281486;M;TOTAL;ASAL_PER;72075.0;A
2018;ES612;281603;281486;F;TOTAL;ASAL_PER;56175.0;A
2018;ES612;281604;281485;_T;TOTAL;ASAL_PER;288350.0;A
2018;ES612;281604;281485;M;TOTAL;ASAL_PER;79125.0;A
2018;ES612;281604;281485;F;TOTAL;ASAL_PER;65050.0;A
2018;ES612;281604;281486;_T;TOTAL;ASAL_PER;288350.0;A
2018;ES612;281604;281486;M;TOTAL;ASAL_PER;79125.0;A
2018;ES612;281604;281486;F;TOTAL;ASAL_PER;65050.0;A
2018;ES612;281605;281485;_T;TOTAL;ASAL_PER;619700.0;A
2018;ES612;281605;281485;M;TOTAL;ASAL_PER;170450.0;A
2018;ES612;281605;281485;F;TOTAL;ASAL_PER;139400.0;A
2018;ES612;281605;281486;_T;TOTAL;ASAL_PER;619700.0;A
2018;ES612;281605;281486;M;TOTAL;ASAL_PER;170450.0;A
2018;ES612;281605;281486;F;TOTAL;ASAL_PER;139400.0;A
2018;ES612;281602;281485;_T;TOTAL;ASAL_PER;1164550.0;A
2018;ES612;281602;281485;M;TOTAL;ASAL_PER;321650.0;A
2018;ES612;281602;281485;F;TOTAL;ASAL_PER;260625.0;A
2018;ES612;281602;281486;_T;TOTAL;ASAL_PER;1164550.0;A
2018;ES612;281602;281486;M;TOTAL;ASAL_PER;321650.0;A
2018;ES612;281602;281486;F;TOTAL;ASAL_PER;260625.0;A
