TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2020;ES617;5114;DIV;23.32037;A
2020;ES617;5126;DIV;56.17276;A
2020;ES617;5137;DIV;142.78305;A
2020;ES617;5148;DIV;121.68641;A
2020;ES617;5159;DIV;151.10764;A
2020;ES617;5170;DIV;172.14057;A
2020;ES617;5181;DIV;117.30266;A
2020;ES617;5192;DIV;114.8878;A
2020;ES617;5203;DIV;62.27362;A
2020;ES617;5214;DIV;96.0786;A
2020;ES617;5116;DIV;92.64744;A
2020;ES617;5117;DIV;106.75434;A
2020;ES617;5118;DIV;118.51009;A
2020;ES617;5119;DIV;143.22902;A
2020;ES617;5120;DIV;93.91858;A
2020;ES617;5121;DIV;85.72141;A
2020;ES617;5122;DIV;59.85876;A
2020;ES617;5123;DIV;79.87539;A
2020;ES617;5124;DIV;90.36;A
2020;ES617;5125;DIV;68.05593;A
2020;ES617;5127;DIV;79.87539;A
2020;ES617;5128;DIV;82.09912;A
2020;ES617;5129;DIV;61.00248;A
2020;ES617;5130;DIV;53.88532;A
2020;ES617;5131;DIV;63.1625;A
2020;ES617;5132;DIV;52.55047;A
2020;ES617;5133;DIV;31.51754;A
2020;ES617;5134;DIV;37.36356;A
2020;ES617;5135;DIV;78.34941;A
2020;ES617;5136;DIV;56.04534;A
2020;ES617;5138;DIV;35.01241;A
2020;ES617;5139;DIV;40.79472;A
2020;ES617;5140;DIV;35.01241;A
2020;ES617;5141;DIV;43.20958;A
2020;ES617;5142;DIV;12.89947;A
2020;ES617;5143;DIV;35.01241;A
2020;ES617;5144;DIV;21.03293;A
2020;ES617;5145;DIV;26.81524;A
2020;ES617;5146;DIV;25.67152;A
2020;ES617;5147;DIV;6.98974;A
2020;ES617;5149;DIV;16.33063;A
2020;ES617;5150;DIV;19.8255;A
2020;ES617;5151;DIV;21.03293;A
2020;ES617;5152;DIV;25.67152;A
2020;ES617;5153;DIV;14.04319;A
2020;ES617;5154;DIV;12.83576;A
2020;ES617;5156;DIV;5.84602;A
2020;ES617;5157;DIV;2.35115;A
2020;ES617;5158;DIV;9.34089;A
2020;ES617;5162;DIV;2.35115;A
2020;ES617;5165;DIV;4.7023;A
2020;ES618;5215;DIV;3390.26529;A
2020;ES618;5114;DIV;22.1648;A
2020;ES618;5126;DIV;87.81359;A
2020;ES618;5137;DIV;88.09546;A
2020;ES618;5148;DIV;129.42704;A
2020;ES618;5159;DIV;132.86066;A
2020;ES618;5170;DIV;112.69454;A
2020;ES618;5181;DIV;117.5631;A
2020;ES618;5192;DIV;164.63444;A
2020;ES618;5203;DIV;93.83522;A
2020;ES618;5214;DIV;115.71815;A
2020;ES618;5116;DIV;94.98829;A
2020;ES618;5117;DIV;99.42125;A
2020;ES618;5118;DIV;156.92159;A
2020;ES618;5119;DIV;146.77446;A
2020;ES618;5120;DIV;130.88757;A
2020;ES618;5121;DIV;118.30616;A
2020;ES618;5122;DIV;96.14136;A
2020;ES618;5123;DIV;80.25447;A
2020;ES618;5124;DIV;95.70576;A
2020;ES618;5125;DIV;102.1374;A
2020;ES618;5127;DIV;91.83654;A
2020;ES618;5128;DIV;107.44156;A
2020;ES618;5129;DIV;95.55203;A
2020;ES618;5130;DIV;81.94569;A
2020;ES618;5131;DIV;73.2335;A
2020;ES618;5132;DIV;74.51471;A
2020;ES618;5133;DIV;53.91299;A
2020;ES618;5134;DIV;57.34661;A
2020;ES618;5135;DIV;54.63046;A
2020;ES618;5136;DIV;59.34529;A
2020;ES618;5138;DIV;56.91101;A
2020;ES618;5139;DIV;51.47871;A
2020;ES618;5140;DIV;51.76058;A
2020;ES618;5141;DIV;25.59842;A
2020;ES618;5142;DIV;18.44931;A
2020;ES618;5143;DIV;23.16414;A
2020;ES618;5144;DIV;30.31325;A
2020;ES618;5145;DIV;18.16744;A
2020;ES618;5146;DIV;30.31325;A
2020;ES618;5147;DIV;29.59578;A
2020;ES618;5149;DIV;20.16612;A
2020;ES618;5150;DIV;17.73184;A
2020;ES618;5151;DIV;23.16414;A
2020;ES618;5152;DIV;9.86526;A
2020;ES618;5153;DIV;6.14977;A
2020;ES618;5154;DIV;7.86658;A
2020;ES618;5155;DIV;6.14977;A
2020;ES618;5156;DIV;9.86526;A
2020;ES618;5157;DIV;10.58273;A
2020;ES618;5160;DIV;3.43362;A
2020;ES618;5161;DIV;1.71681;A
2020;ES618;5163;DIV;1.71681;A
2019;ES61;5215;DIV;17078.2748;A
2019;ES61;5114;DIV;126.7366;A
2019;ES61;5126;DIV;393.41899;A
2019;ES61;5137;DIV;622.31534;A
2019;ES61;5148;DIV;626.77348;A
2019;ES61;5159;DIV;657.48185;A
2019;ES61;5170;DIV;644.71006;A
2019;ES61;5181;DIV;618.34463;A
2019;ES61;5192;DIV;597.63424;A
2019;ES61;5203;DIV;568.44209;A
2019;ES61;5214;DIV;572.42524;A
2019;ES61;5116;DIV;706.60335;A
2019;ES61;5117;DIV;684.29556;A
2019;ES61;5118;DIV;637.42733;A
2019;ES61;5119;DIV;695.26974;A
2019;ES61;5120;DIV;516.27551;A
2019;ES61;5121;DIV;562.33449;A
2019;ES61;5122;DIV;553.66592;A
2019;ES61;5123;DIV;601.00969;A
2019;ES61;5124;DIV;481.42136;A
2019;ES61;5125;DIV;441.81305;A
2019;ES61;5127;DIV;402.97659;A
2019;ES61;5128;DIV;413.81995;A
2019;ES61;5129;DIV;323.85801;A
2019;ES61;5130;DIV;380.34659;A
2019;ES61;5131;DIV;316.22764;A
2019;ES61;5132;DIV;308.22063;A
2019;ES61;5133;DIV;301.6424;A
2019;ES61;5134;DIV;341.96013;A
2019;ES61;5135;DIV;301.01807;A
2019;ES61;5136;DIV;297.97442;A
2019;ES61;5138;DIV;266.04759;A
2019;ES61;5139;DIV;241.78968;A
2019;ES61;5140;DIV;207.64769;A
2019;ES61;5141;DIV;137.60555;A
2019;ES61;5142;DIV;156.56834;A
2019;ES61;5143;DIV;153.31437;A
2019;ES61;5144;DIV;141.29652;A
2019;ES61;5145;DIV;132.59088;A
2019;ES61;5146;DIV;121.48298;A
2019;ES61;5147;DIV;115.51449;A
2019;ES61;5149;DIV;98.66662;A
2019;ES61;5150;DIV;101.94362;A
2019;ES61;5151;DIV;85.05727;A
2019;ES61;5152;DIV;101.67107;A
2019;ES61;5153;DIV;78.09538;A
2019;ES61;5154;DIV;49.00739;A
2019;ES61;5155;DIV;52.00177;A
2019;ES61;5156;DIV;32.4453;A
2019;ES61;5157;DIV;28.26904;A
2019;ES61;5158;DIV;13.50111;A
2019;ES61;5160;DIV;5.48302;A
2019;ES61;5161;DIV;19.93622;A
2019;ES61;5162;DIV;9.60517;A
2019;ES61;5163;DIV;9.27437;A
2019;ES61;5164;DIV;5.36835;A
2019;ES61;5165;DIV;1.72588;A
2019;ES61;5166;DIV;7.79002;A
2019;ES61;5167;DIV;5.78662;A
2019;ES61;5176;DIV;2.34554;A
2019;ES611;5215;DIV;1684.43364;A
2019;ES611;5114;DIV;11.90667;A
2019;ES611;5126;DIV;34.24074;A
2019;ES611;5137;DIV;57.46914;A
2019;ES611;5148;DIV;50.82693;A
2019;ES611;5159;DIV;61.83927;A
2019;ES611;5170;DIV;81.55803;A
2019;ES611;5181;DIV;65.31507;A
2019;ES611;5192;DIV;79.52766;A
