TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;ES612;Y55-59;4870;DIV;77.62842;A
2020;ES612;Y55-59;4876;DIV;3.13867;A
2020;ES612;Y60-64;4948;DIV;126.89187;A
2020;ES612;Y60-64;4839;DIV;2.10544;A
2020;ES612;Y60-64;4845;DIV;2.10544;A
2020;ES612;Y60-64;4858;DIV;10.5272;A
2020;ES612;Y60-64;4864;DIV;19.94321;A
2020;ES612;Y60-64;4870;DIV;42.94713;A
2020;ES612;Y60-64;4876;DIV;44.01934;A
2020;ES612;Y60-64;4882;DIV;5.24411;A
2020;ES612;Y65-69;4948;DIV;70.27887;A
2020;ES612;Y65-69;4832;DIV;3.13867;A
2020;ES612;Y65-69;4858;DIV;3.13867;A
2020;ES612;Y65-69;4864;DIV;4.21088;A
2020;ES612;Y65-69;4870;DIV;7.34955;A
2020;ES612;Y65-69;4876;DIV;7.34955;A
2020;ES612;Y65-69;4882;DIV;42.98611;A
2020;ES612;Y65-69;4888;DIV;2.10544;A
2020;ES612;Y70-74;4948;DIV;32.53687;A
2020;ES612;Y70-74;4845;DIV;2.10544;A
2020;ES612;Y70-74;4864;DIV;2.10544;A
2020;ES612;Y70-74;4876;DIV;2.10544;A
2020;ES612;Y70-74;4882;DIV;12.59366;A
2020;ES612;Y70-74;4888;DIV;13.62689;A
2020;ES612;Y65-100;4948;DIV;23.08188;A
2020;ES612;Y65-100;4858;DIV;2.10544;A
2020;ES612;Y65-100;4864;DIV;2.10544;A
2020;ES612;Y65-100;4888;DIV;7.34955;A
2020;ES612;Y65-100;4947;DIV;11.52145;A
2020;ES613;TOTAL;4948;DIV;1295.68526;A
2020;ES613;TOTAL;4832;DIV;32.203;A
2020;ES613;TOTAL;4839;DIV;106.88587;A
2020;ES613;TOTAL;4845;DIV;195.52536;A
2020;ES613;TOTAL;4851;DIV;309.10112;A
2020;ES613;TOTAL;4858;DIV;260.85959;A
2020;ES613;TOTAL;4864;DIV;168.85857;A
2020;ES613;TOTAL;4870;DIV;119.88109;A
2020;ES613;TOTAL;4876;DIV;52.11356;A
2020;ES613;TOTAL;4882;DIV;23.07981;A
2020;ES613;TOTAL;4888;DIV;13.02839;A
2020;ES613;TOTAL;4947;DIV;14.1489;A
2020;ES613;Y15-19;4948;DIV;2.97697;A
2020;ES613;Y15-19;4839;DIV;2.97697;A
2020;ES613;Y25-29;4948;DIV;15.26941;A
2020;ES613;Y25-29;4832;DIV;6.14622;A
2020;ES613;Y25-29;4839;DIV;9.12319;A
2020;ES613;Y30-34;4948;DIV;46.73646;A
2020;ES613;Y30-34;4832;DIV;8.00268;A
2020;ES613;Y30-34;4839;DIV;29.61059;A
2020;ES613;Y30-34;4845;DIV;9.12319;A
2020;ES613;Y35-39;4948;DIV;163.48147;A
2020;ES613;Y35-39;4832;DIV;13.02839;A
2020;ES613;Y35-39;4839;DIV;34.6363;A
2020;ES613;Y35-39;4845;DIV;81.56504;A
2020;ES613;Y35-39;4851;DIV;27.17729;A
2020;ES613;Y35-39;4858;DIV;2.04874;A
2020;ES613;Y35-39;4864;DIV;2.04874;A
2020;ES613;Y35-39;4870;DIV;2.97697;A
2020;ES613;Y40-44;4948;DIV;251.03362;A
2020;ES613;Y40-44;4832;DIV;2.04874;A
2020;ES613;Y40-44;4839;DIV;17.31815;A
2020;ES613;Y40-44;4845;DIV;71.32134;A
2020;ES613;Y40-44;4851;DIV;132.78354;A
2020;ES613;Y40-44;4858;DIV;25.51311;A
2020;ES613;Y40-44;4864;DIV;2.04874;A
2020;ES613;Y45-49;4948;DIV;284.86763;A
2020;ES613;Y45-49;4832;DIV;2.97697;A
2020;ES613;Y45-49;4839;DIV;11.17193;A
2020;ES613;Y45-49;4845;DIV;19.17461;A
2020;ES613;Y45-49;4851;DIV;111.7193;A
2020;ES613;Y45-49;4858;DIV;115.43222;A
2020;ES613;Y45-49;4864;DIV;18.24638;A
2020;ES613;Y45-49;4870;DIV;6.14622;A
2020;ES613;Y50-54;4948;DIV;257.49806;A
2020;ES613;Y50-54;4845;DIV;10.2437;A
2020;ES613;Y50-54;4851;DIV;22.34386;A
2020;ES613;Y50-54;4858;DIV;105.76536;A
2020;ES613;Y50-54;4864;DIV;96.99356;A
2020;ES613;Y50-54;4870;DIV;19.17461;A
2020;ES613;Y50-54;4876;DIV;2.97697;A
2020;ES613;Y55-59;4948;DIV;124.17085;A
2020;ES613;Y55-59;4839;DIV;2.04874;A
2020;ES613;Y55-59;4851;DIV;12.10016;A
2020;ES613;Y55-59;4858;DIV;9.12319;A
2020;ES613;Y55-59;4864;DIV;40.39796;A
2020;ES613;Y55-59;4870;DIV;55.47509;A
2020;ES613;Y55-59;4876;DIV;5.02571;A
2020;ES613;Y60-64;4948;DIV;61.23675;A
2020;ES613;Y60-64;4845;DIV;2.04874;A
2020;ES613;Y60-64;4864;DIV;7.07445;A
2020;ES613;Y60-64;4870;DIV;28.10552;A
2020;ES613;Y60-64;4876;DIV;18.98233;A
2020;ES613;Y60-64;4882;DIV;2.97697;A
2020;ES613;Y60-64;4888;DIV;2.04874;A
2020;ES613;Y65-69;4948;DIV;47.08785;A
2020;ES613;Y65-69;4858;DIV;2.97697;A
2020;ES613;Y65-69;4864;DIV;2.04874;A
2020;ES613;Y65-69;4870;DIV;2.97697;A
2020;ES613;Y65-69;4876;DIV;21.03107;A
2020;ES613;Y65-69;4882;DIV;13.02839;A
2020;ES613;Y65-69;4888;DIV;2.97697;A
2020;ES613;Y65-69;4947;DIV;2.04874;A
2020;ES613;Y70-74;4948;DIV;24.20032;A
2020;ES613;Y70-74;4845;DIV;2.04874;A
2020;ES613;Y70-74;4851;DIV;2.97697;A
2020;ES613;Y70-74;4870;DIV;2.97697;A
2020;ES613;Y70-74;4876;DIV;2.04874;A
2020;ES613;Y70-74;4882;DIV;4.09748;A
2020;ES613;Y70-74;4888;DIV;8.00268;A
2020;ES613;Y70-74;4947;DIV;2.04874;A
2020;ES613;Y65-100;4948;DIV;17.12587;A
2020;ES613;Y65-100;4870;DIV;2.04874;A
2020;ES613;Y65-100;4876;DIV;2.04874;A
2020;ES613;Y65-100;4882;DIV;2.97697;A
2020;ES613;Y65-100;4947;DIV;10.05142;A
2020;ES614;TOTAL;4948;DIV;1333.9225;A
2020;ES614;TOTAL;4826;DIV;9.56447;A
2020;ES614;TOTAL;4832;DIV;27.7392;A
2020;ES614;TOTAL;4839;DIV;120.72095;A
2020;ES614;TOTAL;4845;DIV;168.96503;A
2020;ES614;TOTAL;4851;DIV;299.67218;A
2020;ES614;TOTAL;4858;DIV;313.87458;A
2020;ES614;TOTAL;4864;DIV;185.69726;A
2020;ES614;TOTAL;4870;DIV;124.20499;A
2020;ES614;TOTAL;4876;DIV;58.27447;A
2020;ES614;TOTAL;4882;DIV;19.12894;A
2020;ES614;TOTAL;4888;DIV;6.08043;A
2020;ES614;Y25-29;4948;DIV;17.35364;A
2020;ES614;Y25-29;4832;DIV;8.67682;A
2020;ES614;Y25-29;4839;DIV;6.08043;A
2020;ES614;Y25-29;4845;DIV;2.59639;A
2020;ES614;Y30-34;4948;DIV;95.51158;A
2020;ES614;Y30-34;4826;DIV;3.48404;A
2020;ES614;Y30-34;4832;DIV;11.27321;A
2020;ES614;Y30-34;4839;DIV;61.69195;A
2020;ES614;Y30-34;4845;DIV;10.38556;A
2020;ES614;Y30-34;4858;DIV;2.59639;A
2020;ES614;Y30-34;4864;DIV;6.08043;A
2020;ES614;Y35-39;4948;DIV;139.58365;A
2020;ES614;Y35-39;4826;DIV;6.08043;A
2020;ES614;Y35-39;4832;DIV;2.59639;A
2020;ES614;Y35-39;4839;DIV;36.41602;A
2020;ES614;Y35-39;4845;DIV;73.65313;A
2020;ES614;Y35-39;4851;DIV;13.8696;A
2020;ES614;Y35-39;4858;DIV;6.96808;A
2020;ES614;Y40-44;4948;DIV;267.82753;A
2020;ES614;Y40-44;4832;DIV;5.19278;A
2020;ES614;Y40-44;4839;DIV;16.53255;A
2020;ES614;Y40-44;4845;DIV;49.39797;A
2020;ES614;Y40-44;4851;DIV;148.12735;A
2020;ES614;Y40-44;4858;DIV;42.49645;A
2020;ES614;Y40-44;4864;DIV;6.08043;A
2020;ES614;Y45-49;4948;DIV;297.27547;A
2020;ES614;Y45-49;4845;DIV;21.65877;A
2020;ES614;Y45-49;4851;DIV;98.72938;A
2020;ES614;Y45-49;4858;DIV;153.45325;A
2020;ES614;Y45-49;4864;DIV;17.35364;A
2020;ES614;Y45-49;4870;DIV;6.08043;A
2020;ES614;Y50-54;4948;DIV;247.05641;A
2020;ES614;Y50-54;4845;DIV;8.67682;A
2020;ES614;Y50-54;4851;DIV;31.15668;A
2020;ES614;Y50-54;4858;DIV;89.29803;A
2020;ES614;Y50-54;4864;DIV;93.60316;A
2020;ES614;Y50-54;4870;DIV;21.72533;A
2020;ES614;Y50-54;4876;DIV;2.59639;A
2020;ES614;Y55-59;4948;DIV;123.31734;A
2020;ES614;Y55-59;4851;DIV;7.78917;A
2020;ES614;Y55-59;4858;DIV;19.06238;A
2020;ES614;Y55-59;4864;DIV;40.85427;A
2020;ES614;Y55-59;4870;DIV;52.12748;A
2020;ES614;Y55-59;4876;DIV;3.48404;A
2020;ES614;Y60-64;4948;DIV;79.93324;A
2020;ES614;Y60-64;4845;DIV;2.59639;A
2020;ES614;Y60-64;4864;DIV;15.6449;A
2020;ES614;Y60-64;4870;DIV;28.62685;A
2020;ES614;Y60-64;4876;DIV;33.0651;A
2020;ES614;Y65-69;4948;DIV;31.2898;A
2020;ES614;Y65-69;4870;DIV;6.08043;A
2020;ES614;Y65-69;4876;DIV;19.12894;A
2020;ES614;Y65-69;4882;DIV;6.08043;A
2020;ES614;Y70-74;4948;DIV;28.69341;A
2020;ES614;Y70-74;4864;DIV;6.08043;A
2020;ES614;Y70-74;4870;DIV;6.08043;A
2020;ES614;Y70-74;4882;DIV;13.04851;A
2020;ES614;Y70-74;4888;DIV;3.48404;A
2020;ES614;Y65-100;4948;DIV;6.08043;A
2020;ES614;Y65-100;4870;DIV;3.48404;A
2020;ES614;Y65-100;4888;DIV;2.59639;A
2020;ES615;TOTAL;4948;DIV;832.55851;A
2020;ES615;TOTAL;4826;DIV;8.44148;A
2020;ES615;TOTAL;4832;DIV;20.6661;A
2020;ES615;TOTAL;4839;DIV;60.54433;A
2020;ES615;TOTAL;4845;DIV;160.69864;A
2020;ES615;TOTAL;4851;DIV;153.71113;A
2020;ES615;TOTAL;4858;DIV;172.92326;A
2020;ES615;TOTAL;4864;DIV;140.59722;A
2020;ES615;TOTAL;4870;DIV;55.88599;A
2020;ES615;TOTAL;4876;DIV;44.53657;A
2020;ES615;TOTAL;4882;DIV;8.44148;A
2020;ES615;TOTAL;4947;DIV;6.11231;A
2020;ES615;Y15-19;4948;DIV;2.32917;A
2020;ES615;Y15-19;4858;DIV;2.32917;A
2020;ES615;Y25-29;4948;DIV;15.42899;A
2020;ES615;Y25-29;4826;DIV;2.32917;A
2020;ES615;Y25-29;4832;DIV;8.44148;A
2020;ES615;Y25-29;4839;DIV;4.65834;A
2020;ES615;Y30-34;4948;DIV;36.09509;A
2020;ES615;Y30-34;4826;DIV;2.32917;A
2020;ES615;Y30-34;4832;DIV;6.11231;A
2020;ES615;Y30-34;4839;DIV;9.89545;A
2020;ES615;Y30-34;4845;DIV;11.64585;A
2020;ES615;Y30-34;4851;DIV;6.11231;A
2020;ES615;Y35-39;4948;DIV;89.36957;A
2020;ES615;Y35-39;4832;DIV;3.78314;A
2020;ES615;Y35-39;4839;DIV;29.10758;A
2020;ES615;Y35-39;4845;DIV;41.04986;A
2020;ES615;Y35-39;4851;DIV;6.98751;A
2020;ES615;Y35-39;4858;DIV;2.32917;A
2020;ES615;Y35-39;4864;DIV;6.11231;A
2020;ES615;Y40-44;4948;DIV;151.38196;A
2020;ES615;Y40-44;4826;DIV;3.78314;A
2020;ES615;Y40-44;4832;DIV;2.32917;A
2020;ES615;Y40-44;4839;DIV;10.77065;A
2020;ES615;Y40-44;4845;DIV;61.71596;A
2020;ES615;Y40-44;4851;DIV;58.80802;A
2020;ES615;Y40-44;4858;DIV;11.64585;A
2020;ES615;Y40-44;4864;DIV;2.32917;A
2020;ES615;Y45-49;4948;DIV;208.14315;A
2020;ES615;Y45-49;4839;DIV;3.78314;A
2020;ES615;Y45-49;4845;DIV;35.51632;A
2020;ES615;Y45-49;4851;DIV;61.71596;A
2020;ES615;Y45-49;4858;DIV;88.7908;A
2020;ES615;Y45-49;4864;DIV;18.33693;A
2020;ES615;Y50-54;4948;DIV;145.84842;A
2020;ES615;Y50-54;4845;DIV;10.77065;A
2020;ES615;Y50-54;4851;DIV;9.31668;A
2020;ES615;Y50-54;4858;DIV;57.05762;A
2020;ES615;Y50-54;4864;DIV;64.04513;A
2020;ES615;Y50-54;4870;DIV;2.32917;A
2020;ES615;Y50-54;4876;DIV;2.32917;A
2020;ES615;Y55-59;4948;DIV;88.19794;A
2020;ES615;Y55-59;4839;DIV;2.32917;A
2020;ES615;Y55-59;4851;DIV;10.77065;A
2020;ES615;Y55-59;4858;DIV;6.98751;A
2020;ES615;Y55-59;4864;DIV;41.3322;A
2020;ES615;Y55-59;4870;DIV;24.44924;A
2020;ES615;Y55-59;4876;DIV;2.32917;A
