OBS_STATUS;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
P;3060;46364;2021;CAP_SUSCRITO;3000.0;A
P;3061;46367;2021;CAP_SUSCRITO;248840.0;A
P;3061;46364;2021;CAP_SUSCRITO;248840.0;A
P;3137;46367;2021;CAP_SUSCRITO;200500.0;A
P;3137;46364;2021;CAP_SUSCRITO;200500.0;A
P;3063;46367;2021;CAP_SUSCRITO;7269244.0;A
P;3063;46361;2021;CAP_SUSCRITO;426000.0;A
P;3063;46364;2021;CAP_SUSCRITO;6837244.0;A
P;3063;46366;2021;CAP_SUSCRITO;6000.0;A
P;3064;46367;2021;CAP_SUSCRITO;10513985;A
P;3064;46364;2021;CAP_SUSCRITO;10513985;A
P;3065;46367;2021;CAP_SUSCRITO;207060.0;A
P;3065;46364;2021;CAP_SUSCRITO;206460.0;A
P;3065;46366;2021;CAP_SUSCRITO;600.0;A
P;3066;46367;2021;CAP_SUSCRITO;28060.0;A
P;3066;46364;2021;CAP_SUSCRITO;28060.0;A
P;3067;46367;2021;CAP_SUSCRITO;97000.0;A
P;3067;46364;2021;CAP_SUSCRITO;97000.0;A
P;3068;46367;2021;CAP_SUSCRITO;6000.0;A
P;3068;46364;2021;CAP_SUSCRITO;6000.0;A
P;3069;46367;2021;CAP_SUSCRITO;211000.0;A
P;3069;46364;2021;CAP_SUSCRITO;211000.0;A
P;3070;46367;2021;CAP_SUSCRITO;21100.0;A
P;3070;46364;2021;CAP_SUSCRITO;21100.0;A
P;3071;46367;2021;CAP_SUSCRITO;20760.0;A
P;3071;46364;2021;CAP_SUSCRITO;20760.0;A
P;3072;46367;2021;CAP_SUSCRITO;2886629.0;A
P;3072;46364;2021;CAP_SUSCRITO;2886629.0;A
P;3073;46367;2021;CAP_SUSCRITO;12000.0;A
P;3073;46364;2021;CAP_SUSCRITO;12000.0;A
P;3074;46367;2021;CAP_SUSCRITO;4061102.0;A
P;3074;46364;2021;CAP_SUSCRITO;4061102.0;A
P;3075;46367;2021;CAP_SUSCRITO;616200.0;A
P;3075;46364;2021;CAP_SUSCRITO;616200.0;A
P;3076;46367;2021;CAP_SUSCRITO;86000.0;A
P;3076;46364;2021;CAP_SUSCRITO;86000.0;A
P;3136;46367;2021;CAP_SUSCRITO;25711.07;A
P;3136;46364;2021;CAP_SUSCRITO;22700.0;A
P;3136;46366;2021;CAP_SUSCRITO;3011.07;A
P;3078;46367;2021;CAP_SUSCRITO;1132622.0;A
P;3078;46364;2021;CAP_SUSCRITO;1129622.0;A
P;3078;46366;2021;CAP_SUSCRITO;3000.0;A
P;3080;46367;2021;CAP_SUSCRITO;481405.0;A
P;3080;46364;2021;CAP_SUSCRITO;481405.0;A
P;3081;46367;2021;CAP_SUSCRITO;253000.0;A
P;3081;46364;2021;CAP_SUSCRITO;253000.0;A
P;3082;46367;2021;CAP_SUSCRITO;101468.0;A
P;3082;46364;2021;CAP_SUSCRITO;101468.0;A
P;3083;46367;2021;CAP_SUSCRITO;7000.0;A
P;3083;46364;2021;CAP_SUSCRITO;7000.0;A
P;3085;46367;2021;CAP_SUSCRITO;161866.0;A
P;3085;46364;2021;CAP_SUSCRITO;161866.0;A
P;3086;46367;2021;CAP_SUSCRITO;1171084.0;A
P;3086;46364;2021;CAP_SUSCRITO;1171084.0;A
P;3086;46366;2021;CAP_SUSCRITO;0.0;A
P;3087;46367;2021;CAP_SUSCRITO;422030.0;A
P;3087;46361;2021;CAP_SUSCRITO;60000.0;A
P;3087;46364;2021;CAP_SUSCRITO;362030.0;A
P;3088;46367;2021;CAP_SUSCRITO;3000.0;A
P;3088;46364;2021;CAP_SUSCRITO;3000.0;A
P;3089;46367;2021;CAP_SUSCRITO;12050.0;A
P;3089;46364;2021;CAP_SUSCRITO;12050.0;A
P;3090;46367;2021;CAP_SUSCRITO;45100.0;A
P;3090;46364;2021;CAP_SUSCRITO;45100.0;A
P;3091;46367;2021;CAP_SUSCRITO;92021.06;A
P;3091;46364;2021;CAP_SUSCRITO;92021.06;A
P;3092;46367;2021;CAP_SUSCRITO;211250.0;A
P;3092;46364;2021;CAP_SUSCRITO;211250.0;A
P;3094;46367;2021;CAP_SUSCRITO;64000.0;A
P;3094;46364;2021;CAP_SUSCRITO;64000.0;A
P;3095;46367;2021;CAP_SUSCRITO;162500.0;A
P;3095;46364;2021;CAP_SUSCRITO;162500.0;A
P;3096;46367;2021;CAP_SUSCRITO;851557.0;A
P;3096;46364;2021;CAP_SUSCRITO;851557.0;A
P;3097;46367;2021;CAP_SUSCRITO;329500.0;A
P;3097;46364;2021;CAP_SUSCRITO;329500.0;A
P;3098;46367;2021;CAP_SUSCRITO;28000.0;A
P;3098;46364;2021;CAP_SUSCRITO;28000.0;A
P;3099;46367;2021;CAP_SUSCRITO;56600.0;A
P;3099;46364;2021;CAP_SUSCRITO;56600.0;A
P;3100;46367;2021;CAP_SUSCRITO;46925.0;A
P;3100;46364;2021;CAP_SUSCRITO;46925.0;A
P;3101;46367;2021;CAP_SUSCRITO;6000.0;A
P;3101;46364;2021;CAP_SUSCRITO;6000.0;A
P;3102;46367;2021;CAP_SUSCRITO;650176.0;A
P;3102;46364;2021;CAP_SUSCRITO;650176.0;A
P;3103;46367;2021;CAP_SUSCRITO;3000.0;A
P;3103;46364;2021;CAP_SUSCRITO;3000.0;A
P;3104;46367;2021;CAP_SUSCRITO;365346.0;A
P;3104;46364;2021;CAP_SUSCRITO;365346.0;A
P;3105;46367;2021;CAP_SUSCRITO;13000.0;A
P;3105;46364;2021;CAP_SUSCRITO;13000.0;A
P;3108;46367;2021;CAP_SUSCRITO;884420.37;A
P;3108;46364;2021;CAP_SUSCRITO;884420.37;A
P;3109;46367;2021;CAP_SUSCRITO;12001.0;A
P;3109;46364;2021;CAP_SUSCRITO;12001.0;A
P;3110;46367;2021;CAP_SUSCRITO;12211978;A
P;3110;46364;2021;CAP_SUSCRITO;12211978;A
P;3111;46367;2021;CAP_SUSCRITO;54500.0;A
P;3111;46364;2021;CAP_SUSCRITO;54500.0;A
P;3112;46367;2021;CAP_SUSCRITO;3000.0;A
P;3112;46364;2021;CAP_SUSCRITO;3000.0;A
P;3113;46367;2021;CAP_SUSCRITO;67000.0;A
P;3113;46364;2021;CAP_SUSCRITO;67000.0;A
