TIME_PERIOD,REF_AREA,D_DISTRIBUCION_MNP_0,INDICATOR,OBS_VALUE,FREQ,SEXO,D_MULTIPLICIDAD_SEXO_0,EDAD,D_REL_RESIDENANT_0
2013,ES616,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2013,ES617,70395,LATE_FETAL_DEATH,99.0,A,_Z,_Z,_Z,_Z
2013,ES617,70391,LATE_FETAL_DEATH,47.0,A,_Z,_Z,_Z,_Z
2013,ES617,70394,LATE_FETAL_DEATH,52.0,A,_Z,_Z,_Z,_Z
2013,ES618,70395,LATE_FETAL_DEATH,140.0,A,_Z,_Z,_Z,_Z
2013,ES618,70391,LATE_FETAL_DEATH,69.0,A,_Z,_Z,_Z,_Z
2013,ES618,70394,LATE_FETAL_DEATH,71.0,A,_Z,_Z,_Z,_Z
2013,ES61,70395,LATE_FETAL_DEATH,539.0,A,_Z,_Z,_Z,_Z
2013,ES61,70391,LATE_FETAL_DEATH,268.0,A,_Z,_Z,_Z,_Z
2013,ES61,70394,LATE_FETAL_DEATH,271.0,A,_Z,_Z,_Z,_Z
2012,ES611,70395,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2012,ES611,70391,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2012,ES611,70394,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2012,ES612,70395,LATE_FETAL_DEATH,67.0,A,_Z,_Z,_Z,_Z
2012,ES612,70391,LATE_FETAL_DEATH,34.0,A,_Z,_Z,_Z,_Z
2012,ES612,70394,LATE_FETAL_DEATH,33.0,A,_Z,_Z,_Z,_Z
2012,ES613,70395,LATE_FETAL_DEATH,53.0,A,_Z,_Z,_Z,_Z
2012,ES613,70391,LATE_FETAL_DEATH,25.0,A,_Z,_Z,_Z,_Z
2012,ES613,70394,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2012,ES614,70395,LATE_FETAL_DEATH,73.0,A,_Z,_Z,_Z,_Z
2012,ES614,70391,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2012,ES614,70394,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2012,ES615,70395,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2012,ES615,70391,LATE_FETAL_DEATH,9.0,A,_Z,_Z,_Z,_Z
2012,ES615,70394,LATE_FETAL_DEATH,9.0,A,_Z,_Z,_Z,_Z
2012,ES616,70395,LATE_FETAL_DEATH,54.0,A,_Z,_Z,_Z,_Z
2012,ES616,70391,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2012,ES616,70394,LATE_FETAL_DEATH,26.0,A,_Z,_Z,_Z,_Z
2012,ES617,70395,LATE_FETAL_DEATH,112.0,A,_Z,_Z,_Z,_Z
2012,ES617,70391,LATE_FETAL_DEATH,56.0,A,_Z,_Z,_Z,_Z
2012,ES617,70394,LATE_FETAL_DEATH,56.0,A,_Z,_Z,_Z,_Z
2012,ES618,70395,LATE_FETAL_DEATH,163.0,A,_Z,_Z,_Z,_Z
2012,ES618,70391,LATE_FETAL_DEATH,82.0,A,_Z,_Z,_Z,_Z
2012,ES618,70394,LATE_FETAL_DEATH,81.0,A,_Z,_Z,_Z,_Z
2012,ES61,70395,LATE_FETAL_DEATH,578.0,A,_Z,_Z,_Z,_Z
2012,ES61,70391,LATE_FETAL_DEATH,288.0,A,_Z,_Z,_Z,_Z
2012,ES61,70394,LATE_FETAL_DEATH,290.0,A,_Z,_Z,_Z,_Z
2011,ES611,70395,LATE_FETAL_DEATH,32.0,A,_Z,_Z,_Z,_Z
2011,ES611,70391,LATE_FETAL_DEATH,17.0,A,_Z,_Z,_Z,_Z
2011,ES611,70394,LATE_FETAL_DEATH,15.0,A,_Z,_Z,_Z,_Z
2011,ES612,70395,LATE_FETAL_DEATH,87.0,A,_Z,_Z,_Z,_Z
2011,ES612,70391,LATE_FETAL_DEATH,44.0,A,_Z,_Z,_Z,_Z
2011,ES612,70394,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
2011,ES613,70395,LATE_FETAL_DEATH,47.0,A,_Z,_Z,_Z,_Z
2011,ES613,70391,LATE_FETAL_DEATH,24.0,A,_Z,_Z,_Z,_Z
2011,ES613,70394,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2011,ES614,70395,LATE_FETAL_DEATH,69.0,A,_Z,_Z,_Z,_Z
2011,ES614,70391,LATE_FETAL_DEATH,33.0,A,_Z,_Z,_Z,_Z
2011,ES614,70394,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2011,ES615,70395,LATE_FETAL_DEATH,7.0,A,_Z,_Z,_Z,_Z
2011,ES615,70391,LATE_FETAL_DEATH,4.0,A,_Z,_Z,_Z,_Z
2011,ES615,70394,LATE_FETAL_DEATH,3.0,A,_Z,_Z,_Z,_Z
2011,ES616,70395,LATE_FETAL_DEATH,56.0,A,_Z,_Z,_Z,_Z
2011,ES616,70391,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2011,ES616,70394,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2011,ES617,70395,LATE_FETAL_DEATH,127.0,A,_Z,_Z,_Z,_Z
2011,ES617,70391,LATE_FETAL_DEATH,62.0,A,_Z,_Z,_Z,_Z
2011,ES617,70394,LATE_FETAL_DEATH,65.0,A,_Z,_Z,_Z,_Z
2011,ES618,70395,LATE_FETAL_DEATH,127.0,A,_Z,_Z,_Z,_Z
2011,ES618,70391,LATE_FETAL_DEATH,63.0,A,_Z,_Z,_Z,_Z
2011,ES618,70394,LATE_FETAL_DEATH,64.0,A,_Z,_Z,_Z,_Z
2011,ES61,70395,LATE_FETAL_DEATH,552.0,A,_Z,_Z,_Z,_Z
2011,ES61,70391,LATE_FETAL_DEATH,275.0,A,_Z,_Z,_Z,_Z
2011,ES61,70394,LATE_FETAL_DEATH,277.0,A,_Z,_Z,_Z,_Z
2010,ES611,70395,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2010,ES611,70391,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2010,ES611,70394,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2010,ES612,70395,LATE_FETAL_DEATH,124.0,A,_Z,_Z,_Z,_Z
2010,ES612,70391,LATE_FETAL_DEATH,62.0,A,_Z,_Z,_Z,_Z
2010,ES612,70394,LATE_FETAL_DEATH,62.0,A,_Z,_Z,_Z,_Z
2010,ES613,70395,LATE_FETAL_DEATH,50.0,A,_Z,_Z,_Z,_Z
2010,ES613,70391,LATE_FETAL_DEATH,26.0,A,_Z,_Z,_Z,_Z
2010,ES613,70394,LATE_FETAL_DEATH,24.0,A,_Z,_Z,_Z,_Z
2010,ES614,70395,LATE_FETAL_DEATH,82.0,A,_Z,_Z,_Z,_Z
2010,ES614,70391,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2010,ES614,70394,LATE_FETAL_DEATH,44.0,A,_Z,_Z,_Z,_Z
2010,ES615,70395,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
