D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55545;2013;Pernoctaciones;1176.491552835;A
40123;55546;2020;Pernoctaciones;648.793623527;A
40123;55546;2019;Pernoctaciones;1541.844560853;A
40123;55546;2018;Pernoctaciones;1136.989816076;A
40123;55546;2017;Pernoctaciones;1464.699062557;A
40123;55546;2016;Pernoctaciones;726.773436187;A
40123;55546;2015;Pernoctaciones;1311.824436767;A
40123;55546;2014;Pernoctaciones;1139.652495884;A
40123;55546;2013;Pernoctaciones;1298.011182627;A
40123;55547;2020;Pernoctaciones;878.376992502;A
40123;55547;2019;Pernoctaciones;4624.620039091;A
40123;55547;2018;Pernoctaciones;1155.216919445;A
40123;55547;2017;Pernoctaciones;1098.308679625;A
40123;55547;2016;Pernoctaciones;1930.810891803;A
40123;55547;2015;Pernoctaciones;1518.684816747;A
40123;55547;2014;Pernoctaciones;3615.619382345;A
40123;55547;2013;Pernoctaciones;4074.28200016;A
40123;55548;2020;Pernoctaciones;723.296371632;A
40123;55548;2019;Pernoctaciones;927.130978929;A
40123;55548;2018;Pernoctaciones;1254.656640291;A
40123;55548;2017;Pernoctaciones;875.421588261;A
40123;55548;2016;Pernoctaciones;861.372325839;A
40123;55548;2015;Pernoctaciones;772.561015439;A
40123;55548;2014;Pernoctaciones;382.289782571;A
40123;55548;2013;Pernoctaciones;438.687501198;A
40123;55549;2020;Pernoctaciones;3497.796895844;A
40123;55549;2019;Pernoctaciones;5426.650640873;A
40123;55549;2018;Pernoctaciones;4864.56575307;A
40123;55549;2017;Pernoctaciones;7110.6122858;A
40123;55549;2016;Pernoctaciones;2820.25769196;A
40123;55549;2015;Pernoctaciones;4870.31780282;A
40123;55549;2014;Pernoctaciones;3382.23350348;A
40123;55549;2013;Pernoctaciones;2617.00391885;A
40123;55550;2020;Pernoctaciones;5581.940360524;A
40123;55550;2019;Pernoctaciones;12196.227603629;A
40123;55550;2018;Pernoctaciones;8347.46551863;A
40123;55550;2017;Pernoctaciones;10414.01698379;A
40123;55550;2016;Pernoctaciones;7059.88105174;A
40123;55550;2015;Pernoctaciones;7313.89244884;A
40123;55550;2014;Pernoctaciones;5693.96461255;A
40123;55550;2013;Pernoctaciones;5389.72399901;A
40123;55551;2020;Pernoctaciones;14769.204578664;A
40123;55551;2019;Pernoctaciones;27503.477460818;A
40123;55551;2018;Pernoctaciones;24185.4305356;A
40123;55551;2017;Pernoctaciones;26719.7038968;A
40123;55551;2016;Pernoctaciones;19307.3618143;A
40123;55551;2015;Pernoctaciones;16731.8780105;A
40123;55551;2014;Pernoctaciones;18871.561492;A
40123;55551;2013;Pernoctaciones;16242.15364085;A
40123;55552;2020;Pernoctaciones;12279.357747597;A
40123;55552;2019;Pernoctaciones;22948.965498666;A
40123;55552;2018;Pernoctaciones;25535.70089532;A
40123;55552;2017;Pernoctaciones;18337.32824332;A
40123;55552;2016;Pernoctaciones;19101.96572288;A
40123;55552;2015;Pernoctaciones;17241.02291776;A
40123;55552;2014;Pernoctaciones;13629.54841669;A
40123;55552;2013;Pernoctaciones;15494.49961536;A
40123;55553;2020;Pernoctaciones;4319.394326508;A
40123;55553;2019;Pernoctaciones;7579.793416473;A
40123;55553;2018;Pernoctaciones;5637.292132123;A
40123;55553;2017;Pernoctaciones;4132.715491814;A
40123;55553;2016;Pernoctaciones;7121.745990553;A
40123;55553;2015;Pernoctaciones;5676.8753364;A
40123;55553;2014;Pernoctaciones;3607.02902252;A
40123;55553;2013;Pernoctaciones;5329.488305985;A
40123;55554;2020;Pernoctaciones;6523.140018195;A
40123;55554;2019;Pernoctaciones;7312.683991675;A
40123;55554;2018;Pernoctaciones;4344.573217442;A
40123;55554;2017;Pernoctaciones;2240.505694245;A
40123;55554;2016;Pernoctaciones;1390.080351215;A
40123;55554;2015;Pernoctaciones;3285.039931432;A
40123;55554;2014;Pernoctaciones;1867.755369285;A
40123;55554;2013;Pernoctaciones;842.187599321;A
40123;55555;2020;Pernoctaciones;64961.565020732;A
40123;55555;2019;Pernoctaciones;77241.63100791;A
40123;55555;2018;Pernoctaciones;66136.9472797;A
40123;55555;2017;Pernoctaciones;65007.8236087;A
40123;55555;2016;Pernoctaciones;52155.6359967;A
40123;55555;2015;Pernoctaciones;46753.0564217;A
40123;55555;2014;Pernoctaciones;42427.8698716;A
40123;55555;2013;Pernoctaciones;48063.0106727;A
40123;55556;2020;Pernoctaciones;9053.020391456;A
40123;55556;2019;Pernoctaciones;15764.664709637;A
40123;55556;2018;Pernoctaciones;15938.7693543;A
40123;55556;2017;Pernoctaciones;14133.55733028;A
40123;55556;2016;Pernoctaciones;13844.64099045;A
40123;55556;2015;Pernoctaciones;12165.51450727;A
40123;55556;2014;Pernoctaciones;10455.73527648;A
40123;55556;2013;Pernoctaciones;7828.27367221;A
40123;55557;2020;Pernoctaciones;834.178760045;A
40123;55557;2019;Pernoctaciones;801.564191749;A
40123;55557;2018;Pernoctaciones;1421.297893544;A
40123;55557;2017;Pernoctaciones;1597.205452981;A
40123;55557;2016;Pernoctaciones;1555.232385125;A
40123;55557;2015;Pernoctaciones;1782.464219011;A
40123;55557;2014;Pernoctaciones;857.405758356;A
40123;55557;2013;Pernoctaciones;1361.830546821;A
40123;55558;2020;Pernoctaciones;9269.819389191;A
40123;55558;2019;Pernoctaciones;9754.610383882;A
40123;55558;2018;Pernoctaciones;5802.58420416;A
40123;55558;2017;Pernoctaciones;6204.08270136;A
40123;55558;2016;Pernoctaciones;6690.80800115;A
40123;55558;2015;Pernoctaciones;4818.24345067;A
40123;55558;2014;Pernoctaciones;4032.50423388;A
40123;55558;2013;Pernoctaciones;4642.26056498;A
40123;55559;2020;Pernoctaciones;62.940187994;A
40123;55559;2019;Pernoctaciones;356.644582088;A
40123;55559;2018;Pernoctaciones;551.895998668;A
40123;55559;2017;Pernoctaciones;216.277106764;A
40123;55559;2016;Pernoctaciones;529.389977825;A
40123;55559;2015;Pernoctaciones;198.743368208;A
40123;55559;2014;Pernoctaciones;200.039779292;A
40123;55559;2013;Pernoctaciones;363.497758171;A
40123;55544;2020;Pernoctaciones;523.062789286;A
40123;55544;2019;Pernoctaciones;3657.233690675;A
40123;55544;2018;Pernoctaciones;2101.583146563;A
40123;55544;2017;Pernoctaciones;2108.625573639;A
40123;55544;2016;Pernoctaciones;1985.060612306;A
40123;55544;2015;Pernoctaciones;1412.893026188;A
40123;55544;2014;Pernoctaciones;2674.96911731;A
40123;55544;2013;Pernoctaciones;2192.21149556;A
40123;55561;2020;Pernoctaciones;1981.471692029;A
40123;55561;2019;Pernoctaciones;1091.878358356;A
40123;55561;2018;Pernoctaciones;670.39990578;A
40123;55561;2017;Pernoctaciones;997.257437864;A
40123;55561;2016;Pernoctaciones;1455.330863619;A
40123;55561;2015;Pernoctaciones;968.795193693;A
40123;55561;2014;Pernoctaciones;567.175667511;A
40123;55561;2013;Pernoctaciones;248.29983431;A
40123;55562;2020;Pernoctaciones;2654.262476786;A
