D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;2797;2016;55698;Viajeros;35551.745370426;A
40123;2797;2016;55565;Viajeros;30380.379756686;A
40123;2797;2016;55697;Viajeros;5171.36561374;A
40123;2797;2015;55698;Viajeros;40651.011021437;A
40123;2797;2015;55565;Viajeros;34847.985835838;A
40123;2797;2015;55697;Viajeros;5803.025185599;A
40123;2797;2014;55698;Viajeros;26214.515665804;A
40123;2797;2014;55565;Viajeros;22349.961549193;A
40123;2797;2014;55697;Viajeros;3864.554116611;A
40123;2797;2013;55698;Viajeros;20263.445924798;A
40123;2797;2013;55565;Viajeros;17961.901681622;A
40123;2797;2013;55697;Viajeros;2301.544243176;A
40123;2911;2020;55698;Viajeros;22775.072805292;A
40123;2911;2020;55565;Viajeros;21920.300052247;A
40123;2911;2020;55697;Viajeros;854.772753045;A
40123;2911;2019;55698;Viajeros;39279.982299962;A
40123;2911;2019;55565;Viajeros;34764.781017011;A
40123;2911;2019;55697;Viajeros;4515.201282951;A
40123;2911;2018;55698;Viajeros;36325.99650897;A
40123;2911;2018;55565;Viajeros;33218.937871741;A
40123;2911;2018;55697;Viajeros;3107.058637229;A
40123;2911;2017;55698;Viajeros;30372.856409873;A
40123;2911;2017;55565;Viajeros;28332.615105334;A
40123;2911;2017;55697;Viajeros;2040.241304539;A
40123;2911;2016;55698;Viajeros;26578.743054953;A
40123;2911;2016;55565;Viajeros;25408.538907131;A
40123;2911;2016;55697;Viajeros;1170.204147822;A
40123;2911;2015;55698;Viajeros;23512.936110274;A
40123;2911;2015;55565;Viajeros;22549.954082293;A
40123;2911;2015;55697;Viajeros;962.982027981;A
40123;2911;2014;55698;Viajeros;16662.516523684;A
40123;2911;2014;55565;Viajeros;16185.45540273;A
40123;2911;2014;55697;Viajeros;477.061120954;A
40123;2911;2013;55698;Viajeros;16181.216997239;A
40123;2911;2013;55565;Viajeros;15184.930063308;A
40123;2911;2013;55697;Viajeros;996.286933931;A
40123;3023;2020;55698;Viajeros;67777.853228066;A
40123;3023;2020;55565;Viajeros;55899.559611777;A
40123;3023;2020;55697;Viajeros;11878.293616289;A
40123;3023;2019;55698;Viajeros;136027.083597828;A
40123;3023;2019;55565;Viajeros;58145.835389204;A
40123;3023;2019;55697;Viajeros;77881.248208624;A
40123;3023;2018;55698;Viajeros;128048.174799758;A
40123;3023;2018;55565;Viajeros;44036.541049898;A
40123;3023;2018;55697;Viajeros;84011.63374986;A
40123;3023;2017;55698;Viajeros;126457.873420886;A
40123;3023;2017;55565;Viajeros;50806.000323666;A
40123;3023;2017;55697;Viajeros;75651.87309722;A
40123;3023;2016;55698;Viajeros;89718.584246635;A
40123;3023;2016;55565;Viajeros;42045.698014596;A
40123;3023;2016;55697;Viajeros;47672.886232039;A
40123;3023;2015;55698;Viajeros;56208.107142142;A
40123;3023;2015;55565;Viajeros;28750.707604893;A
40123;3023;2015;55697;Viajeros;27457.399537249;A
40123;3023;2014;55698;Viajeros;46358.167199724;A
40123;3023;2014;55565;Viajeros;22993.698986891;A
40123;3023;2014;55697;Viajeros;23364.468212833;A
40123;3023;2013;55698;Viajeros;46374.404688518;A
40123;3023;2013;55565;Viajeros;21372.269688853;A
40123;3023;2013;55697;Viajeros;25002.134999665;A
40123;3142;2020;55698;Viajeros;14628.179580174;A
40123;3142;2020;55565;Viajeros;13775.250058651;A
40123;3142;2020;55697;Viajeros;852.929521523;A
40123;3142;2019;55698;Viajeros;32336.12444428;A
40123;3142;2019;55565;Viajeros;25700.439327831;A
40123;3142;2019;55697;Viajeros;6635.685116449;A
40123;3142;2018;55698;Viajeros;29251.971546181;A
40123;3142;2018;55565;Viajeros;21940.377343693;A
40123;3142;2018;55697;Viajeros;7311.594202488;A
40123;3142;2017;55698;Viajeros;23124.935315181;A
40123;3142;2017;55565;Viajeros;18991.886975449;A
40123;3142;2017;55697;Viajeros;4133.048339732;A
