TEMPORAL;CNAE09;PUB_PRIV;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;INDICATOR;OBS_VALUE;FREQ
2015;7958;215135;ES61;215124;213227;UNIDADES;1.044444444;A
2015;7958;215136;ES61;215124;213227;UNIDADES;2.226262626;A
2015;7888;215134;ES61;215124;213227;UNIDADES;1.009615385;A
2015;7888;215136;ES61;215124;213227;UNIDADES;1.009615385;A
2015;8031;215134;ES61;215124;213227;UNIDADES;80.994624083;A
2015;8031;215135;ES61;215124;213227;UNIDADES;1.045801527;A
2015;8031;215136;ES61;215124;213227;UNIDADES;79.948822556;A
2015;8080;215134;ES61;215124;213227;UNIDADES;3.081632654;A
2015;8080;215136;ES61;215124;213227;UNIDADES;3.081632654;A
2015;8165;215134;ES61;215124;213227;UNIDADES;264.461524984;A
2015;8165;215135;ES61;215124;213227;UNIDADES;2.327500183;A
2015;8165;215136;ES61;215124;213227;UNIDADES;262.134024801;A
2015;8255;215134;ES61;215124;213227;UNIDADES;9.490896217;A
2015;8255;215135;ES61;215124;213227;UNIDADES;1.063380282;A
2015;8255;215136;ES61;215124;213227;UNIDADES;8.427515935;A
2015;8345;215134;ES61;215124;213227;UNIDADES;15.679251545;A
2015;8345;215135;ES61;215124;213227;UNIDADES;1.046511628;A
2015;8345;215136;ES61;215124;213227;UNIDADES;14.632739917;A
2015;8385;215134;ES61;215124;213227;UNIDADES;4.385221306;A
2015;8385;215135;ES61;215124;213227;UNIDADES;3.27231808;A
2015;8385;215136;ES61;215124;213227;UNIDADES;1.112903226;A
2015;8426;215134;ES61;215124;213227;UNIDADES;8.893855606;A
2015;8426;215135;ES61;215124;213227;UNIDADES;1.222222222;A
2015;8426;215136;ES61;215124;213227;UNIDADES;7.671633384;A
2016;7859;215134;ES61;215124;213227;UNIDADES;46.563141617;A
2016;7859;215136;ES61;215124;213227;UNIDADES;46.563141617;A
2016;7958;215134;ES61;215124;213227;UNIDADES;4.035714286;A
2016;7958;215135;ES61;215124;213227;UNIDADES;2.0;A
2016;7958;215136;ES61;215124;213227;UNIDADES;2.035714286;A
2016;8031;215134;ES61;215124;213227;UNIDADES;98.846853274;A
2016;8031;215135;ES61;215124;213227;UNIDADES;2.305555556;A
2016;8031;215136;ES61;215124;213227;UNIDADES;96.541297718;A
2016;8080;215134;ES61;215124;213227;UNIDADES;6.82;A
2016;8080;215136;ES61;215124;213227;UNIDADES;6.82;A
2016;8165;215134;ES61;215124;213227;UNIDADES;259.019402232;A
2016;8165;215135;ES61;215124;213227;UNIDADES;1.046153846;A
2016;8165;215136;ES61;215124;213227;UNIDADES;257.973248386;A
2016;8255;215134;ES61;215124;213227;UNIDADES;9.633323156;A
2016;8255;215135;ES61;215124;213227;UNIDADES;1.085714286;A
2016;8255;215136;ES61;215124;213227;UNIDADES;8.54760887;A
2016;8345;215134;ES61;215124;213227;UNIDADES;17.37457636;A
2016;8345;215135;ES61;215124;213227;UNIDADES;1.027624309;A
2016;8345;215136;ES61;215124;213227;UNIDADES;16.346952051;A
2016;8385;215134;ES61;215124;213227;UNIDADES;5.587261753;A
2016;8385;215135;ES61;215124;213227;UNIDADES;3.173609711;A
2016;8385;215136;ES61;215124;213227;UNIDADES;2.413652042;A
2016;8426;215134;ES61;215124;213227;UNIDADES;11.457296351;A
2016;8426;215135;ES61;215124;213227;UNIDADES;1.052631579;A
2016;8426;215136;ES61;215124;213227;UNIDADES;10.404664772;A
2017;7859;215134;ES61;215124;213227;UNIDADES;52.48213978;A
2017;7958;215134;ES61;215124;213227;UNIDADES;5.130434783;A
2017;7888;215134;ES61;215124;213227;UNIDADES;1.0;A
2017;8031;215134;ES61;215124;213227;UNIDADES;92.688612315;A
2017;8080;215134;ES61;215124;213227;UNIDADES;8.6;A
2017;8165;215134;ES61;215124;213227;UNIDADES;246.382502135;A
2017;8255;215134;ES61;215124;213227;UNIDADES;8.974160227;A
2017;8345;215134;ES61;215124;213227;UNIDADES;12.673683566;A
2017;8385;215134;ES61;215124;213227;UNIDADES;4.146067416;A
2017;8426;215134;ES61;215124;213227;UNIDADES;8.396322779;A
2018;7859;215134;ES61;215124;213227;UNIDADES;54.653994151;A
2018;7859;215136;ES61;215124;213227;UNIDADES;54.653994151;A
2018;7958;215134;ES61;215124;213227;UNIDADES;4.233846154;A
2018;7958;215135;ES61;215124;213227;UNIDADES;1.153846154;A
2018;7958;215136;ES61;215124;213227;UNIDADES;3.08;A
2018;8031;215134;ES61;215124;213227;UNIDADES;90.369889577;A
2018;8031;215136;ES61;215124;213227;UNIDADES;90.369889577;A
2018;8080;215134;ES61;215124;213227;UNIDADES;2.02173913;A
2018;8080;215136;ES61;215124;213227;UNIDADES;2.02173913;A
2018;8165;215134;ES61;215124;213227;UNIDADES;251.403622636;A
2018;8165;215135;ES61;215124;213227;UNIDADES;2.119925672;A
2018;8165;215136;ES61;215124;213227;UNIDADES;249.283696964;A
2018;8255;215134;ES61;215124;213227;UNIDADES;13.948300466;A
2018;8255;215135;ES61;215124;213227;UNIDADES;1.176923077;A
2018;8255;215136;ES61;215124;213227;UNIDADES;12.771377389;A
2018;8345;215134;ES61;215124;213227;UNIDADES;21.061810389;A
2018;8345;215135;ES61;215124;213227;UNIDADES;1.04375;A
2018;8345;215136;ES61;215124;213227;UNIDADES;20.018060389;A
2018;8385;215134;ES61;215124;213227;UNIDADES;3.341885965;A
2018;8385;215135;ES61;215124;213227;UNIDADES;2.0875;A
2018;8385;215136;ES61;215124;213227;UNIDADES;1.254385965;A
2018;8426;215134;ES61;215124;213227;UNIDADES;15.97129755;A
2018;8426;215135;ES61;215124;213227;UNIDADES;2.142857143;A
2018;8426;215136;ES61;215124;213227;UNIDADES;13.828440407;A
2019;7859;215134;ES61;215124;213227;UNIDADES;69.884112364;A
2019;7859;215136;ES61;215124;213227;UNIDADES;69.884112364;A
2019;7958;215134;ES61;215124;213227;UNIDADES;3.417647059;A
2019;7958;215136;ES61;215124;213227;UNIDADES;3.417647059;A
2019;7888;215134;ES61;215124;213227;UNIDADES;1.0;A
2019;7888;215136;ES61;215124;213227;UNIDADES;1.0;A
2019;8031;215134;ES61;215124;213227;UNIDADES;98.754408308;A
