TEMPORAL;TIPO_EMPRESA;TIPO_PERSONAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2922.811793662;A
2010;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4123.278220286;A
2010;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3663.632951977;A
2010;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1646.170668777;A
2010;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2017.4622832;A
2010;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6141.8;A
2010;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2905.2;A
2010;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3236.6;A
2010;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3268.5;A
2010;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1471.7;A
2010;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1796.8;A
2010;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2188.906045186;A
2010;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1065.150531099;A
2010;215117;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1123.755514087;A
2010;215117;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;684.393954814;A
2010;215117;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;368.349468901;A
2010;215117;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;316.044485913;A
2010;215120;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;12179.5;A
2010;215120;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5338.2;A
2010;215120;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6841.3;A
2010;215120;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8421.4;A
2010;215120;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3343.7;A
2010;215120;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5077.7;A
2010;215120;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2151.007057166;A
2010;215120;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1138.035674529;A
2010;215120;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1012.971382637;A
2010;215120;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1607.092942834;A
2010;215120;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;856.464325471;A
2010;215120;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;750.628617363;A
2010;215122;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;23.1;A
2010;215122;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;15.1;A
2010;215122;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8.0;A
2010;215122;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;13.1;A
2010;215122;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8.1;A
2010;215122;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5.0;A
2010;215122;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8.0;A
2010;215122;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5.0;A
2010;215122;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3.0;A
2010;215122;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2.0;A
2010;215122;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2.0;A
2010;215122;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;0.0;A
2010;215124;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7429.628450492;A
2010;215124;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2054.080519725;A
2010;215124;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5375.547930767;A
2010;215124;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3361.305484567;A
2010;215124;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;920.098057286;A
2010;215124;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2441.207427281;A
2010;215124;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2698.176911596;A
2010;215124;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;714.625588034;A
2010;215124;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1983.551323562;A
2010;215124;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1370.146054329;A
2010;215124;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;419.356874405;A
2010;215124;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;950.789179924;A
2011;215125;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;25433.799084905;A
2011;215125;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10287.916511994;A
2011;215125;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;15145.882572911;A
2011;215125;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;14609.346896293;A
2011;215125;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5600.632634922;A
2011;215125;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9008.714261371;A
2011;215125;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7406.515658756;A
2011;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3080.788415668;A
2011;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4325.727243088;A
2011;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3417.936529856;A
2011;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1606.495461404;A
