TEMPORAL;CNAE09;TIPO_PERSONAL;SEXO;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;ESTUDIOS;INDICATOR;OBS_VALUE;FREQ
2009;217310;215155;M;ES61;215124;213227;_Z;PERSONAS;53.921774212;A
2009;217310;215155;F;ES61;215124;213227;_Z;PERSONAS;13.008467746;A
2009;217310;215156;_T;ES61;215124;213227;_Z;PERSONAS;90.22056455;A
2009;217310;215156;M;ES61;215124;213227;_Z;PERSONAS;77.212096803;A
2009;217310;215156;F;ES61;215124;213227;_Z;PERSONAS;13.008467747;A
2009;217310;215157;_T;ES61;215124;213227;_Z;PERSONAS;21.29879033;A
2009;217310;215157;M;ES61;215124;213227;_Z;PERSONAS;20.202016136;A
2009;217310;215157;F;ES61;215124;213227;_Z;PERSONAS;1.096774194;A
2009;217311;215154;_T;ES61;215124;213227;_Z;PERSONAS;170.988770834;A
2009;217311;215154;M;ES61;215124;213227;_Z;PERSONAS;132.628441068;A
2009;217311;215154;F;ES61;215124;213227;_Z;PERSONAS;38.360329766;A
2009;217311;215155;_T;ES61;215124;213227;_Z;PERSONAS;99.185706594;A
2009;217311;215155;M;ES61;215124;213227;_Z;PERSONAS;77.473175169;A
2009;217311;215155;F;ES61;215124;213227;_Z;PERSONAS;21.712531425;A
2009;217311;215156;_T;ES61;215124;213227;_Z;PERSONAS;58.303355905;A
2009;217311;215156;M;ES61;215124;213227;_Z;PERSONAS;43.778006544;A
2009;217311;215156;F;ES61;215124;213227;_Z;PERSONAS;14.525349361;A
2009;217311;215157;_T;ES61;215124;213227;_Z;PERSONAS;13.499708335;A
2009;217311;215157;M;ES61;215124;213227;_Z;PERSONAS;11.377259355;A
2009;217311;215157;F;ES61;215124;213227;_Z;PERSONAS;2.12244898;A
2009;217312;215154;_T;ES61;215124;213227;_Z;PERSONAS;198.263705393;A
2009;217312;215154;M;ES61;215124;213227;_Z;PERSONAS;174.643447113;A
2009;217312;215154;F;ES61;215124;213227;_Z;PERSONAS;23.62025828;A
2009;217312;215155;_T;ES61;215124;213227;_Z;PERSONAS;54.492489998;A
