D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55107;516716;2017;Viajeros;385.98129978;A
40123;55107;516716;2016;Viajeros;260.2;A
40123;55107;516716;2015;Viajeros;126.0;A
40123;55107;516716;2014;Viajeros;161.0;A
40123;55107;516717;2020;Viajeros;-;A
40123;55107;516717;2019;Viajeros;26.133333333;A
40123;55107;516717;2018;Viajeros;16.2;A
40123;55107;516717;2017;Viajeros;47.552571373;A
40123;55107;516717;2016;Viajeros;43.266666667;A
40123;55107;516718;2020;Viajeros;180.029166667;A
40123;55107;516718;2019;Viajeros;640.275;A
40123;55107;516718;2018;Viajeros;361.46666667;A
40123;55107;516718;2017;Viajeros;136.82207887;A
40123;55107;516718;2016;Viajeros;127.00833333;A
40123;55107;516718;2015;Viajeros;130.93333333;A
40123;55107;516718;2014;Viajeros;95.8125;A
40123;55107;516719;2019;Viajeros;-;A
40123;55107;516719;2018;Viajeros;14.0;A
40123;55107;516719;2017;Viajeros;18.624043276;A
40123;55107;516719;2015;Viajeros;-;A
40123;55107;516719;2014;Viajeros;-;A
40123;55107;516720;2020;Viajeros;14.285714286;A
40123;55107;516720;2019;Viajeros;179.679166667;A
40123;55107;516720;2018;Viajeros;50.666666667;A
40123;55107;516720;2017;Viajeros;24.545520517;A
40123;55107;516720;2016;Viajeros;26.6;A
40123;55107;516720;2015;Viajeros;42.4;A
40123;55107;516720;2014;Viajeros;20.4;A
40123;55107;516721;2019;Viajeros;47.333333333;A
40123;55107;516721;2018;Viajeros;14.466666667;A
40123;55107;516721;2017;Viajeros;31.197697337;A
40123;55107;516721;2016;Viajeros;-;A
40123;55107;516721;2015;Viajeros;-;A
40123;55107;516721;2014;Viajeros;15.8125;A
40123;55107;516722;2020;Viajeros;17.914285714;A
40123;55107;516722;2019;Viajeros;170.4;A
40123;55107;516722;2018;Viajeros;217.02142857;A
40123;55107;516722;2017;Viajeros;225.4752256;A
40123;55107;516722;2016;Viajeros;81.6;A
40123;55107;516722;2015;Viajeros;146.6;A
40123;55107;516722;2014;Viajeros;75.083333333;A
40123;55107;516724;2020;Viajeros;10.333333333;A
40123;55107;516724;2019;Viajeros;32.279166667;A
40123;55107;516724;2018;Viajeros;85.277380952;A
40123;55107;516724;2017;Viajeros;33.341274299;A
40123;55107;516724;2016;Viajeros;-;A
40123;55107;516724;2015;Viajeros;20.466666667;A
40123;55107;516724;2014;Viajeros;12.266666667;A
40123;55107;516725;2020;Viajeros;90.133333333;A
40123;55107;516725;2019;Viajeros;261.5;A
40123;55107;516725;2018;Viajeros;130.4952381;A
40123;55107;516725;2017;Viajeros;120.71625011;A
40123;55107;516725;2016;Viajeros;22.333333333;A
