D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;516707;2018;2713;Viajeros;893.05285361;A
40123;516707;2018;2797;Viajeros;58.813983051;A
40123;516707;2018;2911;Viajeros;10.593132154;A
40123;516707;2018;3023;Viajeros;22745.715086;A
40123;516707;2018;3142;Viajeros;961.72166277;A
40123;516707;2017;3143;Viajeros;26592.662602885;A
40123;516707;2017;2352;Viajeros;486.84050814;A
40123;516707;2017;2402;Viajeros;674.00268297;A
40123;516707;2017;2482;Viajeros;313.62829385;A
40123;516707;2017;2713;Viajeros;790.67620461;A
40123;516707;2017;2797;Viajeros;17.0;A
40123;516707;2017;2911;Viajeros;22.158814815;A
40123;516707;2017;3023;Viajeros;23156.434219;A
40123;516707;2017;3142;Viajeros;1131.9218795;A
40123;516707;2016;3143;Viajeros;20770.427528302;A
40123;516707;2016;2352;Viajeros;261.75843276;A
40123;516707;2016;2402;Viajeros;223.12940615;A
40123;516707;2016;2482;Viajeros;307.56080791;A
40123;516707;2016;2713;Viajeros;884.18550919;A
40123;516707;2016;2797;Viajeros;32.567254287;A
40123;516707;2016;2911;Viajeros;38.155175725;A
40123;516707;2016;3023;Viajeros;18311.591245;A
40123;516707;2016;3142;Viajeros;711.47969728;A
40123;516707;2015;3143;Viajeros;17478.192381632;A
40123;516707;2015;2352;Viajeros;257.27292663;A
40123;516707;2015;2402;Viajeros;210.22154217;A
40123;516707;2015;2482;Viajeros;177.64390199;A
40123;516707;2015;2713;Viajeros;837.44627398;A
40123;516707;2015;2797;Viajeros;41.510344828;A
40123;516707;2015;2911;Viajeros;25.620125784;A
40123;516707;2015;3023;Viajeros;15515.235454;A
40123;516707;2015;3142;Viajeros;413.24181225;A
40123;516707;2014;3143;Viajeros;15899.877723729;A
40123;516707;2014;2352;Viajeros;520.175;A
40123;516707;2014;2402;Viajeros;340.82090349;A
40123;516707;2014;2482;Viajeros;86.109050351;A
40123;516707;2014;2713;Viajeros;623.37534977;A
40123;516707;2014;2797;Viajeros;71.664342089;A
40123;516707;2014;2911;Viajeros;21.957709329;A
40123;516707;2014;3023;Viajeros;13698.102969;A
40123;516707;2014;3142;Viajeros;537.6723997;A
40123;516708;2020;3143;Viajeros;6137.256242312;A
40123;516708;2020;2352;Viajeros;33.194790845;A
40123;516708;2020;2402;Viajeros;62.926619387;A
40123;516708;2020;2482;Viajeros;-;A
40123;516708;2020;2713;Viajeros;163.349482359;A
40123;516708;2020;2797;Viajeros;42.0;A
40123;516708;2020;2911;Viajeros;11.80545519;A
40123;516708;2020;3023;Viajeros;5676.139817165;A
40123;516708;2020;3142;Viajeros;141.743410699;A
40123;516708;2019;3143;Viajeros;34806.190056549;A
40123;516708;2019;2352;Viajeros;130.857487524;A
40123;516708;2019;2402;Viajeros;647.570457855;A
40123;516708;2019;2482;Viajeros;93.744939046;A
40123;516708;2019;2713;Viajeros;414.202980762;A
40123;516708;2019;2797;Viajeros;22.60950487;A
40123;516708;2019;2911;Viajeros;;A
40123;516708;2019;3023;Viajeros;32869.125510179;A
40123;516708;2019;3142;Viajeros;628.079176313;A
40123;516708;2018;3143;Viajeros;34613.307388332;A
40123;516708;2018;2352;Viajeros;90.912553719;A
40123;516708;2018;2402;Viajeros;566.78652684;A
40123;516708;2018;2482;Viajeros;168.46434711;A
40123;516708;2018;2713;Viajeros;444.89708443;A
40123;516708;2018;2797;Viajeros;124.09655938;A
40123;516708;2018;2911;Viajeros;-;A
40123;516708;2018;3023;Viajeros;32652.793845;A
40123;516708;2018;3142;Viajeros;561.22313852;A
40123;516708;2017;3143;Viajeros;35881.730674409;A
40123;516708;2017;2352;Viajeros;136.90195783;A
40123;516708;2017;2402;Viajeros;464.19818141;A
40123;516708;2017;2482;Viajeros;121.40563123;A
40123;516708;2017;2713;Viajeros;215.68318114;A
40123;516708;2017;2797;Viajeros;39.940911649;A
40123;516708;2017;2911;Viajeros;;A
40123;516708;2017;3023;Viajeros;34354.529471;A
40123;516708;2017;3142;Viajeros;549.07134015;A
40123;516708;2016;3143;Viajeros;32981.636956513;A
40123;516708;2016;2352;Viajeros;126.0332793;A
40123;516708;2016;2402;Viajeros;738.86594908;A
40123;516708;2016;2482;Viajeros;170.56349573;A
40123;516708;2016;2713;Viajeros;334.70767603;A
40123;516708;2016;2797;Viajeros;53.636424283;A
40123;516708;2016;2911;Viajeros;24.20407184;A
40123;516708;2016;3023;Viajeros;30977.875584;A
40123;516708;2016;3142;Viajeros;555.75047625;A
40123;516708;2015;3143;Viajeros;31543.34683103;A
40123;516708;2015;2352;Viajeros;56.764108911;A
40123;516708;2015;2402;Viajeros;226.15415694;A
40123;516708;2015;2482;Viajeros;41.639522522;A
40123;516708;2015;2713;Viajeros;533.87348196;A
40123;516708;2015;2797;Viajeros;45.847762796;A
40123;516708;2015;2911;Viajeros;37.856658931;A
40123;516708;2015;3023;Viajeros;30329.665077;A
40123;516708;2015;3142;Viajeros;271.54606197;A
40123;516708;2014;3143;Viajeros;29305.17968163;A
40123;516708;2014;2352;Viajeros;710.60690731;A
40123;516708;2014;2402;Viajeros;259.2215263;A
40123;516708;2014;2482;Viajeros;16.0;A
40123;516708;2014;2713;Viajeros;387.39593867;A
40123;516708;2014;2797;Viajeros;102.94985994;A
40123;516708;2014;2911;Viajeros;-;A
40123;516708;2014;3023;Viajeros;27209.073058;A
40123;516708;2014;3142;Viajeros;615.93239141;A
40123;55568;2020;3143;Viajeros;31635.803400584;A
40123;55568;2020;2352;Viajeros;1271.001046566;A
40123;55568;2020;2402;Viajeros;979.75912303;A
40123;55568;2020;2482;Viajeros;1170.043969718;A
40123;55568;2020;2713;Viajeros;2651.498585709;A
40123;55568;2020;2797;Viajeros;195.064452694;A
40123;55568;2020;2911;Viajeros;112.61092011;A
