D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2352;55548;2014;Viajeros;187.25;A
40123;2352;55548;2015;Viajeros;208.3552608;A
40123;2352;55548;2016;Viajeros;293.53644765;A
40123;2352;55548;2017;Viajeros;477.63041078;A
40123;2352;55548;2018;Viajeros;688.2938564;A
40123;2352;55548;2019;Viajeros;595.533327625;A
40123;2352;55548;2020;Viajeros;278.780564476;A
40123;2352;55549;2014;Viajeros;3345.9265996;A
40123;2352;55549;2015;Viajeros;2402.0341666;A
40123;2352;55549;2016;Viajeros;3165.8532279;A
40123;2352;55549;2017;Viajeros;4332.058343;A
40123;2352;55549;2018;Viajeros;4794.4148106;A
40123;2352;55549;2019;Viajeros;4954.676243945;A
40123;2352;55549;2020;Viajeros;2032.352367826;A
40123;2352;55550;2014;Viajeros;4437.7344351;A
40123;2352;55550;2015;Viajeros;5416.904849;A
40123;2352;55550;2016;Viajeros;4528.8589022;A
40123;2352;55550;2017;Viajeros;6727.299425;A
40123;2352;55550;2018;Viajeros;7153.4855558;A
40123;2352;55550;2019;Viajeros;9282.055813067;A
40123;2352;55550;2020;Viajeros;3268.700933588;A
40123;2352;55551;2014;Viajeros;4072.8103757;A
40123;2352;55551;2015;Viajeros;5705.0928258;A
40123;2352;55551;2016;Viajeros;7838.9000877;A
40123;2352;55551;2017;Viajeros;7006.1680244;A
40123;2352;55551;2018;Viajeros;8110.6372448;A
40123;2352;55551;2019;Viajeros;8421.602107268;A
40123;2352;55551;2020;Viajeros;3285.157199412;A
40123;2352;55552;2014;Viajeros;8266.4943487;A
40123;2352;55552;2015;Viajeros;10594.929032;A
40123;2352;55552;2016;Viajeros;11492.00719;A
40123;2352;55552;2017;Viajeros;14040.643329;A
40123;2352;55552;2018;Viajeros;12862.206449;A
40123;2352;55552;2019;Viajeros;14140.466189131;A
40123;2352;55552;2020;Viajeros;5623.731210884;A
40123;2352;55553;2014;Viajeros;439.75434974;A
40123;2352;55553;2015;Viajeros;817.56172418;A
40123;2352;55553;2016;Viajeros;1957.8855507;A
40123;2352;55553;2017;Viajeros;1317.8832502;A
40123;2352;55553;2018;Viajeros;1478.4813096;A
40123;2352;55553;2019;Viajeros;1831.01253815;A
40123;2352;55553;2020;Viajeros;893.157682717;A
40123;2352;55554;2014;Viajeros;610.611709;A
40123;2352;55554;2015;Viajeros;703.69551741;A
40123;2352;55554;2016;Viajeros;1347.4272418;A
40123;2352;55554;2017;Viajeros;1135.7761494;A
40123;2352;55554;2018;Viajeros;1211.887829;A
40123;2352;55554;2019;Viajeros;1221.663736487;A
40123;2352;55554;2020;Viajeros;365.320871694;A
40123;2352;55555;2014;Viajeros;30559.072091;A
40123;2352;55555;2015;Viajeros;35645.716717;A
40123;2352;55555;2016;Viajeros;28632.755312;A
40123;2352;55555;2017;Viajeros;35442.777568;A
40123;2352;55555;2018;Viajeros;30640.178704;A
40123;2352;55555;2019;Viajeros;37114.418929271;A
40123;2352;55555;2020;Viajeros;18021.535053238;A
40123;2352;55556;2014;Viajeros;8431.4366843;A
40123;2352;55556;2015;Viajeros;11093.245562;A
40123;2352;55556;2016;Viajeros;10483.416373;A
40123;2352;55556;2017;Viajeros;13916.729273;A
40123;2352;55556;2018;Viajeros;13534.681578;A
40123;2352;55556;2019;Viajeros;15096.645951968;A
40123;2352;55556;2020;Viajeros;7561.075058833;A
40123;2352;55557;2014;Viajeros;381.80878194;A
40123;2352;55557;2015;Viajeros;589.80582649;A
40123;2352;55557;2016;Viajeros;620.95364345;A
40123;2352;55557;2017;Viajeros;658.56819848;A
40123;2352;55557;2018;Viajeros;1216.0002515;A
40123;2352;55557;2019;Viajeros;1032.362625277;A
40123;2352;55557;2020;Viajeros;494.15125622;A
40123;2352;55558;2014;Viajeros;849.52686273;A
40123;2352;55558;2015;Viajeros;1711.45441;A
40123;2352;55558;2016;Viajeros;1865.8444082;A
40123;2352;55558;2017;Viajeros;2729.9408174;A
40123;2352;55558;2018;Viajeros;3100.4981317;A
40123;2352;55558;2019;Viajeros;3603.501671946;A
40123;2352;55558;2020;Viajeros;1449.22151605;A
40123;2352;55559;2014;Viajeros;261.78333333;A
40123;2352;55559;2015;Viajeros;233.36665403;A
40123;2352;55559;2016;Viajeros;282.14580103;A
40123;2352;55559;2017;Viajeros;245.14657318;A
40123;2352;55559;2018;Viajeros;222.87361111;A
40123;2352;55559;2019;Viajeros;434.492180766;A
40123;2352;55559;2020;Viajeros;152.404962039;A
40123;2352;55544;2014;Viajeros;889.71673881;A
40123;2352;55544;2015;Viajeros;2059.9933491;A
40123;2352;55544;2016;Viajeros;1223.9333525;A
40123;2352;55544;2017;Viajeros;784.18144824;A
40123;2352;55544;2018;Viajeros;1242.8341502;A
40123;2352;55544;2019;Viajeros;1394.341798079;A
40123;2352;55544;2020;Viajeros;708.789309989;A
40123;2352;55561;2014;Viajeros;57.525;A
40123;2352;55561;2015;Viajeros;52.186832205;A
40123;2352;55561;2016;Viajeros;133.15306682;A
40123;2352;55561;2017;Viajeros;102.02910569;A
40123;2352;55561;2018;Viajeros;99.769452899;A
40123;2352;55561;2019;Viajeros;157.588738424;A
40123;2352;55561;2020;Viajeros;33.670010965;A
40123;2352;55562;2014;Viajeros;129.63163039;A
40123;2352;55562;2015;Viajeros;239.70317136;A
40123;2352;55562;2016;Viajeros;179.77014157;A
40123;2352;55562;2017;Viajeros;179.34049707;A
40123;2352;55562;2018;Viajeros;200.17285575;A
40123;2352;55562;2019;Viajeros;323.011941597;A
40123;2352;55562;2020;Viajeros;270.596200284;A
40123;2402;55564;2014;Viajeros;80942.60879773;A
40123;2402;55564;2015;Viajeros;81110.47038909;A
40123;2402;55564;2016;Viajeros;89890.889628882;A
40123;2402;55564;2017;Viajeros;100845.48170529;A
40123;2402;55564;2018;Viajeros;110468.516318538;A
40123;2402;55564;2019;Viajeros;120739.97646934;A
40123;2402;55564;2020;Viajeros;74957.775195725;A
40123;2402;55543;2014;Viajeros;44355.515702;A
40123;2402;55543;2015;Viajeros;44806.996105;A
40123;2402;55543;2016;Viajeros;52623.718046;A
40123;2402;55543;2017;Viajeros;62849.807305;A
40123;2402;55543;2018;Viajeros;63847.148906;A
40123;2402;55543;2019;Viajeros;72212.521858133;A
40123;2402;55543;2020;Viajeros;48496.784372383;A
40123;2402;55563;2014;Viajeros;36587.09309573;A
40123;2402;55563;2015;Viajeros;36303.47428409;A
40123;2402;55563;2016;Viajeros;37267.171582882;A
40123;2402;55563;2017;Viajeros;37995.67440029;A
40123;2402;55563;2018;Viajeros;46621.367412538;A
40123;2402;55563;2019;Viajeros;48527.454611207;A
40123;2402;55563;2020;Viajeros;26460.990823342;A
40123;2402;55545;2014;Viajeros;868.97080683;A
40123;2402;55545;2015;Viajeros;1269.0770631;A
40123;2402;55545;2016;Viajeros;1042.6664774;A
40123;2402;55545;2017;Viajeros;1179.7432339;A
40123;2402;55545;2018;Viajeros;1061.6140749;A
40123;2402;55545;2019;Viajeros;1153.148826299;A
40123;2402;55545;2020;Viajeros;438.898988555;A
40123;2402;55546;2014;Viajeros;318.28532743;A
40123;2402;55546;2015;Viajeros;586.30667939;A
40123;2402;55546;2016;Viajeros;320.03434202;A
40123;2402;55546;2017;Viajeros;217.28435032;A
40123;2402;55546;2018;Viajeros;462.31260518;A
40123;2402;55546;2019;Viajeros;491.630048527;A
40123;2402;55546;2020;Viajeros;839.044134809;A
40123;2402;55547;2014;Viajeros;523.74364724;A
40123;2402;55547;2015;Viajeros;898.02150742;A
40123;2402;55547;2016;Viajeros;696.83247296;A
40123;2402;55547;2017;Viajeros;578.44420106;A
40123;2402;55547;2018;Viajeros;1418.5210848;A
40123;2402;55547;2019;Viajeros;761.182432366;A
40123;2402;55547;2020;Viajeros;312.357460693;A
40123;2402;55548;2014;Viajeros;910.60083718;A
40123;2402;55548;2015;Viajeros;529.45610327;A
40123;2402;55548;2016;Viajeros;686.45200783;A
40123;2402;55548;2017;Viajeros;506.97600253;A
40123;2402;55548;2018;Viajeros;692.4008472;A
40123;2402;55548;2019;Viajeros;574.023714846;A
40123;2402;55548;2020;Viajeros;400.454161666;A
40123;2402;55549;2014;Viajeros;3106.7023373;A
40123;2402;55549;2015;Viajeros;2309.1517881;A
40123;2402;55549;2016;Viajeros;2648.7098035;A
40123;2402;55549;2017;Viajeros;2510.0189712;A
40123;2402;55549;2018;Viajeros;3466.9538136;A
40123;2402;55549;2019;Viajeros;3164.495784614;A
40123;2402;55549;2020;Viajeros;1436.165766771;A
40123;2402;55550;2014;Viajeros;1934.4413394;A
40123;2402;55550;2015;Viajeros;1711.0351293;A
40123;2402;55550;2016;Viajeros;2165.8600752;A
40123;2402;55550;2017;Viajeros;2277.608848;A
40123;2402;55550;2018;Viajeros;2427.043899;A
40123;2402;55550;2019;Viajeros;2625.713366445;A
40123;2402;55550;2020;Viajeros;1742.779912068;A
40123;2402;55551;2014;Viajeros;1970.1228266;A
40123;2402;55551;2015;Viajeros;4052.2264495;A
40123;2402;55551;2016;Viajeros;3681.5884493;A
40123;2402;55551;2017;Viajeros;3039.4048938;A
40123;2402;55551;2018;Viajeros;4724.6360089;A
40123;2402;55551;2019;Viajeros;4757.685138227;A
40123;2402;55551;2020;Viajeros;2519.842265099;A
40123;2402;55552;2014;Viajeros;1744.7644658;A
40123;2402;55552;2015;Viajeros;1875.2783915;A
40123;2402;55552;2016;Viajeros;1727.6650508;A
40123;2402;55552;2017;Viajeros;1856.5995252;A
40123;2402;55552;2018;Viajeros;2408.2446092;A
40123;2402;55552;2019;Viajeros;2431.04989887;A
40123;2402;55552;2020;Viajeros;1166.591438796;A
40123;2402;55553;2014;Viajeros;3724.9441697;A
40123;2402;55553;2015;Viajeros;4424.7872045;A
40123;2402;55553;2016;Viajeros;4466.5672031;A
40123;2402;55553;2017;Viajeros;4333.9829091;A
40123;2402;55553;2018;Viajeros;5165.6023013;A
40123;2402;55553;2019;Viajeros;5015.031981707;A
40123;2402;55553;2020;Viajeros;2620.642834845;A
40123;2402;55554;2014;Viajeros;1178.8415263;A
40123;2402;55554;2015;Viajeros;1206.157612;A
40123;2402;55554;2016;Viajeros;1085.7232468;A
40123;2402;55554;2017;Viajeros;1305.8922234;A
40123;2402;55554;2018;Viajeros;1221.1387604;A
40123;2402;55554;2019;Viajeros;1420.689733956;A
40123;2402;55554;2020;Viajeros;645.875365458;A
40123;2402;55555;2014;Viajeros;15409.902333;A
40123;2402;55555;2015;Viajeros;12285.595825;A
40123;2402;55555;2016;Viajeros;12744.919821;A
40123;2402;55555;2017;Viajeros;14249.766613;A
40123;2402;55555;2018;Viajeros;16866.817365;A
40123;2402;55555;2019;Viajeros;18669.008337942;A
40123;2402;55555;2020;Viajeros;10185.95662728;A
40123;2402;55556;2014;Viajeros;651.87705026;A
40123;2402;55556;2015;Viajeros;857.38988062;A
40123;2402;55556;2016;Viajeros;1182.0076158;A
40123;2402;55556;2017;Viajeros;874.40306503;A
40123;2402;55556;2018;Viajeros;923.31361572;A
40123;2402;55556;2019;Viajeros;1295.453289278;A
40123;2402;55556;2020;Viajeros;571.10956173;A
40123;2402;55557;2014;Viajeros;408.88386452;A
40123;2402;55557;2015;Viajeros;453.32654341;A
40123;2402;55557;2016;Viajeros;368.0874594;A
40123;2402;55557;2017;Viajeros;581.44579113;A
40123;2402;55557;2018;Viajeros;571.6960049;A
40123;2402;55557;2019;Viajeros;1144.222607131;A
