D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2797;2016;Personal medio no remunerado;5.213947158;A
40123;2797;2015;Personal medio no remunerado;2.791712417;A
40123;2797;2014;Personal medio no remunerado;4.083333333;A
40123;2911;2020;Personal medio no remunerado;55.101407617;A
40123;2911;2019;Personal medio no remunerado;77.587357792;A
40123;2911;2018;Personal medio no remunerado;71.485944734;A
40123;2911;2017;Personal medio no remunerado;66.775877623;A
40123;2911;2016;Personal medio no remunerado;66.783988723;A
40123;2911;2015;Personal medio no remunerado;60.403002953;A
40123;2911;2014;Personal medio no remunerado;46.696985247;A
40123;3023;2020;Personal medio no remunerado;107.172721974;A
40123;3023;2019;Personal medio no remunerado;169.279515919;A
40123;3023;2018;Personal medio no remunerado;166.90786016;A
40123;3023;2017;Personal medio no remunerado;182.86060975;A
40123;3023;2016;Personal medio no remunerado;168.66372895;A
40123;3023;2015;Personal medio no remunerado;143.46286713;A
40123;3023;2014;Personal medio no remunerado;131.77020378;A
40123;3142;2020;Personal medio no remunerado;40.349078632;A
40123;3142;2019;Personal medio no remunerado;36.261244273;A
40123;3142;2018;Personal medio no remunerado;25.775618272;A
40123;3142;2017;Personal medio no remunerado;18.573028845;A
40123;3142;2016;Personal medio no remunerado;32.538145668;A
40123;3142;2015;Personal medio no remunerado;43.597319604;A
40123;3142;2014;Personal medio no remunerado;37.940333881;A
40124;3143;2021;Personal medio no remunerado;558.041048434;A
40124;2352;2021;Personal medio no remunerado;37.379708542;A
40124;2402;2021;Personal medio no remunerado;51.641151486;A
40124;2482;2021;Personal medio no remunerado;20.352243021;A
40124;2713;2021;Personal medio no remunerado;99.242232165;A
40124;2797;2021;Personal medio no remunerado;4.061718551;A
40124;2911;2021;Personal medio no remunerado;65.215758994;A
40124;3023;2021;Personal medio no remunerado;219.983014434;A
40124;3142;2021;Personal medio no remunerado;60.165221241;A
40123;3143;2020;Personal medio remunerado fijo;1960.674632362;A
40123;3143;2019;Personal medio remunerado fijo;3035.941221976;A
40123;3143;2018;Personal medio remunerado fijo;2807.84513093;A
40123;3143;2017;Personal medio remunerado fijo;2840.044383407;A
40123;3143;2016;Personal medio remunerado fijo;2585.446897979;A
40123;3143;2015;Personal medio remunerado fijo;2468.377843614;A
40123;3143;2014;Personal medio remunerado fijo;2305.50080612;A
40123;2352;2020;Personal medio remunerado fijo;94.599259319;A
40123;2352;2019;Personal medio remunerado fijo;80.931534579;A
40123;2352;2018;Personal medio remunerado fijo;83.776295733;A
40123;2352;2017;Personal medio remunerado fijo;79.841683848;A
40123;2352;2016;Personal medio remunerado fijo;81.893396121;A
40123;2352;2015;Personal medio remunerado fijo;77.839739797;A
40123;2352;2014;Personal medio remunerado fijo;62.232771049;A
40123;2402;2020;Personal medio remunerado fijo;119.340929351;A
40123;2402;2019;Personal medio remunerado fijo;151.486611333;A
40123;2402;2018;Personal medio remunerado fijo;163.21500872;A
40123;2402;2017;Personal medio remunerado fijo;199.02360095;A
40123;2402;2016;Personal medio remunerado fijo;165.62769213;A
40123;2402;2015;Personal medio remunerado fijo;160.51408264;A
40123;2402;2014;Personal medio remunerado fijo;181.88934365;A
40123;2482;2020;Personal medio remunerado fijo;34.043368921;A
40123;2482;2019;Personal medio remunerado fijo;50.61982786;A
40123;2482;2018;Personal medio remunerado fijo;41.033080606;A
40123;2482;2017;Personal medio remunerado fijo;35.556243291;A
40123;2482;2016;Personal medio remunerado fijo;31.895769106;A
40123;2482;2015;Personal medio remunerado fijo;31.232354773;A
40123;2482;2014;Personal medio remunerado fijo;27.570379056;A
40123;2713;2020;Personal medio remunerado fijo;151.208780037;A
40123;2713;2019;Personal medio remunerado fijo;246.850668376;A
40123;2713;2018;Personal medio remunerado fijo;190.68760345;A
40123;2713;2017;Personal medio remunerado fijo;160.98905249;A
40123;2713;2016;Personal medio remunerado fijo;189.10435377;A
40123;2713;2015;Personal medio remunerado fijo;179.51737468;A
40123;2713;2014;Personal medio remunerado fijo;124.0910844;A
40123;2797;2020;Personal medio remunerado fijo;33.962970269;A
40123;2797;2019;Personal medio remunerado fijo;50.943120141;A
40123;2797;2018;Personal medio remunerado fijo;35.519967159;A
40123;2797;2017;Personal medio remunerado fijo;39.94249134;A
40123;2797;2016;Personal medio remunerado fijo;28.215241614;A
