D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_PARQUES_TURISMO_0;INDICATOR;OBS_VALUE;FREQ
40123;516710;2016;55537;Viajeros;466.93601021;A
40123;516710;2016;55538;Viajeros;323.69580852;A
40123;516710;2016;55539;Viajeros;47.333333333;A
40123;516710;2016;55540;Viajeros;91.863911565;A
40123;516710;2016;55541;Viajeros;67126.607227;A
40123;516710;2017;55537;Viajeros;541.21463098;A
40123;516710;2017;55538;Viajeros;835.58603023;A
40123;516710;2017;55539;Viajeros;184.4079932;A
40123;516710;2017;55540;Viajeros;83.151168239;A
40123;516710;2017;55541;Viajeros;77737.151551;A
40123;516710;2018;55537;Viajeros;821.67026116;A
40123;516710;2018;55538;Viajeros;608.87855384;A
40123;516710;2018;55539;Viajeros;108.2;A
40123;516710;2018;55540;Viajeros;101.09244539;A
40123;516710;2018;55541;Viajeros;72808.28464;A
40123;516710;2019;55537;Viajeros;1017.663859139;A
40123;516710;2019;55538;Viajeros;552.575139895;A
40123;516710;2019;55539;Viajeros;35.133333333;A
40123;516710;2019;55540;Viajeros;88.042177869;A
40123;516710;2019;55541;Viajeros;84643.068463945;A
40123;516710;2020;55537;Viajeros;254.171635895;A
40123;516710;2020;55538;Viajeros;30.868158284;A
40123;516710;2020;55539;Viajeros;-;A
40123;516710;2020;55540;Viajeros;23.857142857;A
40123;516710;2020;55541;Viajeros;5708.275849671;A
40123;516711;2014;55537;Viajeros;388.15006174;A
40123;516711;2014;55538;Viajeros;1514.7453488;A
40123;516711;2014;55539;Viajeros;81.183462532;A
40123;516711;2014;55540;Viajeros;120.61868044;A
40123;516711;2014;55541;Viajeros;14248.589248;A
40123;516711;2015;55537;Viajeros;552.00513145;A
40123;516711;2015;55538;Viajeros;2220.895189;A
40123;516711;2015;55539;Viajeros;128.0;A
40123;516711;2015;55540;Viajeros;194.70747416;A
40123;516711;2015;55541;Viajeros;13646.451113;A
40123;516711;2016;55537;Viajeros;739.60087886;A
40123;516711;2016;55538;Viajeros;2311.6061959;A
40123;516711;2016;55539;Viajeros;194.91829268;A
40123;516711;2016;55540;Viajeros;140.44284432;A
40123;516711;2016;55541;Viajeros;18300.040099;A
40123;516711;2017;55537;Viajeros;793.30696211;A
40123;516711;2017;55538;Viajeros;2452.200659;A
40123;516711;2017;55539;Viajeros;94.6;A
40123;516711;2017;55540;Viajeros;124.52441608;A
40123;516711;2017;55541;Viajeros;33252.324701;A
40123;516711;2018;55537;Viajeros;828.32108411;A
40123;516711;2018;55538;Viajeros;3183.5739432;A
40123;516711;2018;55539;Viajeros;167.93333333;A
40123;516711;2018;55540;Viajeros;206.43615765;A
40123;516711;2018;55541;Viajeros;24790.922757;A
40123;516711;2019;55537;Viajeros;1154.662070762;A
40123;516711;2019;55538;Viajeros;4772.186982116;A
40123;516711;2019;55539;Viajeros;112.751851852;A
40123;516711;2019;55540;Viajeros;239.393346226;A
40123;516711;2019;55541;Viajeros;36391.39859531;A
40123;516711;2020;55537;Viajeros;270.704966856;A
40123;516711;2020;55538;Viajeros;599.296308885;A
40123;516711;2020;55539;Viajeros;16.333333333;A
40123;516711;2020;55540;Viajeros;173.584153726;A
40123;516711;2020;55541;Viajeros;5333.264032312;A
40123;516712;2014;55537;Viajeros;-;A
40123;516712;2014;55538;Viajeros;10.0;A
40123;516712;2014;55539;Viajeros;;A
40123;516712;2014;55540;Viajeros;;A
40123;516712;2014;55541;Viajeros;372.40729583;A
40123;516712;2015;55537;Viajeros;-;A
40123;516712;2015;55538;Viajeros;11.625;A
40123;516712;2015;55539;Viajeros;;A
40123;516712;2015;55540;Viajeros;10.722844828;A
40123;516712;2015;55541;Viajeros;550.80279782;A
40123;516712;2016;55537;Viajeros;-;A
40123;516712;2016;55538;Viajeros;49.718849788;A
40123;516712;2016;55539;Viajeros;-;A
40123;516712;2016;55540;Viajeros;-;A
40123;516712;2016;55541;Viajeros;1033.6292588;A
40123;516712;2017;55537;Viajeros;20.330717489;A
40123;516712;2017;55538;Viajeros;47.772291298;A
40123;516712;2017;55539;Viajeros;65.479591837;A
40123;516712;2017;55540;Viajeros;24.567056205;A
40123;516712;2017;55541;Viajeros;1014.1951759;A
40123;516712;2018;55537;Viajeros;-;A
40123;516712;2018;55538;Viajeros;87.709306278;A
40123;516712;2018;55539;Viajeros;14.466666667;A
40123;516712;2018;55540;Viajeros;-;A
