D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_SEXO_0;D_MCVL_MONSALARIO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2018;2402;281594;3689;281486;281487;Asalariados (Personas);9800.0;A
2018;2402;281594;3690;281485;281487;Asalariados (Personas);6550.0;A
2018;2402;281594;3690;281486;281487;Asalariados (Personas);6550.0;A
2018;2402;281592;;281485;281487;Asalariados (Personas);1164550.0;A
2018;2402;281592;;281486;281487;Asalariados (Personas);1164550.0;A
2018;2402;281592;3689;281485;281487;Asalariados (Personas);321650.0;A
2018;2402;281592;3689;281486;281487;Asalariados (Personas);321650.0;A
2018;2402;281592;3690;281485;281487;Asalariados (Personas);260625.0;A
2018;2402;281592;3690;281486;281487;Asalariados (Personas);260625.0;A
2018;2482;281593;;281485;281487;Asalariados (Personas);794650.0;A
2018;2482;281593;;281486;281487;Asalariados (Personas);794650.0;A
2018;2482;281593;3689;281485;281487;Asalariados (Personas);210525.0;A
2018;2482;281593;3689;281486;281487;Asalariados (Personas);210525.0;A
2018;2482;281593;3690;281485;281487;Asalariados (Personas);186800.0;A
2018;2482;281593;3690;281486;281487;Asalariados (Personas);186800.0;A
2018;2482;281594;;281485;281487;Asalariados (Personas);32800.0;A
2018;2482;281594;;281486;281487;Asalariados (Personas);32800.0;A
2018;2482;281594;3689;281485;281487;Asalariados (Personas);9800.0;A
2018;2482;281594;3689;281486;281487;Asalariados (Personas);9800.0;A
2018;2482;281594;3690;281485;281487;Asalariados (Personas);6600.0;A
2018;2482;281594;3690;281486;281487;Asalariados (Personas);6600.0;A
2018;2482;281592;;281485;281487;Asalariados (Personas);827450.0;A
2018;2482;281592;;281486;281487;Asalariados (Personas);827450.0;A
2018;2482;281592;3689;281485;281487;Asalariados (Personas);220325.0;A
2018;2482;281592;3689;281486;281487;Asalariados (Personas);220325.0;A
2018;2482;281592;3690;281485;281487;Asalariados (Personas);193400.0;A
2018;2482;281592;3690;281486;281487;Asalariados (Personas);193400.0;A
2018;2713;281593;;281485;281487;Asalariados (Personas);758850.0;A
2018;2713;281593;;281486;281487;Asalariados (Personas);758850.0;A
2018;2713;281593;3689;281485;281487;Asalariados (Personas);197150.0;A
2018;2713;281593;3689;281486;281487;Asalariados (Personas);197150.0;A
2018;2713;281593;3690;281485;281487;Asalariados (Personas);182275.0;A
2018;2713;281593;3690;281486;281487;Asalariados (Personas);182275.0;A
2018;2713;281594;;281485;281487;Asalariados (Personas);63850.0;A
2018;2713;281594;;281486;281487;Asalariados (Personas);63850.0;A
2018;2713;281594;3689;281485;281487;Asalariados (Personas);19550.0;A
2018;2713;281594;3689;281486;281487;Asalariados (Personas);19550.0;A
2018;2713;281594;3690;281485;281487;Asalariados (Personas);12375.0;A
2018;2713;281594;3690;281486;281487;Asalariados (Personas);12375.0;A
2018;2713;281592;;281485;281487;Asalariados (Personas);822700.0;A
2018;2713;281592;;281486;281487;Asalariados (Personas);822700.0;A
2018;2713;281592;3689;281485;281487;Asalariados (Personas);216700.0;A
2018;2713;281592;3689;281486;281487;Asalariados (Personas);216700.0;A
2018;2713;281592;3690;281485;281487;Asalariados (Personas);194650.0;A
2018;2713;281592;3690;281486;281487;Asalariados (Personas);194650.0;A
2018;2797;281593;;281485;281487;Asalariados (Personas);477800.0;A
2018;2797;281593;;281486;281487;Asalariados (Personas);477800.0;A
2018;2797;281593;3689;281485;281487;Asalariados (Personas);127675.0;A
2018;2797;281593;3689;281486;281487;Asalariados (Personas);127675.0;A
2018;2797;281593;3690;281485;281487;Asalariados (Personas);111225.0;A
2018;2797;281593;3690;281486;281487;Asalariados (Personas);111225.0;A
2018;2797;281594;;281485;281487;Asalariados (Personas);126050.0;A
2018;2797;281594;;281486;281487;Asalariados (Personas);126050.0;A
2018;2797;281594;3689;281485;281487;Asalariados (Personas);20950.0;A
2018;2797;281594;3689;281486;281487;Asalariados (Personas);20950.0;A
2018;2797;281594;3690;281485;281487;Asalariados (Personas);42075.0;A
2018;2797;281594;3690;281486;281487;Asalariados (Personas);42075.0;A
2018;2797;281592;;281485;281487;Asalariados (Personas);603850.0;A
2018;2797;281592;;281486;281487;Asalariados (Personas);603850.0;A
2018;2797;281592;3689;281485;281487;Asalariados (Personas);148625.0;A
2018;2797;281592;3689;281486;281487;Asalariados (Personas);148625.0;A
2018;2797;281592;3690;281485;281487;Asalariados (Personas);153300.0;A
2018;2797;281592;3690;281486;281487;Asalariados (Personas);153300.0;A
2018;2911;281593;;281485;281487;Asalariados (Personas);565000.0;A
2018;2911;281593;;281486;281487;Asalariados (Personas);565000.0;A
2018;2911;281593;3689;281485;281487;Asalariados (Personas);154900.0;A
2018;2911;281593;3689;281486;281487;Asalariados (Personas);154900.0;A
2018;2911;281593;3690;281485;281487;Asalariados (Personas);127600.0;A
2018;2911;281593;3690;281486;281487;Asalariados (Personas);127600.0;A
2018;2911;281594;;281485;281487;Asalariados (Personas);19900.0;A
2018;2911;281594;;281486;281487;Asalariados (Personas);19900.0;A
2018;2911;281594;3689;281485;281487;Asalariados (Personas);7150.0;A
2018;2911;281594;3689;281486;281487;Asalariados (Personas);7150.0;A
2018;2911;281594;3690;281485;281487;Asalariados (Personas);2800.0;A
2018;2911;281594;3690;281486;281487;Asalariados (Personas);2800.0;A
2018;2911;281592;;281485;281487;Asalariados (Personas);584900.0;A
2018;2911;281592;;281486;281487;Asalariados (Personas);584900.0;A
2018;2911;281592;3689;281485;281487;Asalariados (Personas);162050.0;A
2018;2911;281592;3689;281486;281487;Asalariados (Personas);162050.0;A
2018;2911;281592;3690;281485;281487;Asalariados (Personas);130400.0;A
2018;2911;281592;3690;281486;281487;Asalariados (Personas);130400.0;A
2018;3023;281593;;281485;281487;Asalariados (Personas);1519200.0;A
2018;3023;281593;;281486;281487;Asalariados (Personas);1519200.0;A
2018;3023;281593;3689;281485;281487;Asalariados (Personas);396225.0;A
2018;3023;281593;3689;281486;281487;Asalariados (Personas);396225.0;A
2018;3023;281593;3690;281485;281487;Asalariados (Personas);363375.0;A
2018;3023;281593;3690;281486;281487;Asalariados (Personas);363375.0;A
2018;3023;281594;;281485;281487;Asalariados (Personas);192800.0;A
2018;3023;281594;;281486;281487;Asalariados (Personas);192800.0;A
2018;3023;281594;3689;281485;281487;Asalariados (Personas);51325.0;A
2018;3023;281594;3689;281486;281487;Asalariados (Personas);51325.0;A
2018;3023;281594;3690;281485;281487;Asalariados (Personas);45075.0;A
2018;3023;281594;3690;281486;281487;Asalariados (Personas);45075.0;A
2018;3023;281592;;281485;281487;Asalariados (Personas);1712000.0;A
2018;3023;281592;;281486;281487;Asalariados (Personas);1712000.0;A
2018;3023;281592;3689;281485;281487;Asalariados (Personas);447550.0;A
2018;3023;281592;3689;281486;281487;Asalariados (Personas);447550.0;A
2018;3023;281592;3690;281485;281487;Asalariados (Personas);408450.0;A
2018;3023;281592;3690;281486;281487;Asalariados (Personas);408450.0;A
2018;3142;281593;;281485;281487;Asalariados (Personas);1953500.0;A
2018;3142;281593;;281486;281487;Asalariados (Personas);1953500.0;A
2018;3142;281593;3689;281485;281487;Asalariados (Personas);518375.0;A
2018;3142;281593;3689;281486;281487;Asalariados (Personas);518375.0;A
2018;3142;281593;3690;281485;281487;Asalariados (Personas);458375.0;A
2018;3142;281593;3690;281486;281487;Asalariados (Personas);458375.0;A
2018;3142;281594;;281485;281487;Asalariados (Personas);90750.0;A
2018;3142;281594;;281486;281487;Asalariados (Personas);90750.0;A
2018;3142;281594;3689;281485;281487;Asalariados (Personas);26950.0;A
2018;3142;281594;3689;281486;281487;Asalariados (Personas);26950.0;A
2018;3142;281594;3690;281485;281487;Asalariados (Personas);18425.0;A
2018;3142;281594;3690;281486;281487;Asalariados (Personas);18425.0;A
2018;3142;281592;;281485;281487;Asalariados (Personas);2044250.0;A
2018;3142;281592;;281486;281487;Asalariados (Personas);2044250.0;A
2018;3142;281592;3689;281485;281487;Asalariados (Personas);545325.0;A
2018;3142;281592;3689;281486;281487;Asalariados (Personas);545325.0;A
2018;3142;281592;3690;281485;281487;Asalariados (Personas);476800.0;A
2018;3142;281592;3690;281486;281487;Asalariados (Personas);476800.0;A
2018;3143;281593;;281485;281487;Asalariados (Personas);5744350.0;A
2018;3143;281593;;281486;281487;Asalariados (Personas);5744350.0;A
2018;3143;281593;3689;281485;281487;Asalariados (Personas);1536950.0;A
2018;3143;281593;3689;281486;281487;Asalariados (Personas);1536950.0;A
2018;3143;281593;3690;281485;281487;Asalariados (Personas);1335225.0;A
2018;3143;281593;3690;281486;281487;Asalariados (Personas);1335225.0;A
2018;3143;281594;;281485;281487;Asalariados (Personas);578750.0;A
2018;3143;281594;;281486;281487;Asalariados (Personas);578750.0;A
2018;3143;281594;3689;281485;281487;Asalariados (Personas);157450.0;A
2018;3143;281594;3689;281486;281487;Asalariados (Personas);157450.0;A
2018;3143;281594;3690;281485;281487;Asalariados (Personas);131925.0;A
2018;3143;281594;3690;281486;281487;Asalariados (Personas);131925.0;A
2018;3143;281592;;281485;281487;Asalariados (Personas);6323100.0;A
2018;3143;281592;;281486;281487;Asalariados (Personas);6323100.0;A
2018;3143;281592;3689;281485;281487;Asalariados (Personas);1694400.0;A
2018;3143;281592;3689;281486;281487;Asalariados (Personas);1694400.0;A
2018;3143;281592;3690;281485;281487;Asalariados (Personas);1467150.0;A
2018;3143;281592;3690;281486;281487;Asalariados (Personas);1467150.0;A
2019;2352;281593;;281485;281487;Asalariados (Personas);553900.0;A
2019;2352;281593;;281486;281487;Asalariados (Personas);553900.0;A
2019;2352;281593;3689;281485;281487;Asalariados (Personas);139675.0;A
2019;2352;281593;3689;281486;281487;Asalariados (Personas);139675.0;A
2019;2352;281593;3690;281485;281487;Asalariados (Personas);137275.0;A
2019;2352;281593;3690;281486;281487;Asalariados (Personas);137275.0;A
2019;2352;281594;;281485;281487;Asalariados (Personas);170200.0;A
2019;2352;281594;;281486;281487;Asalariados (Personas);170200.0;A
2019;2352;281594;3689;281485;281487;Asalariados (Personas);55675.0;A
2019;2352;281594;3689;281486;281487;Asalariados (Personas);55675.0;A
2019;2352;281594;3690;281485;281487;Asalariados (Personas);29425.0;A
2019;2352;281594;3690;281486;281487;Asalariados (Personas);29425.0;A
2019;2352;281592;;281485;281487;Asalariados (Personas);724100.0;A
2019;2352;281592;;281486;281487;Asalariados (Personas);724100.0;A
2019;2352;281592;3689;281485;281487;Asalariados (Personas);195350.0;A
2019;2352;281592;3689;281486;281487;Asalariados (Personas);195350.0;A
2019;2352;281592;3690;281485;281487;Asalariados (Personas);166700.0;A
2019;2352;281592;3690;281486;281487;Asalariados (Personas);166700.0;A
2019;2402;281593;;281485;281487;Asalariados (Personas);1152650.0;A
2019;2402;281593;;281486;281487;Asalariados (Personas);1152650.0;A
2019;2402;281593;3689;281485;281487;Asalariados (Personas);314600.0;A
2019;2402;281593;3689;281486;281487;Asalariados (Personas);314600.0;A
2019;2402;281593;3690;281485;281487;Asalariados (Personas);261725.0;A
2019;2402;281593;3690;281486;281487;Asalariados (Personas);261725.0;A
2019;2402;281594;;281485;281487;Asalariados (Personas);36800.0;A
2019;2402;281594;;281486;281487;Asalariados (Personas);36800.0;A
2019;2402;281594;3689;281485;281487;Asalariados (Personas);10650.0;A
2019;2402;281594;3689;281486;281487;Asalariados (Personas);10650.0;A
2019;2402;281594;3690;281485;281487;Asalariados (Personas);7750.0;A
2019;2402;281594;3690;281486;281487;Asalariados (Personas);7750.0;A
2019;2402;281592;;281485;281487;Asalariados (Personas);1189450.0;A
2019;2402;281592;;281486;281487;Asalariados (Personas);1189450.0;A
2019;2402;281592;3689;281485;281487;Asalariados (Personas);325250.0;A
2019;2402;281592;3689;281486;281487;Asalariados (Personas);325250.0;A
2019;2402;281592;3690;281485;281487;Asalariados (Personas);269475.0;A
2019;2402;281592;3690;281486;281487;Asalariados (Personas);269475.0;A
2019;2482;281593;;281485;281487;Asalariados (Personas);807500.0;A
2019;2482;281593;;281486;281487;Asalariados (Personas);807500.0;A
2019;2482;281593;3689;281485;281487;Asalariados (Personas);213850.0;A
2019;2482;281593;3689;281486;281487;Asalariados (Personas);213850.0;A
2019;2482;281593;3690;281485;281487;Asalariados (Personas);189900.0;A
2019;2482;281593;3690;281486;281487;Asalariados (Personas);189900.0;A
2019;2482;281594;;281485;281487;Asalariados (Personas);33150.0;A
2019;2482;281594;;281486;281487;Asalariados (Personas);33150.0;A
2019;2482;281594;3689;281485;281487;Asalariados (Personas);9700.0;A
2019;2482;281594;3689;281486;281487;Asalariados (Personas);9700.0;A
2019;2482;281594;3690;281485;281487;Asalariados (Personas);6875.0;A
2019;2482;281594;3690;281486;281487;Asalariados (Personas);6875.0;A
2019;2482;281592;;281485;281487;Asalariados (Personas);840650.0;A
2019;2482;281592;;281486;281487;Asalariados (Personas);840650.0;A
2019;2482;281592;3689;281485;281487;Asalariados (Personas);223550.0;A
2019;2482;281592;3689;281486;281487;Asalariados (Personas);223550.0;A
2019;2482;281592;3690;281485;281487;Asalariados (Personas);196775.0;A
2019;2482;281592;3690;281486;281487;Asalariados (Personas);196775.0;A
2019;2713;281593;;281485;281487;Asalariados (Personas);768700.0;A
2019;2713;281593;;281486;281487;Asalariados (Personas);768700.0;A
2019;2713;281593;3689;281485;281487;Asalariados (Personas);197900.0;A
2019;2713;281593;3689;281486;281487;Asalariados (Personas);197900.0;A
2019;2713;281593;3690;281485;281487;Asalariados (Personas);186450.0;A
2019;2713;281593;3690;281486;281487;Asalariados (Personas);186450.0;A
2019;2713;281594;;281485;281487;Asalariados (Personas);65800.0;A
2019;2713;281594;;281486;281487;Asalariados (Personas);65800.0;A
2019;2713;281594;3689;281485;281487;Asalariados (Personas);19925.0;A
2019;2713;281594;3689;281486;281487;Asalariados (Personas);19925.0;A
2019;2713;281594;3690;281485;281487;Asalariados (Personas);12975.0;A
2019;2713;281594;3690;281486;281487;Asalariados (Personas);12975.0;A
2019;2713;281592;;281485;281487;Asalariados (Personas);834500.0;A
2019;2713;281592;;281486;281487;Asalariados (Personas);834500.0;A
2019;2713;281592;3689;281485;281487;Asalariados (Personas);217825.0;A
2019;2713;281592;3689;281486;281487;Asalariados (Personas);217825.0;A
