D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55538;55557;2015;Viajeros;7461.12148796;A
40123;55538;55557;2014;Viajeros;5928.4338327;A
40123;55538;55557;2013;Viajeros;7120.94;A
40123;55538;55557;2012;Viajeros;6437.63;A
40123;55538;55557;2011;Viajeros;6771.35;A
40123;55538;55557;2010;Viajeros;7745.81;A
40123;55538;55557;2009;Viajeros;9938.42;A
40123;55538;55557;2008;Viajeros;11369.46;A
40123;55538;55558;2020;Viajeros;17676.761744009;A
40123;55538;55558;2019;Viajeros;36165.060583816;A
40123;55538;55558;2018;Viajeros;34300.67486386;A
40123;55538;55558;2017;Viajeros;32963.27871526;A
40123;55538;55558;2016;Viajeros;39197.14310811;A
40123;55538;55558;2015;Viajeros;37627.8055239;A
40123;55538;55558;2014;Viajeros;32049.27737546;A
40123;55538;55558;2013;Viajeros;30250.87;A
40123;55538;55558;2012;Viajeros;28354.13;A
40123;55538;55558;2011;Viajeros;28682.49;A
40123;55538;55558;2010;Viajeros;34482.19;A
40123;55538;55558;2009;Viajeros;39228.26;A
40123;55538;55558;2008;Viajeros;40544.19;A
40123;55538;55559;2020;Viajeros;2177.711585778;A
40123;55538;55559;2019;Viajeros;5821.55264255;A
40123;55538;55559;2018;Viajeros;5460.63083757;A
40123;55538;55559;2017;Viajeros;4898.093832874;A
40123;55538;55559;2016;Viajeros;3450.821392067;A
40123;55538;55559;2015;Viajeros;4066.60299257;A
40123;55538;55559;2014;Viajeros;3257.024775622;A
40123;55538;55559;2013;Viajeros;3777.69;A
40123;55538;55559;2012;Viajeros;3249.23;A
40123;55538;55559;2011;Viajeros;4258.48;A
40123;55538;55559;2010;Viajeros;5625.81;A
40123;55538;55559;2009;Viajeros;3885.1;A
40123;55538;55559;2008;Viajeros;4973.92;A
40123;55538;55544;2020;Viajeros;5554.405558517;A
40123;55538;55544;2019;Viajeros;11818.378099805;A
40123;55538;55544;2018;Viajeros;10951.86516268;A
40123;55538;55544;2017;Viajeros;10137.872452028;A
40123;55538;55544;2016;Viajeros;13022.58545755;A
40123;55538;55544;2015;Viajeros;10843.16219411;A
40123;55538;55544;2014;Viajeros;8631.41952993;A
40123;55538;55544;2013;Viajeros;9737.63;A
40123;55538;55544;2012;Viajeros;8417.23;A
40123;55538;55544;2011;Viajeros;10219.95;A
40123;55538;55544;2010;Viajeros;11274.48;A
40123;55538;55544;2009;Viajeros;13435.97;A
40123;55538;55544;2008;Viajeros;14571.58;A
40123;55538;55561;2020;Viajeros;5671.727724868;A
40123;55538;55561;2019;Viajeros;9001.465685074;A
40123;55538;55561;2018;Viajeros;10229.125338846;A
