D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;70685;2009;Empleo medio;1548.164166666;A
40123;70685;2008;Empleo medio;1588.618333333;A
40123;70686;2020;Empleo medio;317.630089941;A
40123;70686;2019;Empleo medio;993.867372569;A
40123;70686;2018;Empleo medio;946.986305456;A
40123;70686;2017;Empleo medio;982.824933835;A
40123;70686;2016;Empleo medio;975.425521151;A
40123;70686;2015;Empleo medio;877.290867735;A
40123;70686;2014;Empleo medio;774.702630771;A
40123;70686;2013;Empleo medio;699.713333332;A
40123;70686;2009;Empleo medio;938.855;A
40123;70686;2008;Empleo medio;1056.543333333;A
40123;70687;2020;Empleo medio;489.491503469;A
40123;70687;2019;Empleo medio;1209.839832754;A
40123;70687;2018;Empleo medio;1181.041886595;A
40123;70687;2017;Empleo medio;1143.08670696;A
40123;70687;2016;Empleo medio;1102.608656926;A
40123;70687;2015;Empleo medio;1037.530160151;A
40123;70687;2014;Empleo medio;1036.838480585;A
40123;70687;2013;Empleo medio;927.730833334;A
40123;70687;2012;Empleo medio;899.019166666;A
40123;70687;2011;Empleo medio;901.129166666;A
40123;70687;2010;Empleo medio;952.488333333;A
40123;70687;2009;Empleo medio;1048.324166667;A
40123;70687;2008;Empleo medio;1187.411666667;A
40123;70688;2020;Empleo medio;914.457349021;A
40123;70688;2019;Empleo medio;1600.238373727;A
40123;70688;2018;Empleo medio;1510.75862393;A
40123;70688;2017;Empleo medio;1379.898842656;A
40123;70688;2016;Empleo medio;1306.044907232;A
40123;70688;2015;Empleo medio;1226.96727499;A
40123;70688;2014;Empleo medio;1219.439746113;A
40123;70688;2013;Empleo medio;1156.084166667;A
40123;70688;2012;Empleo medio;1180.133333332;A
40123;70688;2011;Empleo medio;1245.308333333;A
40123;70688;2010;Empleo medio;1159.0675;A
40123;70688;2009;Empleo medio;1161.836666667;A
40123;70688;2008;Empleo medio;1230.01;A
40123;55120;2020;Empleo medio;1569.310049863;A
40123;55120;2019;Empleo medio;3644.786514881;A
40123;55120;2018;Empleo medio;3552.707675873;A
40123;55120;2017;Empleo medio;3324.186759562;A
40123;55120;2016;Empleo medio;2989.45024888;A
40123;55120;2015;Empleo medio;2730.043276098;A
40123;55120;2014;Empleo medio;2590.767571119;A
40123;55120;2013;Empleo medio;2447.885833332;A
40123;55120;2012;Empleo medio;2579.4225;A
40123;55120;2011;Empleo medio;2780.694166666;A
40123;55120;2010;Empleo medio;2691.255;A
40123;55120;2009;Empleo medio;2703.049166665;A
40123;55120;2008;Empleo medio;3611.7925;A
40123;70689;2020;Empleo medio;257.911372969;A
40123;70689;2019;Empleo medio;583.013274008;A
40123;70689;2018;Empleo medio;548.425792023;A
40123;70689;2017;Empleo medio;546.948933908;A
40123;70689;2016;Empleo medio;469.404120346;A
40123;70689;2015;Empleo medio;462.120701223;A
40123;70689;2014;Empleo medio;504.557218688;A
40123;70689;2013;Empleo medio;483.173333334;A
40123;70689;2012;Empleo medio;448.557499999;A
40123;70689;2011;Empleo medio;433.273333333;A
40123;70689;2010;Empleo medio;432.186666666;A
40123;70689;2009;Empleo medio;426.958333334;A
40123;70689;2008;Empleo medio;478.275000001;A
40123;55121;2020;Empleo medio;160.89472046;A
40123;55121;2019;Empleo medio;330.980050958;A
40123;55121;2018;Empleo medio;350.636823223;A
40123;55121;2017;Empleo medio;337.200225616;A
40123;55121;2016;Empleo medio;307.475910461;A
40123;55121;2015;Empleo medio;267.858539428;A
40123;55121;2014;Empleo medio;260.161209562;A
