D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3102;46367;2021;Sociedades constituidas;18.0;A
40124;3102;46361;2021;Sociedades constituidas;;A
40124;3102;46364;2021;Sociedades constituidas;18.0;A
40124;3102;46366;2021;Sociedades constituidas;;A
40124;3103;46367;2021;Sociedades constituidas;1.0;A
40124;3103;46361;2021;Sociedades constituidas;;A
40124;3103;46364;2021;Sociedades constituidas;1.0;A
40124;3103;46366;2021;Sociedades constituidas;;A
40124;3104;46367;2021;Sociedades constituidas;17.0;A
40124;3104;46361;2021;Sociedades constituidas;;A
40124;3104;46364;2021;Sociedades constituidas;17.0;A
40124;3104;46366;2021;Sociedades constituidas;;A
40124;3105;46367;2021;Sociedades constituidas;2.0;A
40124;3105;46361;2021;Sociedades constituidas;;A
40124;3105;46364;2021;Sociedades constituidas;2.0;A
40124;3105;46366;2021;Sociedades constituidas;;A
40124;3108;46367;2021;Sociedades constituidas;12.0;A
40124;3108;46361;2021;Sociedades constituidas;;A
40124;3108;46364;2021;Sociedades constituidas;12.0;A
40124;3108;46366;2021;Sociedades constituidas;;A
40124;3109;46367;2021;Sociedades constituidas;3.0;A
40124;3109;46361;2021;Sociedades constituidas;;A
40124;3109;46364;2021;Sociedades constituidas;3.0;A
40124;3109;46366;2021;Sociedades constituidas;;A
40124;3110;46367;2021;Sociedades constituidas;88.0;A
40124;3110;46361;2021;Sociedades constituidas;;A
40124;3110;46364;2021;Sociedades constituidas;88.0;A
40124;3110;46366;2021;Sociedades constituidas;;A
40124;3111;46367;2021;Sociedades constituidas;8.0;A
40124;3111;46361;2021;Sociedades constituidas;;A
40124;3111;46364;2021;Sociedades constituidas;8.0;A
40124;3111;46366;2021;Sociedades constituidas;;A
40124;3112;46367;2021;Sociedades constituidas;1.0;A
40124;3112;46361;2021;Sociedades constituidas;;A
40124;3112;46364;2021;Sociedades constituidas;1.0;A
