TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ;IPC_GRUPOSESPECIALES
2021-04;ES;62076;INX;102.497;M;
2021-04;ES;62077;INX;95.613;M;
2021-04;ES;62078;INX;100.232;M;
2021-04;ES;62079;INX;89.318;M;
2021-04;ES;62080;INX;109.36;M;
2021-04;ES;62081;INX;102.771;M;
2021-04;ES;62082;INX;106.361;M;
2021-04;ES;62083;INX;108.262;M;
2021-04;ES;62084;INX;99.313;M;
2021-04;ES;62085;INX;105.967;M;
2021-04;ES;62086;INX;97.586;M;
2021-04;ES;62087;INX;106.14;M;
2021-04;ES;62088;INX;107.083;M;
2021-04;ES61;62032;INX;103.256;M;
2021-04;ES61;62033;INX;101.471;M;
2021-04;ES61;62034;INX;105.656;M;
2021-04;ES61;62035;INX;110.937;M;
2021-04;ES61;62036;INX;110.133;M;
2021-04;ES61;62037;INX;111.627;M;
2021-04;ES61;62038;INX;107.212;M;
2021-04;ES61;62039;INX;110.617;M;
2021-04;ES61;62040;INX;109.579;M;
2021-04;ES61;62041;INX;102.713;M;
2021-04;ES61;62042;INX;98.307;M;
2021-04;ES61;62043;INX;103.539;M;
2021-04;ES61;62044;INX;87.089;M;
2021-04;ES61;62045;INX;116.7;M;
2021-04;ES61;62046;INX;99.929;M;
2021-04;ES61;62047;INX;129.565;M;
2021-04;ES61;62048;INX;104.99;M;
2021-04;ES61;62049;INX;112.391;M;
2021-04;ES61;62050;INX;100.727;M;
2021-04;ES61;62051;INX;107.636;M;
2021-04;ES61;62052;INX;101.795;M;
2021-04;ES61;62053;INX;112.468;M;
2021-04;ES61;62054;INX;104.726;M;
2021-04;ES61;62055;INX;103.125;M;
2021-04;ES61;62056;INX;103.51;M;
2021-04;ES61;62057;INX;112.648;M;
2021-04;ES61;62058;INX;116.071;M;
2021-04;ES61;62059;INX;108.506;M;
2021-04;ES61;62060;INX;107.536;M;
2021-04;ES61;62061;INX;105.721;M;
2021-04;ES61;62062;INX;99.197;M;
2021-04;ES61;62063;INX;106.574;M;
2021-04;ES61;62064;INX;104.24;M;
2021-04;ES61;62065;INX;114.028;M;
2021-04;ES61;62066;INX;104.283;M;
2021-04;ES61;62067;INX;102.421;M;
2021-04;ES61;62068;INX;96.349;M;
2021-04;ES61;62069;INX;96.698;M;
2021-04;ES61;62070;INX;99.693;M;
2021-04;ES61;62071;INX;98.592;M;
2021-04;ES61;62072;INX;107.884;M;
2021-04;ES61;62073;INX;108.905;M;
2021-04;ES61;62074;INX;99.72;M;
2021-04;ES61;62075;INX;110.447;M;
2021-04;ES61;62076;INX;103.53;M;
2021-04;ES61;62077;INX;99.999;M;
2021-04;ES61;62078;INX;100.36;M;
2021-04;ES61;62079;INX;86.716;M;
2021-04;ES61;62080;INX;109.114;M;
2021-04;ES61;62081;INX;104.227;M;
2021-04;ES61;62082;INX;108.627;M;
2021-04;ES61;62083;INX;108.952;M;
2021-04;ES61;62084;INX;104.459;M;
2021-04;ES61;62085;INX;103.889;M;
2021-04;ES61;62086;INX;96.145;M;
2021-04;ES61;62087;INX;106.357;M;
2021-04;ES61;62088;INX;106.57;M;
2021-05;ES;62032;INX;102.075;M;
2021-05;ES;62033;INX;103.44;M;
2021-05;ES;62034;INX;105.44;M;
2021-05;ES;62035;INX;111.942;M;
2021-05;ES;62036;INX;110.92;M;
2021-05;ES;62037;INX;109.206;M;
2021-05;ES;62038;INX;108.817;M;
