D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_FORMA_JUR_SOCMER_0;INDICATOR;FREQ;D_CNAE09_0;D_SEXO_SOCIOS_0;OBS_VALUE
A;2243;2018;46364;SOC_CONST;A;_Z;_Z;40.0
A;2243;2018;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2018;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2018;46367;CAP_SUSCRITO;A;_Z;_Z;881829.0
A;2243;2018;46367;SOC_CONST;A;_Z;_Z;40.0
A;2243;2019;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2019;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2019;46364;CAP_SUSCRITO;A;_Z;_Z;263492.0
A;2243;2019;46364;SOC_CONST;A;_Z;_Z;35.0
A;2243;2019;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2019;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2019;46367;CAP_SUSCRITO;A;_Z;_Z;263492.0
A;2243;2019;46367;SOC_CONST;A;_Z;_Z;35.0
A;2243;2020;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2020;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2020;46364;CAP_SUSCRITO;A;_Z;_Z;169480.0
A;2243;2020;46364;SOC_CONST;A;_Z;_Z;34.0
A;2243;2020;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2020;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2020;46367;CAP_SUSCRITO;A;_Z;_Z;169480.0
A;2243;2020;46367;SOC_CONST;A;_Z;_Z;34.0
A;2244;2003;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2244;2003;46361;SOC_CONST;A;_Z;_Z;0.0
A;2244;2003;46364;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2244;2003;46364;SOC_CONST;A;_Z;_Z;1.0
A;2244;2003;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2244;2003;46366;SOC_CONST;A;_Z;_Z;0.0
A;2244;2003;46367;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2244;2003;46367;SOC_CONST;A;_Z;_Z;1.0
