TEMPORAL;TERRITORIO;EDAD;G102;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;ES612;Y15-29;838411;M;DEATHS;1.0;A
2020;ES612;Y15-29;838411;_T;DEATHS;1.0;A
2020;ES612;Y15-29;57731;M;DEATHS;30.0;A
2020;ES612;Y15-29;57731;F;DEATHS;11.0;A
2020;ES612;Y15-29;57731;_T;DEATHS;41.0;A
2020;ES612;Y15-29;583;M;DEATHS;32.0;A
2020;ES612;Y15-29;583;F;DEATHS;12.0;A
2020;ES612;Y15-29;583;_T;DEATHS;44.0;A
2020;ES612;Y30-44;838410;M;DEATHS;3.0;A
2020;ES612;Y30-44;838410;F;DEATHS;1.0;A
2020;ES612;Y30-44;838410;_T;DEATHS;4.0;A
2020;ES612;Y30-44;57731;M;DEATHS;60.0;A
2020;ES612;Y30-44;57731;F;DEATHS;30.0;A
2020;ES612;Y30-44;57731;_T;DEATHS;90.0;A
2020;ES612;Y30-44;583;M;DEATHS;63.0;A
2020;ES612;Y30-44;583;F;DEATHS;31.0;A
2020;ES612;Y30-44;583;_T;DEATHS;94.0;A
2020;ES612;Y45-64;57731;M;DEATHS;57.0;A
2020;ES612;Y45-64;57731;F;DEATHS;37.0;A
2020;ES612;Y45-64;57731;_T;DEATHS;94.0;A
2020;ES612;Y45-64;583;M;DEATHS;57.0;A
2020;ES612;Y45-64;583;F;DEATHS;37.0;A
2020;ES612;Y45-64;583;_T;DEATHS;94.0;A
2020;ES612;Y65-100;838410;M;DEATHS;5.0;A
2020;ES612;Y65-100;838410;_T;DEATHS;5.0;A
2020;ES612;Y65-100;838411;M;DEATHS;1.0;A
2020;ES612;Y65-100;838411;F;DEATHS;1.0;A
2020;ES612;Y65-100;838411;_T;DEATHS;2.0;A
2020;ES612;Y65-100;57731;M;DEATHS;113.0;A
2020;ES612;Y65-100;57731;F;DEATHS;50.0;A
2020;ES612;Y65-100;57731;_T;DEATHS;163.0;A
2020;ES612;Y65-100;583;M;DEATHS;119.0;A
2020;ES612;Y65-100;583;F;DEATHS;51.0;A
2020;ES612;Y65-100;583;_T;DEATHS;170.0;A
2020;ES612;Y50-54;838410;M;DEATHS;10.0;A
2020;ES612;Y50-54;838410;F;DEATHS;7.0;A
2020;ES612;Y50-54;838410;_T;DEATHS;17.0;A
2020;ES612;Y50-54;838411;M;DEATHS;2.0;A
2020;ES612;Y50-54;838411;_T;DEATHS;2.0;A
2020;ES612;Y50-54;57731;M;DEATHS;221.0;A
2020;ES612;Y50-54;57731;F;DEATHS;104.0;A
2020;ES612;Y50-54;57731;_T;DEATHS;325.0;A
2020;ES612;Y50-54;583;M;DEATHS;233.0;A
2020;ES612;Y50-54;583;F;DEATHS;111.0;A
2020;ES612;Y50-54;583;_T;DEATHS;344.0;A
2020;ES612;Y55-59;838410;M;DEATHS;13.0;A
2020;ES612;Y55-59;838410;F;DEATHS;7.0;A
2020;ES612;Y55-59;838410;_T;DEATHS;20.0;A
2020;ES612;Y55-59;838411;M;DEATHS;3.0;A
2020;ES612;Y55-59;838411;F;DEATHS;1.0;A
2020;ES612;Y55-59;838411;_T;DEATHS;4.0;A
2020;ES612;Y55-59;57731;M;DEATHS;342.0;A
2020;ES612;Y55-59;57731;F;DEATHS;153.0;A
2020;ES612;Y55-59;57731;_T;DEATHS;495.0;A
