D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2015;ES612;M;_T;DIV;2343.5907;A
2015;ES612;M;M;DIV;9.5628;A
2015;ES612;M;F;DIV;2334.0279;A
2015;ES612;F;_T;DIV;11.966;A
2015;ES612;F;F;DIV;11.966;A
2015;ES613;_T;_T;DIV;1621.987;A
2015;ES613;_T;M;DIV;1.4895;A
2015;ES613;_T;F;DIV;1620.4975;A
2015;ES613;M;_T;DIV;1619.008;A
2015;ES613;M;M;DIV;1.4895;A
2015;ES613;M;F;DIV;1617.5185;A
2015;ES613;F;_T;DIV;2.979;A
2015;ES613;F;F;DIV;2.979;A
2015;ES614;_T;_T;DIV;1864.9266;A
2015;ES614;_T;M;DIV;1.719;A
2015;ES614;_T;F;DIV;1863.2076;A
2015;ES614;M;_T;DIV;1856.3316;A
2015;ES614;M;M;DIV;1.719;A
2015;ES614;M;F;DIV;1854.6126;A
2015;ES614;F;_T;DIV;8.595;A
2015;ES614;F;F;DIV;8.595;A
2015;ES615;_T;_T;DIV;1022.9657;A
2015;ES615;_T;M;DIV;6.7532;A
2015;ES615;_T;F;DIV;1016.2125;A
2015;ES615;M;_T;DIV;1018.508;A
2015;ES615;M;M;DIV;6.7532;A
2015;ES615;M;F;DIV;1011.7548;A
2015;ES615;F;_T;DIV;4.4577;A
2015;ES615;F;F;DIV;4.4577;A
2015;ES616;_T;_T;DIV;1197.5493;A
2015;ES616;_T;M;DIV;3.0382;A
2015;ES616;_T;F;DIV;1194.5111;A
2015;ES616;M;_T;DIV;1196.0302;A
2015;ES616;M;M;DIV;3.0382;A
2015;ES616;M;F;DIV;1192.992;A
2015;ES616;F;_T;DIV;1.5191;A
2015;ES616;F;F;DIV;1.5191;A
2015;ES617;_T;_T;DIV;3560.4711;A
2015;ES617;_T;M;DIV;18.042;A
2015;ES617;_T;F;DIV;3542.4291;A
2015;ES617;M;_T;DIV;3540.2172;A
2015;ES617;M;M;DIV;18.042;A
2015;ES617;M;F;DIV;3522.1752;A
2015;ES617;F;_T;DIV;20.2539;A
2015;ES617;F;F;DIV;20.2539;A
2015;ES618;_T;_T;DIV;4007.618;A
2015;ES618;_T;M;DIV;11.2832;A
2015;ES618;_T;F;DIV;3996.3348;A
2015;ES618;M;_T;DIV;3998.0994;A
2015;ES618;M;M;DIV;11.2832;A
2015;ES618;M;F;DIV;3986.8162;A
2015;ES618;F;_T;DIV;9.5186;A
2015;ES618;F;F;DIV;9.5186;A
2014;ES61;_T;_T;DIV;17376.98787;A
2014;ES61;_T;M;DIV;67.64096;A
2014;ES61;_T;F;DIV;17309.34691;A
2014;ES61;M;_T;DIV;17334.61457;A
2014;ES61;M;M;DIV;67.64096;A
2014;ES61;M;F;DIV;17266.97361;A
2014;ES61;F;_T;DIV;42.3733;A
2014;ES61;F;F;DIV;42.3733;A
2014;ES611;_T;_T;DIV;1315.503;A
2014;ES611;_T;M;DIV;2.826;A
2014;ES611;_T;F;DIV;1312.677;A
2014;ES611;M;_T;DIV;1311.264;A
2014;ES611;M;M;DIV;2.826;A
2014;ES611;M;F;DIV;1308.438;A
2014;ES611;F;_T;DIV;4.239;A
2014;ES611;F;F;DIV;4.239;A
2014;ES612;_T;_T;DIV;2485.68082;A
2014;ES612;_T;M;DIV;7.51415;A
2014;ES612;_T;F;DIV;2478.16667;A
2014;ES612;M;_T;DIV;2478.16667;A
2014;ES612;M;M;DIV;7.51415;A
2014;ES612;M;F;DIV;2470.65252;A
2014;ES612;F;_T;DIV;7.51415;A
2014;ES612;F;F;DIV;7.51415;A
2014;ES613;_T;_T;DIV;1712.10316;A
2014;ES613;_T;M;DIV;3.33094;A
2014;ES613;_T;F;DIV;1708.77222;A
2014;ES613;M;_T;DIV;1708.77222;A
2014;ES613;M;M;DIV;3.33094;A
2014;ES613;M;F;DIV;1705.44128;A
2014;ES613;F;_T;DIV;3.33094;A
2014;ES613;F;F;DIV;3.33094;A
2014;ES614;_T;_T;DIV;1848.68385;A
2014;ES614;_T;M;DIV;13.67145;A
2014;ES614;_T;F;DIV;1835.0124;A
2014;ES614;M;_T;DIV;1845.64575;A
2014;ES614;M;M;DIV;13.67145;A
2014;ES614;M;F;DIV;1831.9743;A
2014;ES614;F;_T;DIV;3.0381;A
2014;ES614;F;F;DIV;3.0381;A
2014;ES615;_T;_T;DIV;1140.17566;A
2014;ES615;_T;M;DIV;4.24383;A
2014;ES615;_T;F;DIV;1135.93183;A
2014;ES615;M;_T;DIV;1137.34644;A
2014;ES615;M;M;DIV;4.24383;A
2014;ES615;M;F;DIV;1133.10261;A
2014;ES615;F;_T;DIV;2.82922;A
2014;ES615;F;F;DIV;2.82922;A
2014;ES616;_T;_T;DIV;1180.1112;A
2014;ES616;_T;F;DIV;1180.1112;A
2014;ES616;M;_T;DIV;1178.6434;A
2014;ES616;M;F;DIV;1178.6434;A
2014;ES616;F;_T;DIV;1.4678;A
2014;ES616;F;F;DIV;1.4678;A
2014;ES617;_T;_T;DIV;3567.8708;A
2014;ES617;_T;M;DIV;19.3206;A
2014;ES617;_T;F;DIV;3548.5502;A
2014;ES617;M;_T;DIV;3564.6507;A
2014;ES617;M;M;DIV;19.3206;A
2014;ES617;M;F;DIV;3545.3301;A
2014;ES617;F;_T;DIV;3.2201;A
2014;ES617;F;F;DIV;3.2201;A
2014;ES618;_T;_T;DIV;4126.85938;A
2014;ES618;_T;M;DIV;16.73399;A
2014;ES618;_T;F;DIV;4110.12539;A
2014;ES618;M;_T;DIV;4110.12539;A
2014;ES618;M;M;DIV;16.73399;A
2014;ES618;M;F;DIV;4093.3914;A
2014;ES618;F;_T;DIV;16.73399;A
2014;ES618;F;F;DIV;16.73399;A
2013;ES61;_T;_T;DIV;16473.17478;A
2013;ES61;_T;M;DIV;32.43898;A
2013;ES61;_T;F;DIV;16440.7358;A
2013;ES61;M;_T;DIV;16440.72125;A
2013;ES61;M;M;DIV;32.43898;A
2013;ES61;M;F;DIV;16408.28227;A
2013;ES61;F;_T;DIV;32.45353;A
2013;ES61;F;F;DIV;32.45353;A
2013;ES611;_T;_T;DIV;1267.4696;A
2013;ES611;_T;M;DIV;3.2836;A
2013;ES611;_T;F;DIV;1264.186;A
2013;ES611;M;_T;DIV;1265.8278;A
2013;ES611;M;M;DIV;3.2836;A
2013;ES611;M;F;DIV;1262.5442;A
2013;ES611;F;_T;DIV;1.6418;A
2013;ES611;F;F;DIV;1.6418;A
2013;ES612;_T;_T;DIV;2358.7305;A
2013;ES612;_T;M;DIV;5.8602;A
2013;ES612;_T;F;DIV;2352.8703;A
2013;ES612;M;_T;DIV;2354.33535;A
2013;ES612;M;M;DIV;5.8602;A
2013;ES612;M;F;DIV;2348.47515;A
2013;ES612;F;_T;DIV;4.39515;A
2013;ES612;F;F;DIV;4.39515;A
2013;ES613;_T;_T;DIV;1452.76866;A
2013;ES613;_T;M;DIV;2.71292;A
2013;ES613;_T;F;DIV;1450.05574;A
2013;ES613;M;_T;DIV;1451.4122;A
2013;ES613;M;M;DIV;2.71292;A
2013;ES613;M;F;DIV;1448.69928;A
2013;ES613;F;_T;DIV;1.35646;A
2013;ES613;F;F;DIV;1.35646;A
2013;ES614;_T;_T;DIV;1822.15704;A
2013;ES614;_T;M;DIV;5.45556;A
2013;ES614;_T;F;DIV;1816.70148;A
2013;ES614;M;_T;DIV;1819.42926;A
2013;ES614;M;M;DIV;5.45556;A
2013;ES614;M;F;DIV;1813.9737;A
2013;ES614;F;_T;DIV;2.72778;A
2013;ES614;F;F;DIV;2.72778;A
2013;ES615;_T;_T;DIV;995.33511;A
2013;ES615;_T;M;DIV;1.43627;A
2013;ES615;_T;F;DIV;993.89884;A
2013;ES615;M;_T;DIV;992.46257;A
2013;ES615;M;M;DIV;1.43627;A
2013;ES615;M;F;DIV;991.0263;A
2013;ES615;F;_T;DIV;2.87254;A
2013;ES615;F;F;DIV;2.87254;A
2013;ES616;_T;_T;DIV;1155.71547;A
2013;ES616;_T;M;DIV;1.41113;A
2013;ES616;_T;F;DIV;1154.30434;A
2013;ES616;M;_T;DIV;1155.71547;A
2013;ES616;M;M;DIV;1.41113;A
2013;ES616;M;F;DIV;1154.30434;A
2013;ES617;_T;_T;DIV;3581.6334;A
2013;ES617;_T;M;DIV;4.3083;A
2013;ES617;_T;F;DIV;3577.3251;A
2013;ES617;M;_T;DIV;3570.1446;A
2013;ES617;M;M;DIV;4.3083;A
2013;ES617;M;F;DIV;3565.8363;A
2013;ES617;F;_T;DIV;11.4888;A
2013;ES617;F;F;DIV;11.4888;A
2013;ES618;_T;_T;DIV;3839.365;A
2013;ES618;_T;M;DIV;7.971;A
2013;ES618;_T;F;DIV;3831.394;A
2013;ES618;M;_T;DIV;3831.394;A
2013;ES618;M;M;DIV;7.971;A
2013;ES618;M;F;DIV;3823.423;A
2013;ES618;F;_T;DIV;7.971;A
2013;ES618;F;F;DIV;7.971;A
2012;ES61;_T;_T;DIV;19100.05171;A
2012;ES61;_T;M;DIV;40.0;A
2012;ES61;_T;F;DIV;19060.05171;A
2012;ES61;M;_T;DIV;19084.05171;A
2012;ES61;M;M;DIV;40.0;A
2012;ES61;M;F;DIV;19044.05171;A
2012;ES61;F;_T;DIV;16.0;A
2012;ES61;F;F;DIV;16.0;A
2012;ES611;_T;_T;DIV;1673.28115;A
2012;ES611;_T;M;DIV;2.0;A
2012;ES611;_T;F;DIV;1671.28115;A
2012;ES611;M;_T;DIV;1672.28115;A
2012;ES611;M;M;DIV;2.0;A
2012;ES611;M;F;DIV;1670.28115;A
2012;ES611;F;_T;DIV;1.0;A
2012;ES611;F;F;DIV;1.0;A
2012;ES612;_T;_T;DIV;2751.43454;A
2012;ES612;_T;M;DIV;6.0;A
2012;ES612;_T;F;DIV;2745.43454;A
2012;ES612;M;_T;DIV;2751.43454;A
2012;ES612;M;M;DIV;6.0;A
2012;ES612;M;F;DIV;2745.43454;A
2012;ES613;_T;_T;DIV;1519.27045;A
2012;ES613;_T;M;DIV;4.0;A
2012;ES613;_T;F;DIV;1515.27045;A
2012;ES613;M;_T;DIV;1519.27045;A
2012;ES613;M;M;DIV;4.0;A
2012;ES613;M;F;DIV;1515.27045;A
2012;ES614;_T;_T;DIV;2194.10578;A
2012;ES614;_T;M;DIV;4.0;A
2012;ES614;_T;F;DIV;2190.10578;A
2012;ES614;M;_T;DIV;2192.10578;A
2012;ES614;M;M;DIV;4.0;A
2012;ES614;M;F;DIV;2188.10578;A
2012;ES614;F;_T;DIV;2.0;A
2012;ES614;F;F;DIV;2.0;A
2012;ES615;_T;_T;DIV;1090.26737;A
2012;ES615;_T;F;DIV;1090.26737;A
