D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2016;ES614;20;DIV;109.1856;A
2016;ES614;2;DIV;58.7792;A
2016;ES614;3;DIV;50.4064;A
2016;ES614;30;DIV;44.9488;A
2016;ES614;4;DIV;29.3896;A
2016;ES614;5;DIV;15.5592;A
2016;ES615;00;DIV;1053.5608;A
2016;ES615;11;DIV;978.9344;A
2016;ES615;10;DIV;978.9344;A
2016;ES615;1;DIV;978.9344;A
2016;ES615;22;DIV;74.6264;A
2016;ES615;20;DIV;52.1468;A
2016;ES615;2;DIV;29.3964;A
2016;ES615;3;DIV;22.7504;A
2016;ES615;30;DIV;22.4796;A
2016;ES615;4;DIV;15.5628;A
2016;ES615;5;DIV;6.9168;A
2016;ES616;00;DIV;1120.7404;A
2016;ES616;11;DIV;1099.8132;A
2016;ES616;10;DIV;1099.8132;A
2016;ES616;1;DIV;1099.8132;A
2016;ES616;22;DIV;20.9272;A
2016;ES616;20;DIV;13.4532;A
2016;ES616;2;DIV;10.4636;A
2016;ES616;3;DIV;2.9896;A
2016;ES616;30;DIV;7.474;A
2016;ES616;4;DIV;5.9792;A
2016;ES616;5;DIV;1.4948;A
2016;ES617;00;DIV;3657.8326;A
2016;ES617;11;DIV;3043.092;A
2016;ES617;10;DIV;3043.092;A
2016;ES617;1;DIV;3043.092;A
2016;ES617;22;DIV;614.7406;A
2016;ES617;20;DIV;446.6734;A
2016;ES617;2;DIV;213.0828;A
2016;ES617;3;DIV;233.5906;A
2016;ES617;30;DIV;168.0672;A
2016;ES617;4;DIV;103.5414;A
2016;ES617;5;DIV;64.5258;A
2016;ES618;00;DIV;4023.9932;A
2016;ES618;11;DIV;3760.1178;A
2016;ES618;10;DIV;3760.1178;A
2016;ES618;1;DIV;3760.1178;A
2016;ES618;22;DIV;263.8754;A
2016;ES618;20;DIV;187.922;A
2016;ES618;2;DIV;88.5841;A
2016;ES618;3;DIV;99.3379;A
2016;ES618;30;DIV;75.9534;A
2016;ES618;4;DIV;58.1535;A
2016;ES618;5;DIV;17.7999;A
2015;ES61;00;DIV;17029.5907;A
2015;ES61;11;DIV;15280.9178;A
2015;ES61;10;DIV;15280.9178;A
2015;ES61;1;DIV;15280.9178;A
2015;ES61;22;DIV;1748.6729;A
2015;ES61;20;DIV;1299.9576;A
2015;ES61;2;DIV;678.9595;A
2015;ES61;3;DIV;620.9981;A
2015;ES61;30;DIV;448.7153;A
2015;ES61;4;DIV;282.0671;A
2015;ES61;5;DIV;166.6482;A
2015;ES611;00;DIV;1398.5163;A
2015;ES611;11;DIV;1105.221;A
2015;ES611;10;DIV;1105.221;A
2015;ES611;1;DIV;1105.221;A
2015;ES611;22;DIV;293.2953;A
2015;ES611;20;DIV;183.1578;A
2015;ES611;2;DIV;114.4686;A
2015;ES611;3;DIV;68.6892;A
2015;ES611;30;DIV;110.1375;A
2015;ES611;4;DIV;71.8464;A
2015;ES611;5;DIV;38.2911;A
2015;ES612;00;DIV;2355.5567;A
2015;ES612;11;DIV;2180.2137;A
2015;ES612;10;DIV;2180.2137;A
2015;ES612;1;DIV;2180.2137;A
2015;ES612;22;DIV;175.343;A
2015;ES612;20;DIV;148.2484;A
2015;ES612;2;DIV;84.8761;A
2015;ES612;3;DIV;63.3723;A
2015;ES612;30;DIV;27.0946;A
2015;ES612;4;DIV;14.3442;A
2015;ES612;5;DIV;12.7504;A
2015;ES613;00;DIV;1621.987;A
2015;ES613;11;DIV;1557.1289;A
2015;ES613;10;DIV;1557.1289;A
2015;ES613;1;DIV;1557.1289;A
2015;ES613;22;DIV;64.8581;A
2015;ES613;20;DIV;55.9211;A
2015;ES613;2;DIV;25.3215;A
2015;ES613;3;DIV;30.5996;A
2015;ES613;30;DIV;8.937;A
2015;ES613;4;DIV;7.4475;A
2015;ES613;5;DIV;1.4895;A
2015;ES614;00;DIV;1864.9266;A
2015;ES614;11;DIV;1694.7456;A
2015;ES614;10;DIV;1694.7456;A
2015;ES614;1;DIV;1694.7456;A
2015;ES614;22;DIV;170.181;A
2015;ES614;20;DIV;135.801;A
2015;ES614;2;DIV;72.198;A
2015;ES614;3;DIV;63.603;A
2015;ES614;30;DIV;34.38;A
2015;ES614;4;DIV;20.628;A
2015;ES614;5;DIV;13.752;A
2015;ES615;00;DIV;1022.9657;A
2015;ES615;11;DIV;971.6355;A
2015;ES615;10;DIV;971.6355;A
2015;ES615;1;DIV;971.6355;A
2015;ES615;22;DIV;51.3302;A
2015;ES615;20;DIV;43.4959;A
2015;ES615;2;DIV;31.2039;A
2015;ES615;3;DIV;12.292;A
2015;ES615;30;DIV;7.8343;A
2015;ES615;4;DIV;5.9436;A
2015;ES615;5;DIV;1.8907;A
2015;ES616;00;DIV;1197.5493;A
2015;ES616;11;DIV;1170.2055;A
2015;ES616;10;DIV;1170.2055;A
2015;ES616;1;DIV;1170.2055;A
2015;ES616;22;DIV;27.3438;A
2015;ES616;20;DIV;24.3056;A
2015;ES616;2;DIV;12.1528;A
2015;ES616;3;DIV;12.1528;A
2015;ES616;30;DIV;3.0382;A
2015;ES616;4;DIV;1.5191;A
2015;ES616;5;DIV;1.5191;A
2015;ES617;00;DIV;3560.4711;A
2015;ES617;11;DIV;2904.2666;A
2015;ES617;10;DIV;2904.2666;A
2015;ES617;1;DIV;2904.2666;A
2015;ES617;22;DIV;656.2045;A
2015;ES617;20;DIV;458.0464;A
2015;ES617;2;DIV;217.1976;A
2015;ES617;3;DIV;240.8488;A
2015;ES617;30;DIV;198.1581;A
2015;ES617;4;DIV;115.6103;A
2015;ES617;5;DIV;82.5478;A
2015;ES618;00;DIV;4007.618;A
2015;ES618;11;DIV;3697.501;A
2015;ES618;10;DIV;3697.501;A
2015;ES618;1;DIV;3697.501;A
2015;ES618;22;DIV;310.117;A
2015;ES618;20;DIV;250.9814;A
2015;ES618;2;DIV;121.541;A
2015;ES618;3;DIV;129.4404;A
2015;ES618;30;DIV;59.1356;A
2015;ES618;4;DIV;44.728;A
2015;ES618;5;DIV;14.4076;A
2014;ES61;00;DIV;17376.98787;A
2014;ES61;11;DIV;15701.30337;A
2014;ES61;10;DIV;15701.30337;A
2014;ES61;1;DIV;15701.30337;A
2014;ES61;22;DIV;1675.6845;A
2014;ES61;20;DIV;1227.42309;A
2014;ES61;2;DIV;640.38305;A
2014;ES61;3;DIV;587.04004;A
2014;ES61;30;DIV;448.26141;A
2014;ES61;4;DIV;322.38913;A
2014;ES61;5;DIV;125.87228;A
2014;ES611;00;DIV;1315.503;A
2014;ES611;11;DIV;1095.075;A
2014;ES611;10;DIV;1095.075;A
2014;ES611;1;DIV;1095.075;A
2014;ES611;22;DIV;220.428;A
2014;ES611;20;DIV;151.191;A
2014;ES611;2;DIV;98.91;A
2014;ES611;3;DIV;52.281;A
2014;ES611;30;DIV;69.237;A
2014;ES611;4;DIV;45.216;A
2014;ES611;5;DIV;24.021;A
2014;ES612;00;DIV;2485.68082;A
2014;ES612;11;DIV;2315.86103;A
2014;ES612;10;DIV;2315.86103;A
2014;ES612;1;DIV;2315.86103;A
2014;ES612;22;DIV;169.81979;A
2014;ES612;20;DIV;133.75187;A
2014;ES612;2;DIV;60.1132;A
2014;ES612;3;DIV;73.63867;A
2014;ES612;30;DIV;36.06792;A
2014;ES612;4;DIV;16.53113;A
2014;ES612;5;DIV;19.53679;A
2014;ES613;00;DIV;1712.10316;A
2014;ES613;11;DIV;1620.50231;A
2014;ES613;10;DIV;1620.50231;A
2014;ES613;1;DIV;1620.50231;A
2014;ES613;22;DIV;91.60085;A
2014;ES613;20;DIV;73.28068;A
2014;ES613;2;DIV;48.29863;A
2014;ES613;3;DIV;24.98205;A
2014;ES613;30;DIV;18.32017;A
2014;ES613;4;DIV;18.32017;A
2014;ES613;5;DIV;;A
2014;ES614;00;DIV;1848.68385;A
2014;ES614;11;DIV;1715.00745;A
2014;ES614;10;DIV;1715.00745;A
2014;ES614;1;DIV;1715.00745;A
2014;ES614;22;DIV;133.6764;A
2014;ES614;20;DIV;100.2573;A
2014;ES614;2;DIV;50.12865;A
2014;ES614;3;DIV;50.12865;A
2014;ES614;30;DIV;33.4191;A
2014;ES614;4;DIV;25.82385;A
2014;ES614;5;DIV;7.59525;A
2014;ES615;00;DIV;1140.17566;A
2014;ES615;11;DIV;1076.51821;A
2014;ES615;10;DIV;1076.51821;A
2014;ES615;1;DIV;1076.51821;A
2014;ES615;22;DIV;63.65745;A
2014;ES615;20;DIV;52.34057;A
2014;ES615;2;DIV;28.2922;A
2014;ES615;3;DIV;24.04837;A
2014;ES615;30;DIV;11.31688;A
2014;ES615;4;DIV;9.90227;A
2014;ES615;5;DIV;1.41461;A
2014;ES616;00;DIV;1180.1112;A
2014;ES616;11;DIV;1137.545;A
2014;ES616;10;DIV;1137.545;A
2014;ES616;1;DIV;1137.545;A
2014;ES616;22;DIV;42.5662;A
2014;ES616;20;DIV;33.7594;A
2014;ES616;2;DIV;14.678;A
