TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273780;A;2012;273772;NR;665.0;A
ES611;273780;A;2012;273773;NR;21.0;A
ES611;273780;A;2013;273760;NR;114322.0;A
ES611;273780;A;2013;273761;NR;59730.0;A
ES611;273780;A;2013;273762;NR;54592.0;A
ES611;273780;A;2013;273765;NR;276.829572856;A
ES611;273780;A;2013;273768;NR;17828.0;A
ES611;273780;A;2013;273769;NR;717.0;A
ES611;273780;A;2013;273770;NR;36047.0;A
ES611;273780;A;2013;273771;NR;599.0;A
ES611;273780;A;2013;273772;NR;559.0;A
ES611;273780;A;2013;273773;NR;40.0;A
ES611;273780;A;2014;273760;NR;119771.0;A
ES611;273780;A;2014;273761;NR;66167.0;A
ES611;273780;A;2014;273762;NR;53604.0;A
ES611;273780;A;2014;273765;NR;274.641787389;A
ES611;273780;A;2014;273768;NR;14801.0;A
ES611;273780;A;2014;273769;NR;783.0;A
ES611;273780;A;2014;273770;NR;38020.0;A
ES611;273780;A;2014;273771;NR;505.0;A
ES611;273780;A;2014;273772;NR;465.0;A
ES611;273780;A;2014;273773;NR;40.0;A
ES611;273780;A;2015;273760;NR;58059.0;A
ES611;273780;A;2015;273761;NR;38731.0;A
ES611;273780;A;2015;273762;NR;19328.0;A
ES611;273780;A;2015;273765;NR;100.0;A
ES611;273780;A;2015;273768;NR;11424.0;A
ES611;273780;A;2015;273769;NR;556.0;A
ES611;273780;A;2015;273770;NR;7348.0;A
ES611;273780;A;2015;273771;NR;370.0;A
ES611;273780;A;2015;273772;NR;336.0;A
ES611;273780;A;2015;273773;NR;34.0;A
ES611;273780;A;2016;273760;NR;50109.0;A
ES611;273780;A;2016;273761;NR;30550.0;A
ES611;273780;A;2016;273762;NR;19559.0;A
ES611;273780;A;2016;273765;NR;109.400220894;A
ES611;273780;A;2016;273768;NR;10932.0;A
ES611;273780;A;2016;273769;NR;223.0;A
ES611;273780;A;2016;273770;NR;8404.0;A
ES611;273780;A;2016;273771;NR;388.0;A
ES611;273780;A;2016;273772;NR;346.0;A
ES611;273780;A;2016;273773;NR;42.0;A
ES611;273780;A;2017;273760;NR;47698.0;A
ES611;273780;A;2017;273761;NR;31222.0;A
ES611;273780;A;2017;273762;NR;16476.0;A
ES611;273780;A;2017;273765;NR;94.336620904;A
ES611;273780;A;2017;273768;NR;10723.0;A
ES611;273780;A;2017;273769;NR;185.0;A
ES611;273780;A;2017;273770;NR;5568.0;A
ES611;273780;A;2017;273771;NR;389.0;A
ES611;273780;A;2017;273772;NR;345.0;A
ES611;273780;A;2017;273773;NR;44.0;A
ES611;273780;A;2018;273760;NR;65935.0;A
ES611;273780;A;2018;273761;NR;43127.0;A
ES611;273780;A;2018;273762;NR;22808.0;A
ES611;273780;A;2018;273765;NR;125.054358735;A
ES611;273780;A;2018;273768;NR;11795.0;A
ES611;273780;A;2018;273769;NR;272.0;A
ES611;273780;A;2018;273770;NR;10741.0;A
ES611;273780;A;2018;273771;NR;377.0;A
ES611;273780;A;2018;273772;NR;338.0;A
ES611;273780;A;2018;273773;NR;39.0;A
ES611;273780;P;2019;273760;NR;68617.0;A
ES611;273780;P;2019;273761;NR;45884.0;A
ES611;273780;P;2019;273762;NR;22733.0;A
ES611;273780;P;2019;273765;NR;123.822701206;A
ES611;273780;P;2019;273768;NR;10876.0;A
ES611;273780;P;2019;273769;NR;272.0;A
ES611;273780;P;2019;273770;NR;11585.0;A
ES611;273780;P;2019;273771;NR;368.0;A
ES611;273780;P;2019;273772;NR;328.0;A
ES611;273780;P;2019;273773;NR;40.0;A
ES611;273781;A;2008;273760;NR;2253226.0;A
ES611;273781;A;2008;273761;NR;1605835.0;A
ES611;273781;A;2008;273762;NR;647391.0;A
ES611;273781;A;2008;273765;NR;150.107255286;A
ES611;273781;A;2008;273768;NR;361987.0;A
ES611;273781;A;2008;273769;NR;-1832.0;A
ES611;273781;A;2008;273770;NR;287236.0;A
ES611;273781;A;2008;273771;NR;14744.0;A
ES611;273781;A;2008;273772;NR;13268.0;A
ES611;273781;A;2008;273773;NR;1476.0;A
ES611;273781;A;2009;273760;NR;1580473.0;A
ES611;273781;A;2009;273761;NR;1044501.0;A
ES611;273781;A;2009;273762;NR;535972.0;A
