D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2002;2402;Tasa de variación interanual;6.229928578397516;A
2002;2482;Tasa de variación interanual;-0.19563821153812644;A
2002;2713;Tasa de variación interanual;8.779468978488099;A
2002;2797;Tasa de variación interanual;2.648245719595736;A
2002;2911;Tasa de variación interanual;5.5670196553123485;A
2002;3023;Tasa de variación interanual;-5.018325579358317;A
2002;3142;Tasa de variación interanual;-5.131739461071683;A
2003;P1_C01;Tasa de variación interanual;5.513282792204232;A
2003;2352;Tasa de variación interanual;6.0184164487137;A
2003;2402;Tasa de variación interanual;-0.9080249307464363;A
2003;2482;Tasa de variación interanual;-6.736735403807314;A
2003;2713;Tasa de variación interanual;4.7121992343257615;A
2003;2797;Tasa de variación interanual;-3.368991155505547;A
2003;2911;Tasa de variación interanual;16.760428613419588;A
2003;3023;Tasa de variación interanual;16.345302518401088;A
2003;3142;Tasa de variación interanual;2.582054886220566;A
2004;P1_C01;Tasa de variación interanual;5.67456072418181;A
2004;2352;Tasa de variación interanual;12.753991879534093;A
2004;2402;Tasa de variación interanual;-3.5041304031743334;A
2004;2482;Tasa de variación interanual;-17.844412736076457;A
2004;2713;Tasa de variación interanual;5.813581482508218;A
2004;2797;Tasa de variación interanual;20.693457714122555;A
2004;2911;Tasa de variación interanual;21.168912300455613;A
2004;3023;Tasa de variación interanual;9.872737506594547;A
2004;3142;Tasa de variación interanual;-3.1457149535686257;A
2005;P1_C01;Tasa de variación interanual;6.582026025663564;A
2005;2352;Tasa de variación interanual;27.128742547862082;A
2005;2402;Tasa de variación interanual;0.5189761741940285;A
2005;2482;Tasa de variación interanual;0.24639596503915187;A
2005;2713;Tasa de variación interanual;22.79397502247153;A
2005;2797;Tasa de variación interanual;8.825310897219703;A
2005;2911;Tasa de variación interanual;2.9187345229108708;A
2005;3023;Tasa de variación interanual;-2.0449085123266335;A
2005;3142;Tasa de variación interanual;-9.022539621132013;A
2006;P1_C01;Tasa de variación interanual;3.35130928596971;A
