LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838405;55912;838411;F;2020;ES61;DEATHS;21.0;A;_Z;_Z;_Z
838405;55912;838411;_T;2020;ES61;DEATHS;48.0;A;_Z;_Z;_Z
838405;55912;57731;M;2020;ES61;DEATHS;1408.0;A;_Z;_Z;_Z
838405;55912;57731;F;2020;ES61;DEATHS;1222.0;A;_Z;_Z;_Z
838405;55912;57731;_T;2020;ES61;DEATHS;2630.0;A;_Z;_Z;_Z
838405;55912;;M;2020;ES61;DEATHS;1480.0;A;_Z;_Z;_Z
838405;55912;;F;2020;ES61;DEATHS;1286.0;A;_Z;_Z;_Z
838405;55912;;_T;2020;ES61;DEATHS;2766.0;A;_Z;_Z;_Z
838405;55913;838410;M;2020;ES61;DEATHS;14.0;A;_Z;_Z;_Z
838405;55913;838410;F;2020;ES61;DEATHS;2.0;A;_Z;_Z;_Z
838405;55913;838410;_T;2020;ES61;DEATHS;16.0;A;_Z;_Z;_Z
838405;55913;838411;M;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838405;55913;838411;F;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838405;55913;838411;_T;2020;ES61;DEATHS;9.0;A;_Z;_Z;_Z
838405;55913;57731;M;2020;ES61;DEATHS;1358.0;A;_Z;_Z;_Z
838405;55913;57731;F;2020;ES61;DEATHS;1164.0;A;_Z;_Z;_Z
838405;55913;57731;_T;2020;ES61;DEATHS;2522.0;A;_Z;_Z;_Z
838405;55913;;M;2020;ES61;DEATHS;1377.0;A;_Z;_Z;_Z
838405;55913;;F;2020;ES61;DEATHS;1170.0;A;_Z;_Z;_Z
838405;55913;;_T;2020;ES61;DEATHS;2547.0;A;_Z;_Z;_Z
838405;55914;838410;M;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838405;55914;838410;F;2020;ES61;DEATHS;1.0;A;_Z;_Z;_Z
838405;55914;838410;_T;2020;ES61;DEATHS;6.0;A;_Z;_Z;_Z
838405;55914;838411;M;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838405;55914;838411;F;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838405;55914;838411;_T;2020;ES61;DEATHS;9.0;A;_Z;_Z;_Z
838405;55914;57731;M;2020;ES61;DEATHS;1547.0;A;_Z;_Z;_Z
838405;55914;57731;F;2020;ES61;DEATHS;1345.0;A;_Z;_Z;_Z
838405;55914;57731;_T;2020;ES61;DEATHS;2892.0;A;_Z;_Z;_Z
838405;55914;;M;2020;ES61;DEATHS;1557.0;A;_Z;_Z;_Z
838405;55914;;F;2020;ES61;DEATHS;1350.0;A;_Z;_Z;_Z
838405;55914;;_T;2020;ES61;DEATHS;2907.0;A;_Z;_Z;_Z
838405;55915;838410;M;2020;ES61;DEATHS;37.0;A;_Z;_Z;_Z
838405;55915;838410;F;2020;ES61;DEATHS;21.0;A;_Z;_Z;_Z
838405;55915;838410;_T;2020;ES61;DEATHS;58.0;A;_Z;_Z;_Z
838405;55915;838411;M;2020;ES61;DEATHS;10.0;A;_Z;_Z;_Z
838405;55915;838411;F;2020;ES61;DEATHS;7.0;A;_Z;_Z;_Z
838405;55915;838411;_T;2020;ES61;DEATHS;17.0;A;_Z;_Z;_Z
838405;55915;57731;M;2020;ES61;DEATHS;1547.0;A;_Z;_Z;_Z
838405;55915;57731;F;2020;ES61;DEATHS;1393.0;A;_Z;_Z;_Z
838405;55915;57731;_T;2020;ES61;DEATHS;2940.0;A;_Z;_Z;_Z
838405;55915;;M;2020;ES61;DEATHS;1594.0;A;_Z;_Z;_Z
838405;55915;;F;2020;ES61;DEATHS;1421.0;A;_Z;_Z;_Z
838405;55915;;_T;2020;ES61;DEATHS;3015.0;A;_Z;_Z;_Z
838405;55916;838410;M;2020;ES61;DEATHS;199.0;A;_Z;_Z;_Z
838405;55916;838410;F;2020;ES61;DEATHS;146.0;A;_Z;_Z;_Z
838405;55916;838410;_T;2020;ES61;DEATHS;345.0;A;_Z;_Z;_Z
838405;55916;838411;M;2020;ES61;DEATHS;8.0;A;_Z;_Z;_Z
838405;55916;838411;F;2020;ES61;DEATHS;9.0;A;_Z;_Z;_Z
838405;55916;838411;_T;2020;ES61;DEATHS;17.0;A;_Z;_Z;_Z
838405;55916;57731;M;2020;ES61;DEATHS;1389.0;A;_Z;_Z;_Z
838405;55916;57731;F;2020;ES61;DEATHS;1243.0;A;_Z;_Z;_Z
838405;55916;57731;_T;2020;ES61;DEATHS;2632.0;A;_Z;_Z;_Z
838405;55916;;M;2020;ES61;DEATHS;1596.0;A;_Z;_Z;_Z
838405;55916;;F;2020;ES61;DEATHS;1398.0;A;_Z;_Z;_Z
838405;55916;;_T;2020;ES61;DEATHS;2994.0;A;_Z;_Z;_Z
838405;55917;838410;M;2020;ES61;DEATHS;495.0;A;_Z;_Z;_Z
838405;55917;838410;F;2020;ES61;DEATHS;386.0;A;_Z;_Z;_Z
838405;55917;838410;_T;2020;ES61;DEATHS;881.0;A;_Z;_Z;_Z
838405;55917;838411;M;2020;ES61;DEATHS;8.0;A;_Z;_Z;_Z
838405;55917;838411;F;2020;ES61;DEATHS;7.0;A;_Z;_Z;_Z
838405;55917;838411;_T;2020;ES61;DEATHS;15.0;A;_Z;_Z;_Z
838405;55917;57731;M;2020;ES61;DEATHS;1541.0;A;_Z;_Z;_Z
838405;55917;57731;F;2020;ES61;DEATHS;1315.0;A;_Z;_Z;_Z
838405;55917;57731;_T;2020;ES61;DEATHS;2856.0;A;_Z;_Z;_Z
838405;55917;;M;2020;ES61;DEATHS;2044.0;A;_Z;_Z;_Z
