TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2016;Y_LT15;ES615;F;53584;HAB;6081.0;A
2016;Y_LT15;ES615;F;53585;HAB;1263.0;A
2016;Y_LT15;ES615;F;53586;HAB;846.0;A
2016;Y_LT15;ES615;F;53587;HAB;1294.0;A
2016;Y_LT15;ES616;_T;53588;HAB;94930.0;A
2016;Y_LT15;ES616;_T;53583;HAB;81438.0;A
2016;Y_LT15;ES616;_T;53584;HAB;7178.0;A
2016;Y_LT15;ES616;_T;53585;HAB;2116.0;A
2016;Y_LT15;ES616;_T;53586;HAB;2623.0;A
2016;Y_LT15;ES616;_T;53587;HAB;1575.0;A
2016;Y_LT15;ES616;M;53588;HAB;48633.0;A
2016;Y_LT15;ES616;M;53583;HAB;41850.0;A
2016;Y_LT15;ES616;M;53584;HAB;3676.0;A
2016;Y_LT15;ES616;M;53585;HAB;1047.0;A
2016;Y_LT15;ES616;M;53586;HAB;1316.0;A
2016;Y_LT15;ES616;M;53587;HAB;744.0;A
2016;Y_LT15;ES616;F;53588;HAB;46297.0;A
2016;Y_LT15;ES616;F;53583;HAB;39588.0;A
2016;Y_LT15;ES616;F;53584;HAB;3502.0;A
2016;Y_LT15;ES616;F;53585;HAB;1069.0;A
2016;Y_LT15;ES616;F;53586;HAB;1307.0;A
2016;Y_LT15;ES616;F;53587;HAB;831.0;A
2016;Y_LT15;ES617;_T;53588;HAB;263424.0;A
2016;Y_LT15;ES617;_T;53583;HAB;194275.0;A
2016;Y_LT15;ES617;_T;53584;HAB;38026.0;A
2016;Y_LT15;ES617;_T;53585;HAB;6242.0;A
2016;Y_LT15;ES617;_T;53586;HAB;7660.0;A
2016;Y_LT15;ES617;_T;53587;HAB;17221.0;A
2016;Y_LT15;ES617;M;53588;HAB;135203.0;A
2016;Y_LT15;ES617;M;53583;HAB;99742.0;A
2016;Y_LT15;ES617;M;53584;HAB;19589.0;A
2016;Y_LT15;ES617;M;53585;HAB;3165.0;A
2016;Y_LT15;ES617;M;53586;HAB;3958.0;A
2016;Y_LT15;ES617;M;53587;HAB;8749.0;A
2016;Y_LT15;ES617;F;53588;HAB;128221.0;A
2016;Y_LT15;ES617;F;53583;HAB;94533.0;A
2016;Y_LT15;ES617;F;53584;HAB;18437.0;A
2016;Y_LT15;ES617;F;53585;HAB;3077.0;A
2016;Y_LT15;ES617;F;53586;HAB;3702.0;A
2016;Y_LT15;ES617;F;53587;HAB;8472.0;A
2016;Y_LT15;ES618;_T;53588;HAB;331097.0;A
2016;Y_LT15;ES618;_T;53583;HAB;251004.0;A
2016;Y_LT15;ES618;_T;53584;HAB;61147.0;A
2016;Y_LT15;ES618;_T;53585;HAB;5646.0;A
2016;Y_LT15;ES618;_T;53586;HAB;6357.0;A
2016;Y_LT15;ES618;_T;53587;HAB;6943.0;A
2016;Y_LT15;ES618;M;53588;HAB;170008.0;A
2016;Y_LT15;ES618;M;53583;HAB;128946.0;A
2016;Y_LT15;ES618;M;53584;HAB;31426.0;A
2016;Y_LT15;ES618;M;53585;HAB;2929.0;A
2016;Y_LT15;ES618;M;53586;HAB;3292.0;A
2016;Y_LT15;ES618;M;53587;HAB;3415.0;A
2016;Y_LT15;ES618;F;53588;HAB;161089.0;A
2016;Y_LT15;ES618;F;53583;HAB;122058.0;A
2016;Y_LT15;ES618;F;53584;HAB;29721.0;A
2016;Y_LT15;ES618;F;53585;HAB;2717.0;A
2016;Y_LT15;ES618;F;53586;HAB;3065.0;A
2016;Y_LT15;ES618;F;53587;HAB;3528.0;A
2016;Y1-4;ES61;_T;53588;HAB;414431.0;A
2016;Y1-4;ES61;_T;53583;HAB;336633.0;A
2016;Y1-4;ES61;_T;53584;HAB;57793.0;A
2016;Y1-4;ES61;_T;53585;HAB;7248.0;A
2016;Y1-4;ES61;_T;53586;HAB;5905.0;A
2016;Y1-4;ES61;_T;53587;HAB;6852.0;A
