TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2494;54888;F;HAB;2689.0;A
2021;TOTAL;2494;53700;_T;HAB;5198.0;A
2021;TOTAL;2494;53700;M;HAB;2671.0;A
2021;TOTAL;2494;53700;F;HAB;2527.0;A
2021;TOTAL;2494;54560;_T;HAB;4931.0;A
2021;TOTAL;2494;54560;M;HAB;2534.0;A
2021;TOTAL;2494;54560;F;HAB;2397.0;A
2021;TOTAL;2494;53809;_T;HAB;29.0;A
2021;TOTAL;2494;53809;M;HAB;14.0;A
2021;TOTAL;2494;53809;F;HAB;15.0;A
2021;TOTAL;2494;53855;_T;HAB;21.0;A
2021;TOTAL;2494;53855;M;HAB;13.0;A
2021;TOTAL;2494;53855;F;HAB;8.0;A
2021;TOTAL;2494;53933;_T;HAB;28.0;A
2021;TOTAL;2494;53933;M;HAB;10.0;A
2021;TOTAL;2494;53933;F;HAB;18.0;A
2021;TOTAL;2494;54155;_T;HAB;4700.0;A
2021;TOTAL;2494;54155;M;HAB;2416.0;A
2021;TOTAL;2494;54155;F;HAB;2284.0;A
2021;TOTAL;2494;54236;_T;HAB;9.0;A
2021;TOTAL;2494;54236;M;HAB;4.0;A
2021;TOTAL;2494;54236;F;HAB;5.0;A
2021;TOTAL;2494;54344;_T;HAB;94.0;A
2021;TOTAL;2494;54344;M;HAB;48.0;A
2021;TOTAL;2494;54344;F;HAB;46.0;A
2021;TOTAL;2494;54452;_T;HAB;27.0;A
2021;TOTAL;2494;54452;M;HAB;15.0;A
2021;TOTAL;2494;54452;F;HAB;12.0;A
2021;TOTAL;2494;54559;_T;HAB;23.0;A
2021;TOTAL;2494;54559;M;HAB;14.0;A
2021;TOTAL;2494;54559;F;HAB;9.0;A
2021;TOTAL;2494;54565;_T;HAB;267.0;A
2021;TOTAL;2494;54565;M;HAB;137.0;A
2021;TOTAL;2494;54565;F;HAB;130.0;A
2021;TOTAL;2494;54887;_T;HAB;299.0;A
2021;TOTAL;2494;54887;M;HAB;137.0;A
2021;TOTAL;2494;54887;F;HAB;162.0;A
2021;TOTAL;2495;54888;_T;HAB;2440.0;A
2021;TOTAL;2495;54888;M;HAB;1258.0;A
2021;TOTAL;2495;54888;F;HAB;1182.0;A
2021;TOTAL;2495;53700;_T;HAB;2310.0;A
2021;TOTAL;2495;53700;M;HAB;1191.0;A
2021;TOTAL;2495;53700;F;HAB;1119.0;A
2021;TOTAL;2495;54560;_T;HAB;2250.0;A
2021;TOTAL;2495;54560;M;HAB;1156.0;A
2021;TOTAL;2495;54560;F;HAB;1094.0;A
2021;TOTAL;2495;53933;_T;HAB;150.0;A
2021;TOTAL;2495;53933;M;HAB;68.0;A
2021;TOTAL;2495;53933;F;HAB;82.0;A
2021;TOTAL;2495;54155;_T;HAB;2073.0;A
2021;TOTAL;2495;54155;M;HAB;1079.0;A
2021;TOTAL;2495;54155;F;HAB;994.0;A
2021;TOTAL;2495;54344;_T;HAB;3.0;A
2021;TOTAL;2495;54344;M;HAB;1.0;A
2021;TOTAL;2495;54344;F;HAB;2.0;A
2021;TOTAL;2495;54452;_T;HAB;20.0;A
2021;TOTAL;2495;54452;M;HAB;6.0;A
2021;TOTAL;2495;54452;F;HAB;14.0;A
2021;TOTAL;2495;54559;_T;HAB;4.0;A
2021;TOTAL;2495;54559;M;HAB;2.0;A
2021;TOTAL;2495;54559;F;HAB;2.0;A
2021;TOTAL;2495;54565;_T;HAB;60.0;A
2021;TOTAL;2495;54565;M;HAB;35.0;A
2021;TOTAL;2495;54565;F;HAB;25.0;A
2021;TOTAL;2495;54887;_T;HAB;130.0;A
2021;TOTAL;2495;54887;M;HAB;67.0;A
2021;TOTAL;2495;54887;F;HAB;63.0;A
2021;TOTAL;2496;54888;_T;HAB;5667.0;A
2021;TOTAL;2496;54888;M;HAB;2994.0;A
2021;TOTAL;2496;54888;F;HAB;2673.0;A
