D_TEMPORAL_0;D_AA_TERRITORIOIN_0;D_AA_DURACEMPREND_0;D_ANOCELEBRMATRIM_0;D_AA_MULTIVARIABL_0;INDICATOR;OBS_VALUE;FREQ
2020;516662;516612;5086;516632;Supervivientes;1275.0;A
2020;516662;516612;5087;516632;Supervivientes;1575.0;A
2020;516662;516612;5088;516632;Supervivientes;2100.0;A
2020;516662;516612;5089;516632;Supervivientes;2000.0;A
2020;516662;516612;5090;516632;Supervivientes;1650.0;A
2020;516662;516612;5091;516632;Supervivientes;;A
2020;516662;516612;5092;516632;Supervivientes;;A
2020;516662;516612;5093;516632;Supervivientes;;A
2020;516662;516612;5094;516632;Supervivientes;;A
2020;516662;516612;5095;516632;Supervivientes;;A
2020;516662;516612;5096;516632;Supervivientes;;A
2020;516662;516612;5097;516632;Supervivientes;;A
2020;516662;516613;5083;516632;Supervivientes;1850.0;A
2020;516662;516613;5084;516632;Supervivientes;1650.0;A
2020;516662;516613;5085;516632;Supervivientes;1200.0;A
2020;516662;516613;5086;516632;Supervivientes;1250.0;A
2020;516662;516613;5087;516632;Supervivientes;1475.0;A
2020;516662;516613;5088;516632;Supervivientes;1975.0;A
2020;516662;516613;5089;516632;Supervivientes;1950.0;A
2020;516662;516613;5090;516632;Supervivientes;;A
2020;516662;516613;5091;516632;Supervivientes;;A
2020;516662;516613;5092;516632;Supervivientes;;A
2020;516662;516613;5093;516632;Supervivientes;;A
2020;516662;516613;5094;516632;Supervivientes;;A
2020;516662;516613;5095;516632;Supervivientes;;A
2020;516662;516613;5096;516632;Supervivientes;;A
2020;516662;516613;5097;516632;Supervivientes;;A
2020;516662;516614;5083;516632;Supervivientes;1675.0;A
2020;516662;516614;5084;516632;Supervivientes;1600.0;A
2020;516662;516614;5085;516632;Supervivientes;1175.0;A
2020;516662;516614;5086;516632;Supervivientes;1200.0;A
2020;516662;516614;5087;516632;Supervivientes;1250.0;A
2020;516662;516614;5088;516632;Supervivientes;1800.0;A
2020;516662;516614;5089;516632;Supervivientes;;A
2020;516662;516614;5090;516632;Supervivientes;;A
2020;516662;516614;5091;516632;Supervivientes;;A
2020;516662;516614;5092;516632;Supervivientes;;A
2020;516662;516614;5093;516632;Supervivientes;;A
2020;516662;516614;5094;516632;Supervivientes;;A
2020;516662;516614;5095;516632;Supervivientes;;A
2020;516662;516614;5096;516632;Supervivientes;;A
2020;516662;516614;5097;516632;Supervivientes;;A
2020;516662;516615;5083;516632;Supervivientes;1600.0;A
2020;516662;516615;5084;516632;Supervivientes;1450.0;A
2020;516662;516615;5085;516632;Supervivientes;1100.0;A
2020;516662;516615;5086;516632;Supervivientes;1050.0;A
2020;516662;516615;5087;516632;Supervivientes;1150.0;A
2020;516662;516615;5088;516632;Supervivientes;;A
2020;516662;516615;5089;516632;Supervivientes;;A
2020;516662;516615;5090;516632;Supervivientes;;A
2020;516662;516615;5091;516632;Supervivientes;;A
2020;516662;516615;5092;516632;Supervivientes;;A
2020;516662;516615;5093;516632;Supervivientes;;A
