D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOCOTIZACA_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;515776;516751;Número de autónomos;4525.0;A
2020;3690;515776;516752;Número de autónomos;6825.0;A
2020;3690;515776;516753;Número de autónomos;23150.0;A
2020;3690;515776;516754;Número de autónomos;19550.0;A
2020;3690;515776;515892;Número de autónomos;93325.0;A
2020;3690;515777;516728;Número de autónomos;1500.0;A
2020;3690;515777;516748;Número de autónomos;1650.0;A
2020;3690;515777;516749;Número de autónomos;1625.0;A
2020;3690;515777;516750;Número de autónomos;2100.0;A
2020;3690;515777;516751;Número de autónomos;700.0;A
2020;3690;515777;516752;Número de autónomos;1100.0;A
2020;3690;515777;516753;Número de autónomos;3600.0;A
2020;3690;515777;516754;Número de autónomos;3350.0;A
2020;3690;515777;515892;Número de autónomos;15725.0;A
2020;3691;515771;516728;Número de autónomos;66975.0;A
2020;3691;515771;516748;Número de autónomos;70000.0;A
2020;3691;515771;516749;Número de autónomos;56650.0;A
2020;3691;515771;516750;Número de autónomos;72450.0;A
2020;3691;515771;516751;Número de autónomos;33275.0;A
2020;3691;515771;516752;Número de autónomos;45800.0;A
2020;3691;515771;516753;Número de autónomos;135075.0;A
2020;3691;515771;516754;Número de autónomos;125275.0;A
2020;3691;515771;515892;Número de autónomos;609750.0;A
2020;3691;515772;516728;Número de autónomos;40400.0;A
2020;3691;515772;516748;Número de autónomos;28725.0;A
2020;3691;515772;516749;Número de autónomos;24850.0;A
2020;3691;515772;516750;Número de autónomos;31300.0;A
2020;3691;515772;516751;Número de autónomos;15925.0;A
2020;3691;515772;516752;Número de autónomos;17350.0;A
2020;3691;515772;516753;Número de autónomos;56950.0;A
2020;3691;515772;516754;Número de autónomos;54425.0;A
2020;3691;515772;515892;Número de autónomos;271825.0;A
2020;3691;515774;516728;Número de autónomos;26575.0;A
2020;3691;515774;516748;Número de autónomos;41275.0;A
2020;3691;515774;516749;Número de autónomos;31800.0;A
2020;3691;515774;516750;Número de autónomos;41150.0;A
2020;3691;515774;516751;Número de autónomos;17350.0;A
2020;3691;515774;516752;Número de autónomos;28450.0;A
2020;3691;515774;516753;Número de autónomos;78125.0;A
2020;3691;515774;516754;Número de autónomos;70850.0;A
2020;3691;515774;515892;Número de autónomos;337925.0;A
2020;3691;515775;516728;Número de autónomos;5450.0;A
2020;3691;515775;516748;Número de autónomos;4900.0;A
2020;3691;515775;516749;Número de autónomos;4550.0;A
2020;3691;515775;516750;Número de autónomos;5600.0;A
2020;3691;515775;516751;Número de autónomos;2975.0;A
2020;3691;515775;516752;Número de autónomos;6375.0;A
2020;3691;515775;516753;Número de autónomos;9550.0;A
2020;3691;515775;516754;Número de autónomos;10025.0;A
2020;3691;515775;515892;Número de autónomos;49725.0;A
2020;3691;515776;516728;Número de autónomos;17775.0;A
2020;3691;515776;516748;Número de autónomos;30450.0;A
2020;3691;515776;516749;Número de autónomos;22750.0;A
2020;3691;515776;516750;Número de autónomos;29750.0;A
2020;3691;515776;516751;Número de autónomos;12175.0;A
2020;3691;515776;516752;Número de autónomos;17375.0;A
2020;3691;515776;516753;Número de autónomos;58975.0;A
2020;3691;515776;516754;Número de autónomos;51175.0;A
2020;3691;515776;515892;Número de autónomos;242275.0;A
2020;3691;515777;516728;Número de autónomos;3350.0;A
2020;3691;515777;516748;Número de autónomos;5925.0;A
2020;3691;515777;516749;Número de autónomos;4500.0;A
2020;3691;515777;516750;Número de autónomos;5800.0;A
2020;3691;515777;516751;Número de autónomos;2200.0;A
2020;3691;515777;516752;Número de autónomos;4700.0;A
2020;3691;515777;516753;Número de autónomos;9600.0;A
2020;3691;515777;516754;Número de autónomos;9650.0;A
2020;3691;515777;515892;Número de autónomos;45925.0;A
