D_TEMPORAL_0;D_SEXO_0;D_AA_TIPODEHOGAR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;515756;516754;Número de autónomos;5925.0;A
2020;3690;515756;515892;Número de autónomos;36000.0;A
2020;3690;515757;516728;Número de autónomos;3175.0;A
2020;3690;515757;516748;Número de autónomos;3175.0;A
2020;3690;515757;516749;Número de autónomos;1800.0;A
2020;3690;515757;516750;Número de autónomos;4500.0;A
2020;3690;515757;516751;Número de autónomos;1375.0;A
2020;3690;515757;516752;Número de autónomos;1450.0;A
2020;3690;515757;516753;Número de autónomos;7100.0;A
2020;3690;515757;516754;Número de autónomos;4075.0;A
2020;3690;515757;515892;Número de autónomos;26875.0;A
2020;3690;515758;516728;Número de autónomos;1225.0;A
2020;3690;515758;516748;Número de autónomos;1150.0;A
2020;3690;515758;516749;Número de autónomos;725.0;A
2020;3690;515758;516750;Número de autónomos;1075.0;A
2020;3690;515758;516751;Número de autónomos;*;A
2020;3690;515758;516752;Número de autónomos;650.0;A
2020;3690;515758;516753;Número de autónomos;1950.0;A
2020;3690;515758;516754;Número de autónomos;1850.0;A
2020;3690;515758;515892;Número de autónomos;9125.0;A
2020;3690;515759;516728;Número de autónomos;10025.0;A
2020;3690;515759;516748;Número de autónomos;10675.0;A
2020;3690;515759;516749;Número de autónomos;8150.0;A
2020;3690;515759;516750;Número de autónomos;10125.0;A
2020;3690;515759;516751;Número de autónomos;5375.0;A
2020;3690;515759;516752;Número de autónomos;6600.0;A
2020;3690;515759;516753;Número de autónomos;19775.0;A
2020;3690;515759;516754;Número de autónomos;19425.0;A
2020;3690;515759;515892;Número de autónomos;91000.0;A
2020;3690;515761;516728;Número de autónomos;5025.0;A
2020;3690;515761;516748;Número de autónomos;5325.0;A
2020;3690;515761;516749;Número de autónomos;3775.0;A
2020;3690;515761;516750;Número de autónomos;6175.0;A
2020;3690;515761;516751;Número de autónomos;2625.0;A
2020;3690;515761;516752;Número de autónomos;3300.0;A
2020;3690;515761;516753;Número de autónomos;10725.0;A
2020;3690;515761;516754;Número de autónomos;8300.0;A
2020;3690;515761;515892;Número de autónomos;45900.0;A
2020;3690;515762;516728;Número de autónomos;5000.0;A
2020;3690;515762;516748;Número de autónomos;5350.0;A
2020;3690;515762;516749;Número de autónomos;4375.0;A
2020;3690;515762;516750;Número de autónomos;3950.0;A
