D_TEMPORAL_0;D_SEXO_0;D_AA_SITPREVULTEM_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;518711;515892;Número de autónomos;130950.0;A
2020;3690;518712;516728;Número de autónomos;2950.0;A
2020;3690;518712;516748;Número de autónomos;2575.0;A
2020;3690;518712;516749;Número de autónomos;2400.0;A
2020;3690;518712;516750;Número de autónomos;2825.0;A
2020;3690;518712;516751;Número de autónomos;1300.0;A
2020;3690;518712;516752;Número de autónomos;1825.0;A
2020;3690;518712;516753;Número de autónomos;7200.0;A
2020;3690;518712;516754;Número de autónomos;4250.0;A
2020;3690;518712;515892;Número de autónomos;25550.0;A
2020;3690;518713;516728;Número de autónomos;8625.0;A
2020;3690;518713;516748;Número de autónomos;9025.0;A
2020;3690;518713;516749;Número de autónomos;6575.0;A
2020;3690;518713;516750;Número de autónomos;8825.0;A
2020;3690;518713;516751;Número de autónomos;4400.0;A
2020;3690;518713;516752;Número de autónomos;5625.0;A
2020;3690;518713;516753;Número de autónomos;18075.0;A
2020;3690;518713;516754;Número de autónomos;17000.0;A
2020;3690;518713;515892;Número de autónomos;78650.0;A
2020;3690;518714;516728;Número de autónomos;2850.0;A
2020;3690;518714;516748;Número de autónomos;2900.0;A
2020;3690;518714;516749;Número de autónomos;2225.0;A
2020;3690;518714;516750;Número de autónomos;2950.0;A
2020;3690;518714;516751;Número de autónomos;1400.0;A
2020;3690;518714;516752;Número de autónomos;1800.0;A
2020;3690;518714;516753;Número de autónomos;6325.0;A
2020;3690;518714;516754;Número de autónomos;6025.0;A
2020;3690;518714;515892;Número de autónomos;26750.0;A
2020;3690;7196;516728;Número de autónomos;25375.0;A
2020;3690;7196;516748;Número de autónomos;24075.0;A
2020;3690;7196;516749;Número de autónomos;19525.0;A
2020;3690;7196;516750;Número de autónomos;25000.0;A
2020;3690;7196;516751;Número de autónomos;11275.0;A
2020;3690;7196;516752;Número de autónomos;15725.0;A
2020;3690;7196;516753;Número de autónomos;49100.0;A
2020;3690;7196;516754;Número de autónomos;44800.0;A
2020;3690;7196;515892;Número de autónomos;216450.0;A
2020;3691;515798;516728;Número de autónomos;33125.0;A
2020;3691;515798;516748;Número de autónomos;31125.0;A
2020;3691;515798;516749;Número de autónomos;26525.0;A
2020;3691;515798;516750;Número de autónomos;31700.0;A
2020;3691;515798;516751;Número de autónomos;14775.0;A
2020;3691;515798;516752;Número de autónomos;22175.0;A
2020;3691;515798;516753;Número de autónomos;54400.0;A
2020;3691;515798;516754;Número de autónomos;56325.0;A
2020;3691;515798;515892;Número de autónomos;271975.0;A
2020;3691;518710;516728;Número de autónomos;7475.0;A
2020;3691;518710;516748;Número de autónomos;11175.0;A
2020;3691;518710;516749;Número de autónomos;7525.0;A
2020;3691;518710;516750;Número de autónomos;9800.0;A
2020;3691;518710;516751;Número de autónomos;3925.0;A
2020;3691;518710;516752;Número de autónomos;6375.0;A
2020;3691;518710;516753;Número de autónomos;17800.0;A
2020;3691;518710;516754;Número de autónomos;18625.0;A
2020;3691;518710;515892;Número de autónomos;83425.0;A
2020;3691;515799;516728;Número de autónomos;25650.0;A
2020;3691;515799;516748;Número de autónomos;19950.0;A
2020;3691;515799;516749;Número de autónomos;19000.0;A
2020;3691;515799;516750;Número de autónomos;21900.0;A
2020;3691;515799;516751;Número de autónomos;10850.0;A
2020;3691;515799;516752;Número de autónomos;15800.0;A
2020;3691;515799;516753;Número de autónomos;36600.0;A
2020;3691;515799;516754;Número de autónomos;37700.0;A
2020;3691;515799;515892;Número de autónomos;188550.0;A
2020;3691;518711;516728;Número de autónomos;33850.0;A
2020;3691;518711;516748;Número de autónomos;38875.0;A
2020;3691;518711;516749;Número de autónomos;30125.0;A
2020;3691;518711;516750;Número de autónomos;40750.0;A
2020;3691;518711;516751;Número de autónomos;18500.0;A
2020;3691;518711;516752;Número de autónomos;23625.0;A
2020;3691;518711;516753;Número de autónomos;80675.0;A
2020;3691;518711;516754;Número de autónomos;68950.0;A
2020;3691;518711;515892;Número de autónomos;337775.0;A
2020;3691;518712;516728;Número de autónomos;6675.0;A
2020;3691;518712;516748;Número de autónomos;6700.0;A
2020;3691;518712;516749;Número de autónomos;6250.0;A
2020;3691;518712;516750;Número de autónomos;7450.0;A
2020;3691;518712;516751;Número de autónomos;3425.0;A
2020;3691;518712;516752;Número de autónomos;4300.0;A
2020;3691;518712;516753;Número de autónomos;18825.0;A
2020;3691;518712;516754;Número de autónomos;10900.0;A
2020;3691;518712;515892;Número de autónomos;64975.0;A
2020;3691;518713;516728;Número de autónomos;20950.0;A
2020;3691;518713;516748;Número de autónomos;24125.0;A
2020;3691;518713;516749;Número de autónomos;17925.0;A
2020;3691;518713;516750;Número de autónomos;24850.0;A
2020;3691;518713;516751;Número de autónomos;11800.0;A
2020;3691;518713;516752;Número de autónomos;14475.0;A
2020;3691;518713;516753;Número de autónomos;47175.0;A
2020;3691;518713;516754;Número de autónomos;42275.0;A
2020;3691;518713;515892;Número de autónomos;204950.0;A
2020;3691;518714;516728;Número de autónomos;6225.0;A
2020;3691;518714;516748;Número de autónomos;8050.0;A
2020;3691;518714;516749;Número de autónomos;5950.0;A
2020;3691;518714;516750;Número de autónomos;8450.0;A
2020;3691;518714;516751;Número de autónomos;3275.0;A
2020;3691;518714;516752;Número de autónomos;4850.0;A
2020;3691;518714;516753;Número de autónomos;14675.0;A
