MACROECO,TIME_PERIOD,OBS_STATUS,REF_AREA,INDICATOR,OBS_VALUE,FREQ,CNAE_CRA_NEW
93067,2013,A,3143,TAS_INTER_PREC_CORR,-7.913672252,A,_Z
93067,2012,A,3143,TAS_INTER_PREC_CORR,-3.377003301,A,_Z
93067,2011,A,3143,TAS_INTER_PREC_CORR,-1.402183096,A,_Z
93067,2010,A,3143,TAS_INTER_PREC_CORR,10.940610094,A,_Z
93067,2009,A,3143,TAS_INTER_PREC_CORR,-19.291241322,A,_Z
93067,2008,A,3143,TAS_INTER_PREC_CORR,2.818038793,A,_Z
93067,2007,A,3143,TAS_INTER_PREC_CORR,2.266224811,A,_Z
93068,2021,1E,3143,TAS_INTER_PREC_CORR,5.566858987,A,_Z
93068,2020,AV,3143,TAS_INTER_PREC_CORR,-10.810288502,A,_Z
93068,2019,P,3143,TAS_INTER_PREC_CORR,11.460566181,A,_Z
93068,2018,A,3143,TAS_INTER_PREC_CORR,6.252971359,A,_Z
93068,2017,A,3143,TAS_INTER_PREC_CORR,4.875512646,A,_Z
93068,2016,A,3143,TAS_INTER_PREC_CORR,2.619470639,A,_Z
93068,2015,A,3143,TAS_INTER_PREC_CORR,6.125616805,A,_Z
93068,2014,A,3143,TAS_INTER_PREC_CORR,-1.209956927,A,_Z
93068,2013,A,3143,TAS_INTER_PREC_CORR,-13.581470822,A,_Z
93068,2012,A,3143,TAS_INTER_PREC_CORR,-16.387467299,A,_Z
93068,2011,A,3143,TAS_INTER_PREC_CORR,-16.879911258,A,_Z
93068,2010,A,3143,TAS_INTER_PREC_CORR,-21.932338469,A,_Z
93068,2009,A,3143,TAS_INTER_PREC_CORR,-14.754197074,A,_Z
93068,2008,A,3143,TAS_INTER_PREC_CORR,0.760426163,A,_Z
93068,2007,A,3143,TAS_INTER_PREC_CORR,5.132278163,A,_Z
93070,2021,1E,3143,TAS_INTER_PREC_CORR,6.718490307,A,_Z
93070,2020,AV,3143,TAS_INTER_PREC_CORR,-9.705269768,A,_Z
93070,2019,P,3143,TAS_INTER_PREC_CORR,4.068383464,A,_Z
93070,2018,A,3143,TAS_INTER_PREC_CORR,3.596700178,A,_Z
93070,2017,A,3143,TAS_INTER_PREC_CORR,4.23760626,A,_Z
93070,2016,A,3143,TAS_INTER_PREC_CORR,2.873401366,A,_Z
93070,2015,A,3143,TAS_INTER_PREC_CORR,2.760440174,A,_Z
93070,2014,A,3143,TAS_INTER_PREC_CORR,1.305535862,A,_Z
93070,2013,A,3143,TAS_INTER_PREC_CORR,-1.820250885,A,_Z
93070,2012,A,3143,TAS_INTER_PREC_CORR,-1.467874739,A,_Z
93070,2011,A,3143,TAS_INTER_PREC_CORR,1.152011773,A,_Z
93070,2010,A,3143,TAS_INTER_PREC_CORR,-0.550914953,A,_Z
93070,2009,A,3143,TAS_INTER_PREC_CORR,1.053540909,A,_Z
93070,2008,A,3143,TAS_INTER_PREC_CORR,6.336136153,A,_Z
93070,2007,A,3143,TAS_INTER_PREC_CORR,8.895861644,A,_Z
93069,2021,1E,3143,TAS_INTER_PREC_CORR,16.417718945,A,_Z
93069,2020,AV,3143,TAS_INTER_PREC_CORR,-23.9210356,A,_Z
93069,2019,P,3143,TAS_INTER_PREC_CORR,4.050466668,A,_Z
93069,2018,A,3143,TAS_INTER_PREC_CORR,3.348065568,A,_Z
93069,2017,A,3143,TAS_INTER_PREC_CORR,5.98747412,A,_Z
93069,2016,A,3143,TAS_INTER_PREC_CORR,4.631403275,A,_Z
93069,2015,A,3143,TAS_INTER_PREC_CORR,4.407825429,A,_Z
93069,2014,A,3143,TAS_INTER_PREC_CORR,2.253551675,A,_Z
93069,2013,A,3143,TAS_INTER_PREC_CORR,-2.751920895,A,_Z
93069,2012,A,3143,TAS_INTER_PREC_CORR,-1.046667777,A,_Z
93069,2011,A,3143,TAS_INTER_PREC_CORR,1.63628553,A,_Z
93069,2010,A,3143,TAS_INTER_PREC_CORR,-2.205013996,A,_Z
93069,2009,A,3143,TAS_INTER_PREC_CORR,-0.700675419,A,_Z
93069,2008,A,3143,TAS_INTER_PREC_CORR,3.520277224,A,_Z
93069,2007,A,3143,TAS_INTER_PREC_CORR,6.256565442,A,_Z
93071,2021,1E,3143,TAS_INTER_PREC_CORR,5.64622341,A,_Z
93071,2020,AV,3143,TAS_INTER_PREC_CORR,-2.686574146,A,_Z
93071,2019,P,3143,TAS_INTER_PREC_CORR,5.8762645,A,_Z
93071,2018,A,3143,TAS_INTER_PREC_CORR,1.746879724,A,_Z
93071,2017,A,3143,TAS_INTER_PREC_CORR,1.75570145,A,_Z
93071,2016,A,3143,TAS_INTER_PREC_CORR,2.232928535,A,_Z
93071,2015,A,3143,TAS_INTER_PREC_CORR,-0.720842081,A,_Z
93071,2014,A,3143,TAS_INTER_PREC_CORR,-6.903665578,A,_Z
93071,2013,A,3143,TAS_INTER_PREC_CORR,-6.452123573,A,_Z
93071,2012,A,3143,TAS_INTER_PREC_CORR,-0.963013152,A,_Z
93071,2011,A,3143,TAS_INTER_PREC_CORR,-3.281552952,A,_Z
93071,2010,A,3143,TAS_INTER_PREC_CORR,-3.53020621,A,_Z
93071,2009,A,3143,TAS_INTER_PREC_CORR,1.629559579,A,_Z
93071,2008,A,3143,TAS_INTER_PREC_CORR,6.875305337,A,_Z
93071,2007,A,3143,TAS_INTER_PREC_CORR,9.108297666,A,_Z
93072,2021,1E,3143,TAS_INTER_PREC_CORR,-1.974890039,A,_Z
93072,2020,AV,3143,TAS_INTER_PREC_CORR,5.276999887,A,_Z
93072,2019,P,3143,TAS_INTER_PREC_CORR,-1.948164257,A,_Z
93072,2018,A,3143,TAS_INTER_PREC_CORR,9.529614608,A,_Z
93072,2017,A,3143,TAS_INTER_PREC_CORR,5.475135914,A,_Z
93072,2016,A,3143,TAS_INTER_PREC_CORR,1.633614631,A,_Z
93072,2015,A,3143,TAS_INTER_PREC_CORR,0.010051699,A,_Z
93072,2014,A,3143,TAS_INTER_PREC_CORR,8.833774242,A,_Z
93072,2013,A,3143,TAS_INTER_PREC_CORR,-14.640891852,A,_Z
93072,2012,A,3143,TAS_INTER_PREC_CORR,3.033927866,A,_Z
