TIME_PERIOD,REF_AREA,ESTADO_CIVIL,D_ESTADOCIVILC2_0,INDICATOR,OBS_VALUE,FREQ
2019,ES618,TOTAL,,DIV,8.47106,A
2019,ES618,TOTAL,,DIV,186.37125,A
2019,ES618,,,DIV,3777.32537,A
2019,ES618,,,DIV,3670.64542,A
2019,ES618,,,DIV,5.96141,A
2019,ES618,,,DIV,100.71854,A
2019,ES618,,,DIV,27.92283,A
2019,ES618,,,DIV,16.15835,A
2019,ES618,,,DIV,11.76448,A
2019,ES618,,,DIV,254.306,A
2019,ES618,,,DIV,177.90812,A
2019,ES618,,,DIV,2.50965,A
2019,ES618,,,DIV,73.88823,A
2018,ES61,TOTAL,,DIV,16934.828,A
2018,ES61,TOTAL,,DIV,15784.5394,A
2018,ES61,TOTAL,,DIV,89.5937,A
2018,ES61,TOTAL,,DIV,1060.6949,A
2018,ES61,,,DIV,15748.2391,A
2018,ES61,,,DIV,15135.7913,A
2018,ES61,,,DIV,51.4742,A
2018,ES61,,,DIV,560.9736,A
2018,ES61,,,DIV,125.3188,A
2018,ES61,,,DIV,67.811,A
2018,ES61,,,DIV,11.5758,A
2018,ES61,,,DIV,45.932,A
2018,ES61,,,DIV,1061.2701,A
2018,ES61,,,DIV,580.9371,A
2018,ES61,,,DIV,26.5437,A
2018,ES61,,,DIV,453.7893,A
2018,ES611,TOTAL,,DIV,1456.1395,A
2018,ES611,TOTAL,,DIV,1325.528,A
2018,ES611,TOTAL,,DIV,9.3735,A
2018,ES611,TOTAL,,DIV,121.238,A
2018,ES611,,,DIV,1345.6779,A
2018,ES611,,,DIV,1262.1587,A
2018,ES611,,,DIV,7.7458,A
2018,ES611,,,DIV,75.7734,A
2018,ES611,,,DIV,3.8729,A
2018,ES611,,,DIV,3.8729,A
2018,ES611,,,DIV,106.5887,A
2018,ES611,,,DIV,63.3693,A
2018,ES611,,,DIV,1.6277,A
2018,ES611,,,DIV,41.5917,A
2018,ES612,TOTAL,,DIV,2490.3415,A
2018,ES612,TOTAL,,DIV,2368.3467,A
2018,ES612,TOTAL,,DIV,14.2172,A
2018,ES612,TOTAL,,DIV,107.7776,A
2018,ES612,,,DIV,2333.8332,A
2018,ES612,,,DIV,2280.8654,A
2018,ES612,,,DIV,2.1781,A
2018,ES612,,,DIV,50.7897,A
2018,ES612,,,DIV,21.3258,A
2018,ES612,,,DIV,9.2867,A
2018,ES612,,,DIV,4.9305,A
2018,ES612,,,DIV,7.1086,A
2018,ES612,,,DIV,135.1825,A
2018,ES612,,,DIV,78.1946,A
2018,ES612,,,DIV,7.1086,A
2018,ES612,,,DIV,49.8793,A
2018,ES613,TOTAL,,DIV,1405.7198,A
2018,ES613,TOTAL,,DIV,1327.7528,A
2018,ES613,TOTAL,,DIV,3.936,A
2018,ES613,TOTAL,,DIV,74.031,A
2018,ES613,,,DIV,1298.777,A
2018,ES613,,,DIV,1267.54,A
2018,ES613,,,DIV,3.936,A
2018,ES613,,,DIV,27.301,A
2018,ES613,,,DIV,14.0692,A
2018,ES613,,,DIV,8.3466,A
2018,ES613,,,DIV,5.7226,A
2018,ES613,,,DIV,92.8736,A
2018,ES613,,,DIV,51.8662,A
