TIME_PERIOD,REF_AREA,D_TIPOMATRIMONIO_0,INDICATOR,OBS_VALUE,FREQ
2008,ES615,5664,DIV,1165.944181717,A
2008,ES616,5669,DIV,1297.204501345,A
2008,ES616,5664,DIV,1296.204501345,A
2008,ES616,5668,DIV,1.0,A
2008,ES616,5667,DIV,1.0,A
2008,ES617,5669,DIV,4187.089941605,A
2008,ES617,5664,DIV,4180.089941605,A
2008,ES617,5668,DIV,7.0,A
2008,ES617,5666,DIV,2.0,A
2008,ES617,5667,DIV,5.0,A
2008,ES618,5669,DIV,4876.788948975,A
2008,ES618,5664,DIV,4876.788948975,A
2007,ES61,5669,DIV,21609.099999161,A
2007,ES61,5664,DIV,21602.099999161,A
2007,ES61,5668,DIV,7.0,A
2007,ES61,5666,DIV,5.0,A
2007,ES61,5667,DIV,2.0,A
2007,ES611,5669,DIV,1642.139999901,A
2007,ES611,5664,DIV,1642.139999901,A
2007,ES612,5669,DIV,3287.229999146,A
2007,ES612,5664,DIV,3286.229999146,A
2007,ES612,5668,DIV,1.0,A
2007,ES612,5666,DIV,1.0,A
2007,ES613,5669,DIV,1853.999999925,A
2007,ES613,5664,DIV,1853.999999925,A
2007,ES614,5669,DIV,2389.41000052,A
2007,ES614,5664,DIV,2389.41000052,A
2007,ES615,5669,DIV,1393.309999774,A
2007,ES615,5664,DIV,1393.309999774,A
2007,ES616,5669,DIV,1422.190000204,A
2007,ES616,5664,DIV,1422.190000204,A
2007,ES617,5669,DIV,4555.859999734,A
2007,ES617,5664,DIV,4551.859999734,A
2007,ES617,5668,DIV,4.0,A
2007,ES617,5666,DIV,2.0,A
2007,ES617,5667,DIV,2.0,A
2007,ES618,5669,DIV,5064.959999957,A
2007,ES618,5664,DIV,5062.959999957,A
2007,ES618,5668,DIV,2.0,A
2007,ES618,5666,DIV,2.0,A
2006,ES61,5669,DIV,21218.50087,A
2006,ES61,5664,DIV,21218.50087,A
2006,ES611,5669,DIV,1595.879802,A
2006,ES611,5664,DIV,1595.879802,A
2006,ES612,5669,DIV,3145.260002,A
2006,ES612,5664,DIV,3145.260002,A
2006,ES613,5669,DIV,1834.890112,A
2006,ES613,5664,DIV,1834.890112,A
2006,ES614,5669,DIV,2080.80049,A
2006,ES614,5664,DIV,2080.80049,A
2006,ES615,5669,DIV,1332.84986,A
2006,ES615,5664,DIV,1332.84986,A
2006,ES616,5669,DIV,1309.440144,A
